"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1960,113
"ALBANIA",1960,552
"ALGERIA",1960,1680
"ANGOLA",1960,150
"ANTIGUA & BARBUDA",1960,10
"ARGENTINA",1960,13312
"AUSTRALIA",1960,24053
"AUSTRIA",1960,8405
"BAHAMAS",1960,112
"BAHRAIN",1960,157
"BARBADOS",1960,47
"BELGIUM",1960,24816
"BELIZE",1960,12
"BENIN",1960,44
"BERMUDA",1960,43
"BRAZIL",1960,12792
"BRUNEI (DARUSSALAM)",1960,91
"BULGARIA",1960,6080
"BURKINA FASO",1960,12
"CAMBODIA",1960,64
"CANADA",1960,52603
"CAPE VERDE",1960,6
"CAYMAN ISLANDS",1960,3
"CENTRAL AFRICAN REPUBLIC",1960,24
"CHAD",1960,15
"CHILE",1960,3679
"CHINA (MAINLAND)",1960,212906
"COLOMBIA",1960,4475
"COMOROS",1960,3
"CONGO",1960,61
"COSTA RICA",1960,134
"COTE D IVOIRE",1960,126
"CUBA",1960,3736
"CYPRUS",1960,242
"CZECHOSLOVAKIA",1960,35683
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1960,6495
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1960,633
"DEMOCRATIC REPUBLIC OF VIETNAM",1960,1621
"DENMARK",1960,8121
"DJIBOUTI",1960,11
"DOMINICA",1960,3
"DOMINICAN REPUBLIC",1960,284
"EAST & WEST PAKISTAN",1960,3860
"ECUADOR",1960,481
"EGYPT",1960,4378
"EL SALVADOR",1960,169
"EQUATORIAL GUINEA",1960,6
"ETHIOPIA",1960,96
"FAEROE ISLANDS",1960,16
"FALKLAND ISLANDS (MALVINAS)",1960,53
"FEDERAL REPUBLIC OF GERMANY",1960,148359
"FIJI",1960,53
"FINLAND",1960,4119
"FORMER DEMOCRATIC YEMEN",1960,975
"FORMER GERMAN DEMOCRATIC REPUBLIC",1960,73822
"FORMER PANAMA CANAL ZONE",1960,73
"FORMER YEMEN",1960,16
"FRANCE (INCLUDING MONACO)",1960,73962
"FRENCH GUIANA",1960,6
"FRENCH POLYNESIA",1960,10
"GABON",1960,36
"GAMBIA",1960,5
"GHANA",1960,399
"GIBRALTAR",1960,13
"GREECE",1960,2565
"GREENLAND",1960,61
"GRENADA",1960,6
"GUADELOUPE",1960,43
"GUATEMALA",1960,367
"GUINEA",1960,112
"GUINEA BISSAU",1960,5
"GUYANA",1960,180
"HAITI",1960,78
"HONDURAS",1960,168
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1960,806
"HUNGARY",1960,12373
"ICELAND",1960,331
"INDIA",1960,32883
"INDONESIA",1960,5837
"IRAQ",1960,2254
"IRELAND",1960,3049
"ISLAMIC REPUBLIC OF IRAN",1960,10197
"ISRAEL",1960,1764
"ITALY (INCLUDING SAN MARINO)",1960,29822
"JAMAICA",1960,401
"JAPAN",1960,63480
"JORDAN",1960,203
"KENYA",1960,662
"KUWAIT",1960,2128
