"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1990,713
"ALBANIA",1990,1504
"ALGERIA",1990,20990
"ANDORRA",1990,111
"ANGOLA",1990,1395
"ANGUILLA",1990,14
"ANTARCTIC FISHERIES",1990,3
"ANTIGUA & BARBUDA",1990,77
"ARGENTINA",1990,30583
"ARUBA",1990,447
"AUSTRALIA",1990,71913
"AUSTRIA",1990,15731
"BAHAMAS",1990,532
"BAHRAIN",1990,3389
"BANGLADESH",1990,4236
"BARBADOS",1990,293
"BELGIUM",1990,28920
"BELIZE",1990,85
"BENIN",1990,193
"BERMUDA",1990,137
"BHUTAN",1990,35
"BOTSWANA",1990,737
"BRAZIL",1990,56964
"BRITISH VIRGIN ISLANDS",1990,18
"BRUNEI (DARUSSALAM)",1990,1689
"BULGARIA",1990,20311
"BURKINA FASO",1990,159
"BURUNDI",1990,57
"CAMBODIA",1990,344
"CANADA",1990,118675
"CAPE VERDE",1990,26
"CAYMAN ISLANDS",1990,68
"CENTRAL AFRICAN REPUBLIC",1990,54
"CHAD",1990,39
"CHILE",1990,9085
"CHINA (MAINLAND)",1990,666057
"COLOMBIA",1990,15636
"COMOROS",1990,17
"CONGO",1990,324
"COOK ISLANDS",1990,10
"COSTA RICA",1990,806
"COTE D IVOIRE",1990,1373
"CUBA",1990,9093
"CYPRUS",1990,1193
"CZECHOSLOVAKIA",1990,59383
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1990,33803
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1990,1110
"DENMARK",1990,13698
"DJIBOUTI",1990,88
"DOMINICA",1990,16
"DOMINICAN REPUBLIC",1990,2517
"ECUADOR",1990,4589
"EGYPT",1990,20710
"EL SALVADOR",1990,685
"EQUATORIAL GUINEA",1990,18
"ETHIOPIA",1990,823
"FAEROE ISLANDS",1990,194
"FALKLAND ISLANDS (MALVINAS)",1990,11
"FEDERAL REPUBLIC OF GERMANY",1990,191890
"FIJI",1990,222
"FINLAND",1990,14111
"FORMER DEMOCRATIC YEMEN",1990,1590
"FORMER GERMAN DEMOCRATIC REPUBLIC",1990,84557
"FORMER YEMEN",1990,1027
"FRANCE (INCLUDING MONACO)",1990,102452
"FRENCH GUIANA",1990,172
"FRENCH POLYNESIA",1990,119
"GABON",1990,1227
"GAMBIA",1990,48
"GHANA",1990,1041
"GIBRALTAR",1990,39
"GREECE",1990,20256
"GREENLAND",1990,151
"GRENADA",1990,29
"GUADELOUPE",1990,350
"GUATEMALA",1990,1387
"GUINEA",1990,274
"GUINEA BISSAU",1990,47
"GUYANA",1990,309
"HAITI",1990,271
"HONDURAS",1990,707
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1990,7454
"HUNGARY",1990,18993
"ICELAND",1990,545
"INDIA",1990,168845
"INDONESIA",1990,40787
"IRAQ",1990,13006
"IRELAND",1990,8513
"ISLAMIC REPUBLIC OF IRAN",1990,57394
"ISRAEL",1990,9898
"ITALY (INCLUDING SAN MARINO)",1990,113867
"JAMAICA",1990,2054
"JAPAN",1990,298931
"JORDAN",1990,2837
"KENYA",1990,1588
"KIRIBATI",1990,6
"KUWAIT",1990,13908
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1990,58
"LEBANON",1990,2240
"LESOTHO",1990,402
"LIBERIA",1990,129
"LIBYAN ARAB JAMAHIRIYAH",1990,10030
"LUXEMBOURG",1990,2728
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1990,282
"MADAGASCAR",1990,259
"MALAWI",1990,204
"MALAYSIA",1990,15433
"MALDIVES",1990,47
"MALI",1990,115
"MALTA",1990,589
"MARTINIQUE",1990,439
"MAURITANIA",1990,247
"MAURITIUS",1990,399
"MEXICO",1990,86836
"MONGOLIA",1990,2724
"MONTSERRAT",1990,8
"MOROCCO",1990,6420
"MOZAMBIQUE",1990,279
"MYANMAR (FORMERLY BURMA)",1990,1166
"NAURU",1990,34
"NEPAL",1990,173
"NETHERLAND ANTILLES",1990,1480
"NETHERLANDS",1990,43197
"NEW CALEDONIA",1990,432
"NEW ZEALAND",1990,6421
"NICARAGUA",1990,695
"NIGER",1990,200
"NIGERIA",1990,10689
"NIUE",1990,2
"NORWAY",1990,8593
"OCCUPIED PALESTINIAN TERRITORY",1990,235
"OMAN",1990,3105
"PACIFIC ISLANDS (PALAU)",1990,64
"PAKISTAN",1990,18698
"PANAMA",1990,755
"PAPUA NEW GUINEA",1990,584
"PARAGUAY",1990,590
"PERU",1990,5746
"PHILIPPINES",1990,11389
"PLURINATIONAL STATE OF BOLIVIA",1990,1570
"POLAND",1990,100470
"PORTUGAL",1990,11541
"QATAR",1990,3211
"REPUBLIC OF CAMEROON",1990,473
"REPUBLIC OF KOREA",1990,67342
"REUNION",1990,301
"ROMANIA",1990,47474
"RWANDA",1990,148
"SAINT HELENA",1990,2
"SAINT LUCIA",1990,44
"SAMOA",1990,28
"SAO TOME & PRINCIPE",1990,13
"SAUDI ARABIA",1990,50669
"SENEGAL",1990,868
"SEYCHELLES",1990,41
"SIERRA LEONE",1990,133
"SINGAPORE",1990,12134
"SOLOMON ISLANDS",1990,40
"SOMALIA",1990,200
"SOUTH AFRICA",1990,85439
"SPAIN",1990,59612
"SRI LANKA",1990,1055
"ST. KITTS-NEVIS",1990,29
"ST. PIERRE & MIQUELON",1990,25
"ST. VINCENT & THE GRENADINES",1990,22
"SUDAN",1990,1424
"SURINAME",1990,483
"SWAZILAND",1990,116
"SWEDEN",1990,14166
"SWITZERLAND",1990,11620
"SYRIAN ARAB REPUBLIC",1990,10188
"TAIWAN",1990,33730
"THAILAND",1990,24763
"TOGO",1990,211
"TONGA",1990,21
"TRINIDAD AND TOBAGO",1990,4643
"TUNISIA",1990,3618
"TURKEY",1990,39776
"TURKS AND CAICOS ISLANDS",1990,8
"TUVALU",1990,2
"UGANDA",1990,207
"UNITED ARAB EMIRATES",1990,14183
"UNITED KINGDOM",1990,151602
"UNITED REPUBLIC OF TANZANIA",1990,618
"UNITED STATES OF AMERICA",1990,1315354
"URUGUAY",1990,1089
"USSR",1990,1035322
"VANUATU",1990,18
"VENEZUELA",1990,33314
"VIET NAM",1990,5838
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1990,36348
"ZAMBIA",1990,667
"ZIMBABWE",1990,4266
