"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1957,80
"ALBANIA",1957,411
"ALGERIA",1957,1512
"ANGOLA",1957,169
"ANTIGUA & BARBUDA",1957,6
"ARGENTINA",1957,12996
"AUSTRALIA",1957,20340
"AUSTRIA",1957,7966
"BAHAMAS",1957,48
"BAHRAIN",1957,206
"BARBADOS",1957,37
"BELGIUM",1957,26339
"BELIZE",1957,8
"BERMUDA",1957,38
"BRAZIL",1957,9822
"BRUNEI (DARUSSALAM)",1957,80
"BULGARIA",1957,3928
"CAMBODIA",1957,44
"CANADA",1957,49900
"CAPE VERDE",1957,5
"CAYMAN ISLANDS",1957,1
"CHILE",1957,3201
"CHINA (MAINLAND)",1957,69964
"COLOMBIA",1957,3727
"COSTA RICA",1957,126
"CUBA",1957,3785
"CYPRUS",1957,223
"CZECHOSLOVAKIA",1957,30592
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1957,3082
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1957,909
"DEMOCRATIC REPUBLIC OF VIETNAM",1957,432
"DENMARK",1957,6797
"DJIBOUTI",1957,12
"DOMINICA",1957,1
"DOMINICAN REPUBLIC",1957,282
"EAST & WEST PAKISTAN",1957,2947
"ECUADOR",1957,309
"EGYPT",1957,3254
"EL SALVADOR",1957,163
"EQUATORIAL GUINEA",1957,9
"ETHIOPIA",1957,88
"FAEROE ISLANDS",1957,26
"FALKLAND ISLANDS (MALVINAS)",1957,85
"FEDERAL REPUBLIC OF GERMANY",1957,143609
"FIJI",1957,45
"FINLAND",1957,3342
"FORMER DEMOCRATIC YEMEN",1957,800
"FORMER GERMAN DEMOCRATIC REPUBLIC",1957,68727
"FORMER PANAMA CANAL ZONE",1957,42
"FORMER YEMEN",1957,7
"FRANCE (INCLUDING MONACO)",1957,75750
"FRENCH EQUATORIAL AFRICA",1957,102
"FRENCH GUIANA",1957,4
"FRENCH POLYNESIA",1957,14
"FRENCH WEST AFRICA",1957,383
"GAMBIA",1957,6
"GHANA",1957,353
"GIBRALTAR",1957,14
"GREECE",1957,1861
"GREENLAND",1957,44
"GRENADA",1957,3
"GUADELOUPE",1957,30
"GUATEMALA",1957,269
"GUINEA BISSAU",1957,3
"GUYANA",1957,146
"HAITI",1957,69
"HONDURAS",1957,157
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1957,645
"HUNGARY",1957,10494
"ICELAND",1957,263
