"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1999,224
"ALBANIA",1999,814
"ALGERIA",1999,25101
"ANDORRA",1999,140
"ANGOLA",1999,2497
"ANGUILLA",1999,22
"ANTARCTIC FISHERIES",1999,1
"ANTIGUA & BARBUDA",1999,90
"ARGENTINA",1999,40083
"ARMENIA",1999,822
"ARUBA",1999,493
"AUSTRALIA",1999,88722
"AUSTRIA",1999,16872
"AZERBAIJAN",1999,7793
"BAHAMAS",1999,457
"BAHRAIN",1999,4914
"BANGLADESH",1999,6882
"BARBADOS",1999,330
"BELARUS",1999,15302
"BELGIUM",1999,31159
"BELIZE",1999,95
"BENIN",1999,426
"BERMUDA",1999,140
"BHUTAN",1999,105
"BOSNIA & HERZEGOVINA",1999,2830
"BOTSWANA",1999,862
"BRAZIL",1999,87312
"BRITISH VIRGIN ISLANDS",1999,28
"BRUNEI (DARUSSALAM)",1999,1066
"BULGARIA",1999,11994
"BURKINA FASO",1999,254
"BURUNDI",1999,69
"CAMBODIA",1999,517
"CANADA",1999,140548
"CAPE VERDE",1999,50
"CAYMAN ISLANDS",1999,117
"CENTRAL AFRICAN REPUBLIC",1999,72
"CHAD",1999,44
"CHILE",1999,16772
"CHINA (MAINLAND)",1999,904842
"COLOMBIA",1999,15411
"COMOROS",1999,25
"CONGO",1999,224
"COOK ISLANDS",1999,13
"COSTA RICA",1999,1506
"COTE D IVOIRE",1999,1709
"CROATIA",1999,5452
"CUBA",1999,6908
"CYPRUS",1999,1739
"CZECH REPUBLIC",1999,30536
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1999,17598
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1999,377
"DENMARK",1999,15039
"DJIBOUTI",1999,86
"DOMINICA",1999,22
"DOMINICAN REPUBLIC",1999,5062
"ECUADOR",1999,5862
"EGYPT",1999,34195
"EL SALVADOR",1999,1554
"EQUATORIAL GUINEA",1999,127
"ERITREA",1999,169
"ESTONIA",1999,4134
"ETHIOPIA",1999,861
"FAEROE ISLANDS",1999,172
"FALKLAND ISLANDS (MALVINAS)",1999,10
"FEDERATED STATES OF MICRONESIA",1999,30
"FIJI",1999,214
"FINLAND",1999,15114
"FRANCE (INCLUDING MONACO)",1999,100605
"FRENCH GUIANA",1999,127
"FRENCH POLYNESIA",1999,135
"GABON",1999,1311
"GAMBIA",1999,63
"GEORGIA",1999,1185
"GERMANY",1999,224287
"GHANA",1999,1786
"GIBRALTAR",1999,87
"GREECE",1999,23626
"GREENLAND",1999,147
"GRENADA",1999,53
"GUADELOUPE",1999,516
"GUATEMALA",1999,2435
"GUINEA",1999,431
"GUINEA BISSAU",1999,53
"GUYANA",1999,458
"HAITI",1999,363
"HONDURAS",1999,1293
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1999,11649
"HUNGARY",1999,16035
"ICELAND",1999,564
"INDIA",1999,271548
"INDONESIA",1999,65991
"IRAQ",1999,19712
"IRELAND",1999,10950
"ISLAMIC REPUBLIC OF IRAN",1999,104265
"ISRAEL",1999,15188
"ITALY (INCLUDING SAN MARINO)",1999,120534
"JAMAICA",1999,2721
"JAPAN",1999,326293
"JORDAN",1999,3973
"KAZAKHSTAN",1999,31768
"KENYA",1999,2774
"KIRIBATI",1999,8
"KUWAIT",1999,14732
"KYRGYZSTAN",1999,1274
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1999,253
"LATVIA",1999,1849
"LEBANON",1999,4497
"LESOTHO",1999,498
"LIBERIA",1999,107
"LIBYAN ARAB JAMAHIRIYAH",1999,12168
"LITHUANIA",1999,3734
"LUXEMBOURG",1999,2096
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1999,414
"MACEDONIA",1999,3197
"MADAGASCAR",1999,523
"MALAWI",1999,257
"MALAYSIA",1999,29434
"MALDIVES",1999,115
"MALI",1999,217
"MALTA",1999,640
"MARSHALL ISLANDS",1999,18
"MARTINIQUE",1999,445
"MAURITANIA",1999,313
"MAURITIUS",1999,662
"MEXICO",1999,106788
"MONGOLIA",1999,2060
"MONTSERRAT",1999,8
"MOROCCO",1999,9041
"MOZAMBIQUE",1999,324
"MYANMAR (FORMERLY BURMA)",1999,2446
"NAMIBIA",1999,454
"NAURU",1999,25
"NEPAL",1999,878
"NETHERLAND ANTILLES",1999,577
"NETHERLANDS",1999,47359
"NEW CALEDONIA",1999,561
"NEW ZEALAND",1999,8901
"NICARAGUA",1999,989
"NIGER",1999,260
"NIGERIA",1999,10986
"NIUE",1999,2
"NORWAY",1999,11094
"OCCUPIED PALESTINIAN TERRITORY",1999,373
"OMAN",1999,5647
"PAKISTAN",1999,27375
"PALAU",1999,66
"PANAMA",1999,1546
"PAPUA NEW GUINEA",1999,667
"PARAGUAY",1999,1228
"PERU",1999,8006
"PHILIPPINES",1999,18860
"PLURINATIONAL STATE OF BOLIVIA",1999,2848
"POLAND",1999,86098
"PORTUGAL",1999,17569
"QATAR",1999,8565
"REPUBLIC OF CAMEROON",1999,840
"REPUBLIC OF KOREA",1999,109044
"REPUBLIC OF MOLDOVA",1999,1228
"REUNION",1999,701
"ROMANIA",1999,24473
"RUSSIAN FEDERATION",1999,417543
"RWANDA",1999,139
"SAINT HELENA",1999,3
"SAINT LUCIA",1999,87
"SAMOA",1999,37
"SAO TOME & PRINCIPE",1999,13
"SAUDI ARABIA",1999,61756
"SENEGAL",1999,1009
"SEYCHELLES",1999,139
"SIERRA LEONE",1999,100
"SINGAPORE",1999,13654
"SLOVAKIA",1999,10701
"SLOVENIA",1999,4155
"SOLOMON ISLANDS",1999,41
"SOMALIA",1999,134
"SOUTH AFRICA",1999,102328
"SPAIN",1999,76999
"SRI LANKA",1999,2350
"ST. KITTS-NEVIS",1999,44
"ST. PIERRE & MIQUELON",1999,15
"ST. VINCENT & THE GRENADINES",1999,45
"SUDAN",1999,1389
"SURINAME",1999,580
"SWAZILAND",1999,338
"SWEDEN",1999,13937
"SWITZERLAND",1999,11097
"SYRIAN ARAB REPUBLIC",1999,14282
"TAIWAN",1999,56484
"TAJIKISTAN",1999,687
"THAILAND",1999,48030
"TOGO",1999,419
"TONGA",1999,30
"TRINIDAD AND TOBAGO",1999,6148
