"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"TUNISIA",1999,4999
"TURKEY",1999,53660
"TURKMENISTAN",1999,10275
"TURKS AND CAICOS ISLANDS",1999,18
"TUVALU",1999,2
"UGANDA",1999,358
"UKRAINE",1999,90687
"UNITED ARAB EMIRATES",1999,21373
"UNITED KINGDOM",1999,144788
"UNITED REPUBLIC OF TANZANIA",1999,692
"UNITED STATES OF AMERICA",1999,1501137
"URUGUAY",1999,1834
"UZBEKISTAN",1999,33552
"VANUATU",1999,23
"VENEZUELA",1999,47211
"VIET NAM",1999,13006
"YEMEN",1999,3789
"YUGOSLAVIA (MONTENEGRO & SERBIA)",1999,10104
"ZAMBIA",1999,493
"ZIMBABWE",1999,4318
