"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1972,418
"ALBANIA",1972,1539
"ALGERIA",1972,7731
"ANGOLA",1972,1229
"ANTIGUA & BARBUDA",1972,102
"ARGENTINA",1972,24586
"AUSTRALIA",1972,42947
"AUSTRIA",1972,15324
"BAHAMAS",1972,1770
"BAHRAIN",1972,1004
"BANGLADESH",1972,957
"BARBADOS",1972,137
"BELGIUM",1972,35679
"BELIZE",1972,43
"BENIN",1972,106
"BERMUDA",1972,69
"BHUTAN",1972,1
"BOTSWANA",1972,6
"BRAZIL",1972,31187
"BRITISH VIRGIN ISLANDS",1972,6
"BRUNEI (DARUSSALAM)",1972,2580
"BULGARIA",1972,18045
"BURKINA FASO",1972,44
"BURUNDI",1972,20
"CAMBODIA",1972,32
"CANADA",1972,103937
"CAPE VERDE",1972,14
"CAYMAN ISLANDS",1972,15
"CENTRAL AFRICAN REPUBLIC",1972,46
"CHAD",1972,33
"CHILE",1972,7688
"CHINA (MAINLAND)",1972,254043
"CHRISTMAS ISLAND",1972,23
"COLOMBIA",1972,8585
"COMOROS",1972,8
"CONGO",1972,181
"COOK ISLANDS",1972,3
"COSTA RICA",1972,481
"COTE D IVOIRE",1972,822
"CUBA",1972,5672
"CYPRUS",1972,656
"CZECHOSLOVAKIA",1972,58912
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1972,24434
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1972,824
"DENMARK",1972,16265
"DJIBOUTI",1972,52
"DOMINICA",1972,7
"DOMINICAN REPUBLIC",1972,1275
"ECUADOR",1972,1253
"EGYPT",1972,6957
"EL SALVADOR",1972,458
"EQUATORIAL GUINEA",1972,24
"ETHIOPIA",1972,384
"FAEROE ISLANDS",1972,64
"FALKLAND ISLANDS (MALVINAS)",1972,3
"FEDERAL REPUBLIC OF GERMANY",1972,207402
"FIJI",1972,158
"FINLAND",1972,12043
"FORMER DEMOCRATIC YEMEN",1972,339
"FORMER GERMAN DEMOCRATIC REPUBLIC",1972,77028
"FORMER PANAMA CANAL ZONE",1972,193
"FORMER YEMEN",1972,69
"FRANCE (INCLUDING MONACO)",1972,131096
"FRENCH GUIANA",1972,28
"FRENCH POLYNESIA",1972,59
"GABON",1972,747
"GAMBIA",1972,18
"GHANA",1972,661
"GIBRALTAR",1972,20
