"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1991,665
"ALBANIA",1991,1169
"ALGERIA",1991,21557
"ANDORRA",1991,111
"ANGOLA",1991,1388
"ANGUILLA",1991,14
"ANTARCTIC FISHERIES",1991,4
"ANTIGUA & BARBUDA",1991,73
"ARGENTINA",1991,31933
"ARUBA",1991,459
"AUSTRALIA",1991,71304
"AUSTRIA",1991,16800
"BAHAMAS",1991,486
"BAHRAIN",1991,3239
"BANGLADESH",1991,4347
"BARBADOS",1991,329
"BELGIUM",1991,30259
"BELIZE",1991,98
"BENIN",1991,224
"BERMUDA",1991,147
"BHUTAN",1991,51
"BOTSWANA",1991,719
"BRAZIL",1991,59812
"BRITISH VIRGIN ISLANDS",1991,18
"BRUNEI (DARUSSALAM)",1991,1448
"BULGARIA",1991,15694
"BURKINA FASO",1991,171
"BURUNDI",1991,65
"CAMBODIA",1991,356
"CANADA",1991,116384
"CAPE VERDE",1991,27
"CAYMAN ISLANDS",1991,74
"CENTRAL AFRICAN REPUBLIC",1991,56
"CHAD",1991,18
"CHILE",1991,8542
"CHINA (MAINLAND)",1991,699644
"COLOMBIA",1991,15577
"COMOROS",1991,18
"CONGO",1991,274
"COOK ISLANDS",1991,10
"COSTA RICA",1991,910
"COTE D IVOIRE",1991,1244
"CUBA",1991,8102
"CYPRUS",1991,1279
"CZECHOSLOVAKIA",1991,54764
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1991,32393
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1991,808
"DENMARK",1991,16436
"DJIBOUTI",1991,85
"DOMINICA",1991,16
"DOMINICAN REPUBLIC",1991,2739
"ECUADOR",1991,4499
"EGYPT",1991,21466
"EL SALVADOR",1991,865
"EQUATORIAL GUINEA",1991,39
"ETHIOPIA",1991,814
"FAEROE ISLANDS",1991,182
"FALKLAND ISLANDS (MALVINAS)",1991,11
"FIJI",1991,183
"FINLAND",1991,14644
"FRANCE (INCLUDING MONACO)",1991,106542
"FRENCH GUIANA",1991,182
"FRENCH POLYNESIA",1991,118
"GABON",1991,1237
"GAMBIA",1991,49
"GERMANY",1991,253606
"GHANA",1991,1073
"GIBRALTAR",1991,54
"GREECE",1991,20197
"GREENLAND",1991,149
"GRENADA",1991,30
"GUADELOUPE",1991,351
"GUATEMALA",1991,1378
"GUINEA",1991,280
"GUINEA BISSAU",1991,48
"GUYANA",1991,304
"HAITI",1991,272
"HONDURAS",1991,736
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1991,7810
"HUNGARY",1991,18158
"ICELAND",1991,482
"INDIA",1991,179490
"INDONESIA",1991,49013
"IRAQ",1991,12447
"IRELAND",1991,8563
"ISLAMIC REPUBLIC OF IRAN",1991,62013
"ISRAEL",1991,10023
"ITALY (INCLUDING SAN MARINO)",1991,115597
"JAMAICA",1991,2115
"JAPAN",1991,299804
"JORDAN",1991,2672
"KENYA",1991,1320
"KIRIBATI",1991,6
"KUWAIT",1991,2779
"KUWAITI OIL FIRES",1991,130438
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1991,64
"LEBANON",1991,2312
"LESOTHO",1991,417
"LIBERIA",1991,76
"LIBYAN ARAB JAMAHIRIYAH",1991,11689
"LUXEMBOURG",1991,2895
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1991,298
"MADAGASCAR",1991,282
"MALAWI",1991,217
"MALAYSIA",1991,18705
"MALDIVES",1991,42
"MALI",1991,119
"MALTA",1991,561
"MARTINIQUE",1991,382
"MAURITANIA",1991,251
"MAURITIUS",1991,415
"MEXICO",1991,90526
"MONGOLIA",1991,3316
"MONTSERRAT",1991,8
"MOROCCO",1991,6811
"MOZAMBIQUE",1991,279
"MYANMAR (FORMERLY BURMA)",1991,1140
"NAMIBIA",1991,288
"NAURU",1991,34
"NEPAL",1991,262
"NETHERLAND ANTILLES",1991,1181
"NETHERLANDS",1991,45038
"NEW CALEDONIA",1991,482
"NEW ZEALAND",1991,6568
"NICARAGUA",1991,547
"NIGER",1991,197
"NIGERIA",1991,11528
"NIUE",1991,2
"NORWAY",1991,8747
"OCCUPIED PALESTINIAN TERRITORY",1991,241
"OMAN",1991,3210
"PACIFIC ISLANDS (PALAU)",1991,64
"PAKISTAN",1991,18610
"PANAMA",1991,885
"PAPUA NEW GUINEA",1991,563
"PARAGUAY",1991,582
"PERU",1991,5534
"PHILIPPINES",1991,11980
"PLURINATIONAL STATE OF BOLIVIA",1991,1638
"POLAND",1991,98621
"PORTUGAL",1991,11997
"QATAR",1991,4828
"REPUBLIC OF CAMEROON",1991,301
"REPUBLIC OF KOREA",1991,71307
"REUNION",1991,372
"ROMANIA",1991,38257
"RWANDA",1991,133
"SAINT HELENA",1991,2
"SAINT LUCIA",1991,46
"SAMOA",1991,29
"SAO TOME & PRINCIPE",1991,13
"SAUDI ARABIA",1991,73021
"SENEGAL",1991,934
"SEYCHELLES",1991,47
"SIERRA LEONE",1991,149
"SINGAPORE",1991,12345
"SOLOMON ISLANDS",1991,40
"SOMALIA",1991,193
"SOUTH AFRICA",1991,89013
"SPAIN",1991,61531
"SRI LANKA",1991,1139
"ST. KITTS-NEVIS",1991,29
"ST. PIERRE & MIQUELON",1991,28
"ST. VINCENT & THE GRENADINES",1991,21
"SUDAN",1991,1334
"SURINAME",1991,560
"SWAZILAND",1991,89
"SWEDEN",1991,14051
"SWITZERLAND",1991,11646
"SYRIAN ARAB REPUBLIC",1991,11598
"TAIWAN",1991,36784
"THAILAND",1991,27211
"TOGO",1991,230
"TONGA",1991,26
"TRINIDAD AND TOBAGO",1991,4640
"TUNISIA",1991,4224
"TURKEY",1991,40529
"TURKS AND CAICOS ISLANDS",1991,8
