"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1967,350
"ALBANIA",1967,731
"ALGERIA",1967,2302
"ANGOLA",1967,271
"ANTIGUA & BARBUDA",1967,154
"ARGENTINA",1967,17874
"AUSTRALIA",1967,35251
"AUSTRIA",1967,10899
"BAHAMAS",1967,465
"BAHRAIN",1967,274
"BARBADOS",1967,92
"BELGIUM",1967,29308
"BELIZE",1967,33
"BENIN",1967,39
"BERMUDA",1967,58
"BRAZIL",1967,18051
"BRITISH VIRGIN ISLANDS",1967,1
"BRUNEI (DARUSSALAM)",1967,120
"BULGARIA",1967,15044
"BURKINA FASO",1967,28
"BURUNDI",1967,13
"CAMBODIA",1967,114
"CANADA",1967,76874
"CAPE VERDE",1967,5
"CAYMAN ISLANDS",1967,4
"CENTRAL AFRICAN REPUBLIC",1967,25
"CHAD",1967,32
"CHILE",1967,5252
"CHINA (MAINLAND)",1967,118144
"COLOMBIA",1967,6740
"COMOROS",1967,5
"CONGO",1967,88
"COSTA RICA",1967,239
"COTE D IVOIRE",1967,406
"CUBA",1967,4295
"CYPRUS",1967,372
"CZECHOSLOVAKIA",1967,43687
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1967,14302
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1967,625
"DEMOCRATIC REPUBLIC OF VIETNAM",1967,2136
"DENMARK",1967,13383
"DJIBOUTI",1967,24
"DOMINICA",1967,6
"DOMINICAN REPUBLIC",1967,428
"EAST & WEST PAKISTAN",1967,5883
"ECUADOR",1967,707
"EGYPT",1967,5366
"EL SALVADOR",1967,316
"EQUATORIAL GUINEA",1967,7
"ETHIOPIA",1967,293
"FAEROE ISLANDS",1967,46
"FALKLAND ISLANDS (MALVINAS)",1967,5
"FEDERAL REPUBLIC OF GERMANY",1967,172762
"FIJI",1967,97
"FINLAND",1967,7804
"FORMER DEMOCRATIC YEMEN",1967,805
"FORMER GERMAN DEMOCRATIC REPUBLIC",1967,82802
"FORMER PANAMA CANAL ZONE",1967,124
"FORMER YEMEN",1967,28
"FRANCE (INCLUDING MONACO)",1967,101448
"FRENCH GUIANA",1967,19
"FRENCH POLYNESIA",1967,38
