"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1962,188
"ALBANIA",1962,672
"ALGERIA",1962,1546
"ANGOLA",1962,322
"ANTIGUA & BARBUDA",1962,28
"ARGENTINA",1962,14643
"AUSTRALIA",1962,25883
"AUSTRIA",1962,9246
"BAHAMAS",1962,198
"BAHRAIN",1962,434
"BARBADOS",1962,71
"BELGIUM",1962,26757
"BELIZE",1962,19
"BENIN",1962,37
"BERMUDA",1962,43
"BRAZIL",1962,14643
"BRITISH VIRGIN ISLANDS",1962,1
"BRUNEI (DARUSSALAM)",1962,101
"BULGARIA",1962,8382
"BURKINA FASO",1962,23
"BURUNDI",1962,12
"CAMBODIA",1962,84
"CANADA",1962,56500
"CAPE VERDE",1962,5
"CAYMAN ISLANDS",1962,3
"CENTRAL AFRICAN REPUBLIC",1962,20
"CHAD",1962,23
"CHILE",1962,4561
"CHINA (MAINLAND)",1962,120087
"COLOMBIA",1962,5302
"COMOROS",1962,3
"CONGO",1962,65
"COSTA RICA",1962,150
"COTE D IVOIRE",1962,160
"CUBA",1962,3864
"CYPRUS",1962,247
"CZECHOSLOVAKIA",1962,41272
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1962,8378
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1962,593
"DEMOCRATIC REPUBLIC OF VIETNAM",1962,2059
"DENMARK",1962,10070
"DJIBOUTI",1962,13
"DOMINICA",1962,3
"DOMINICAN REPUBLIC",1962,339
"EAST & WEST PAKISTAN",1962,4392
"ECUADOR",1962,427
"EGYPT",1962,5071
"EL SALVADOR",1962,177
"EQUATORIAL GUINEA",1962,6
"ETHIOPIA",1962,108
"FAEROE ISLANDS",1962,32
"FALKLAND ISLANDS (MALVINAS)",1962,13
"FEDERAL REPUBLIC OF GERMANY",1962,159755
"FIJI",1962,63
"FINLAND",1962,4584
"FORMER DEMOCRATIC YEMEN",1962,1041
"FORMER GERMAN DEMOCRATIC REPUBLIC",1962,81322
"FORMER PANAMA CANAL ZONE",1962,74
"FORMER YEMEN",1962,19
"FRANCE (INCLUDING MONACO)",1962,81458
"FRENCH GUIANA",1962,6
"FRENCH POLYNESIA",1962,13
"GABON",1962,24
"GAMBIA",1962,7
"GHANA",1962,391
"GIBRALTAR",1962,15
"GREECE",1962,2772
"GREENLAND",1962,72
"GRENADA",1962,7
"GUADELOUPE",1962,51
"GUATEMALA",1962,377
"GUINEA",1962,180
"GUINEA BISSAU",1962,11
"GUYANA",1962,185
"HAITI",1962,83
"HONDURAS",1962,191
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1962,1005
"HUNGARY",1962,13788
"ICELAND",1962,327
"INDIA",1962,39124
"INDONESIA",1962,6271
"IRAQ",1962,2463
"IRELAND",1962,3578
"ISLAMIC REPUBLIC OF IRAN",1962,10216
"ISRAEL",1962,2166
"ITALY (INCLUDING SAN MARINO)",1962,39939
"JAMAICA",1962,578
"JAPAN",1962,79962
