"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1968,334
"ALBANIA",1968,838
"ALGERIA",1968,2471
"ANGOLA",1968,456
"ANTIGUA & BARBUDA",1968,270
"ARGENTINA",1968,18839
"AUSTRALIA",1968,36712
"AUSTRIA",1968,11549
"BAHAMAS",1968,445
"BAHRAIN",1968,301
"BARBADOS",1968,120
"BELGIUM",1968,32331
"BELIZE",1968,28
"BENIN",1968,42
"BERMUDA",1968,61
"BRAZIL",1968,21113
"BRITISH VIRGIN ISLANDS",1968,4
"BRUNEI (DARUSSALAM)",1968,117
"BULGARIA",1968,16233
"BURKINA FASO",1968,28
"BURUNDI",1968,15
"CAMBODIA",1968,134
"CANADA",1968,82776
"CAPE VERDE",1968,8
"CAYMAN ISLANDS",1968,6
"CENTRAL AFRICAN REPUBLIC",1968,50
"CHAD",1968,34
"CHILE",1968,5788
"CHINA (MAINLAND)",1968,127878
"COLOMBIA",1968,7255
"COMOROS",1968,5
"CONGO",1968,123
"COSTA RICA",1968,283
"COTE D IVOIRE",1968,481
"CUBA",1968,4373
"CYPRUS",1968,443
"CZECHOSLOVAKIA",1968,45707
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1968,16179
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1968,919
"DEMOCRATIC REPUBLIC OF VIETNAM",1968,2289
"DENMARK",1968,14542
"DJIBOUTI",1968,33
"DOMINICA",1968,6
"DOMINICAN REPUBLIC",1968,641
"EAST & WEST PAKISTAN",1968,6746
"ECUADOR",1968,850
"EGYPT",1968,6246
"EL SALVADOR",1968,344
"EQUATORIAL GUINEA",1968,8
"ETHIOPIA",1968,471
"FAEROE ISLANDS",1968,50
"FEDERAL REPUBLIC OF GERMANY",1968,184911
"FIJI",1968,108
"FINLAND",1968,9085
"FORMER DEMOCRATIC YEMEN",1968,3141
"FORMER GERMAN DEMOCRATIC REPUBLIC",1968,83909
"FORMER PANAMA CANAL ZONE",1968,159
"FORMER YEMEN",1968,35
"FRANCE (INCLUDING MONACO)",1968,104890
"FRENCH GUIANA",1968,23
"FRENCH POLYNESIA",1968,42
"GABON",1968,535
"GAMBIA",1968,10
"GHANA",1968,481
"GIBRALTAR",1968,18
"GREECE",1968,6087
"GREENLAND",1968,148
"GRENADA",1968,11
"GUADELOUPE",1968,76
"GUATEMALA",1968,584
"GUINEA",1968,204
"GUINEA BISSAU",1968,17
"GUYANA",1968,363
"HAITI",1968,72
"HONDURAS",1968,334
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1968,1692
"HUNGARY",1968,16677
"ICELAND",1968,435
"INDIA",1968,51087
"INDONESIA",1968,7523
"IRAQ",1968,5377
"IRELAND",1968,4860
"ISLAMIC REPUBLIC OF IRAN",1968,22472
"ISRAEL",1968,3766
"ITALY (INCLUDING SAN MARINO)",1968,68038
"JAMAICA",1968,1059
"JAPAN",1968,153413
"JORDAN",1968,411
"KENYA",1968,769
"KIRIBATI",1968,9
"KUWAIT",1968,6120
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1968,46
"LEBANON",1968,1009
"LIBERIA",1968,241
"LIBYAN ARAB JAMAHIRIYAH",1968,8219
"LUXEMBOURG",1968,3346
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1968,46
"MADAGASCAR",1968,249
"MALAWI",1968,106
"MALI",1968,54
"MALTA",1968,174
"MARTINIQUE",1968,84
"MAURITANIA",1968,64
"MAURITIUS",1968,174
"MEXICO",1968,25631
"MONGOLIA",1968,677
"MONTSERRAT",1968,2
"MOROCCO",1968,1535
"MOZAMBIQUE",1968,758
"MYANMAR (FORMERLY BURMA)",1968,799
"NAURU",1968,13
"NEPAL",1968,69
"NETHERLAND ANTILLES AND ARUBA",1968,3103
"NETHERLANDS",1968,30966
"NEW CALEDONIA",1968,502
"NEW ZEALAND",1968,3678
"NICARAGUA",1968,336
"NIGER",1968,44
"NIGERIA",1968,1809
"NORWAY",1968,5765
"OMAN",1968,44
"PACIFIC ISLANDS (PALAU)",1968,21
"PANAMA",1968,551
"PAPUA NEW GUINEA",1968,137
"PARAGUAY",1968,161
"PENINSULAR MALAYSIA",1968,2321
"PERU",1968,3955
"PHILIPPINES",1968,6068
"PLURINATIONAL STATE OF BOLIVIA",1968,594
"POLAND",1968,75286
"PORTUGAL",1968,3548
"QATAR",1968,1931
"REPUBLIC OF CAMEROON",1968,138
"REPUBLIC OF KOREA",1968,10156
"REPUBLIC OF SOUTH VIETNAM",1968,4153
"REUNION",1968,59
"ROMANIA",1968,27322
"RWANDA",1968,15
"RYUKYU ISLANDS",1968,211
"SABAH",1968,132
"SAINT HELENA",1968,1
"SAINT LUCIA",1968,10
"SAMOA",1968,8
"SAO TOME & PRINCIPE",1968,4
"SARAWAK",1968,422
"SAUDI ARABIA",1968,7937
"SENEGAL",1968,-22
"SEYCHELLES",1968,2
"SIERRA LEONE",1968,105
"SINGAPORE",1968,1478
"SOLOMON ISLANDS",1968,10
"SOMALIA",1968,42
"SOUTH AFRICA",1968,37656
"SPAIN",1968,26495
"SRI LANKA",1968,884
"ST. KITTS-NEVIS-ANGUILLA",1968,9
"ST. PIERRE & MIQUELON",1968,11
"ST. VINCENT & THE GRENADINES",1968,6
"SUDAN",1968,847
"SURINAME",1968,396
"SWAZILAND",1968,76
"SWEDEN",1968,21185
"SWITZERLAND",1968,9825
"SYRIAN ARAB REPUBLIC",1968,1626
"TAIWAN",1968,6593
"TANGANYIKA",1968,442
"THAILAND",1968,4663
"TOGO",1968,53
"TONGA",1968,4
"TRINIDAD AND TOBAGO",1968,1102
"TUNISIA",1968,981
"TURKEY",1968,9903
"UGANDA",1968,268
"UNITED ARAB EMIRATES",1968,339
"UNITED KINGDOM",1968,165522
"UNITED STATES OF AMERICA",1968,1044820
"URUGUAY",1968,1332
