"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1982,573
"ALBANIA",1982,1993
"ALGERIA",1982,10709
"ANGOLA",1982,1268
"ANTIGUA & BARBUDA",1982,80
"ARGENTINA",1982,28204
"AUSTRALIA",1982,63845
"AUSTRIA",1982,14690
"BAHAMAS",1982,617
"BAHRAIN",1982,2683
"BANGLADESH",1982,2345
"BARBADOS",1982,176
"BELGIUM",1982,32057
"BELIZE",1982,47
"BENIN",1982,134
"BERMUDA",1982,108
"BHUTAN",1982,9
"BOTSWANA",1982,300
"BRAZIL",1982,46953
"BRITISH VIRGIN ISLANDS",1982,10
"BRUNEI (DARUSSALAM)",1982,571
"BULGARIA",1982,24579
"BURKINA FASO",1982,157
"BURUNDI",1982,43
"CAMBODIA",1982,92
"CANADA",1982,113120
"CAPE VERDE",1982,10
"CAYMAN ISLANDS",1982,44
"CENTRAL AFRICAN REPUBLIC",1982,39
"CHAD",1982,56
"CHILE",1982,5622
"CHINA (MAINLAND)",1982,430941
"CHRISTMAS ISLAND",1982,20
"COLOMBIA",1982,12521
"COMOROS",1982,13
"CONGO",1982,367
"COOK ISLANDS",1982,14
"COSTA RICA",1982,569
"COTE D IVOIRE",1982,1666
"CUBA",1982,9423
"CYPRUS",1982,846
"CZECHOSLOVAKIA",1982,65359
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1982,32000
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1982,838
"DENMARK",1982,14643
"DJIBOUTI",1982,95
"DOMINICA",1982,11
"DOMINICAN REPUBLIC",1982,1729
"ECUADOR",1982,5260
"EGYPT",1982,15414
"EL SALVADOR",1982,482
"EQUATORIAL GUINEA",1982,20
"ETHIOPIA",1982,404
"FAEROE ISLANDS",1982,125
"FALKLAND ISLANDS (MALVINAS)",1982,6
"FEDERAL REPUBLIC OF GERMANY",1982,191092
"FIJI",1982,229
"FINLAND",1982,11749
"FORMER DEMOCRATIC YEMEN",1982,1088
"FORMER GERMAN DEMOCRATIC REPUBLIC",1982,86780
"FORMER YEMEN",1982,534
"FRANCE (INCLUDING MONACO)",1982,119142
"FRENCH GUIANA",1982,99
"FRENCH POLYNESIA",1982,92
"GABON",1982,1788
"GAMBIA",1982,44
"GHANA",1982,830
"GIBRALTAR",1982,6
"GREECE",1982,14221
"GREENLAND",1982,141
"GRENADA",1982,17
"GUADELOUPE",1982,208
"GUATEMALA",1982,989
"GUINEA",1982,268
"GUINEA BISSAU",1982,39
"GUYANA",1982,383
"HAITI",1982,225
"HONDURAS",1982,481
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1982,5373
"HUNGARY",1982,23690
"ICELAND",1982,436
"INDIA",1982,95347
"INDONESIA",1982,28745
"IRAQ",1982,8351
"IRELAND",1982,6967
"ISLAMIC REPUBLIC OF IRAN",1982,37635
"ISRAEL",1982,6567
"ITALY (INCLUDING SAN MARINO)",1982,100813
"JAMAICA",1982,1696
"JAPAN",1982,245487
"JORDAN",1982,1716
"KENYA",1982,1280
"KIRIBATI",1982,7
"KUWAIT",1982,5773
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1982,43
"LEBANON",1982,1667
"LIBERIA",1982,164
"LIBYAN ARAB JAMAHIRIYAH",1982,8389
"LUXEMBOURG",1982,2416
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1982,132
"MADAGASCAR",1982,277
"MALAWI",1982,162
"MALAYSIA",1982,8337
"MALDIVES",1982,13
"MALI",1982,100
"MALTA",1982,358
"MARTINIQUE",1982,246
"MAURITANIA",1982,241
"MAURITIUS",1982,137
"MEXICO",1982,83130
"MONGOLIA",1982,1844
"MONTSERRAT",1982,5
"MOROCCO",1982,4652
"MOZAMBIQUE",1982,693
"MYANMAR (FORMERLY BURMA)",1982,1527
"NAURU",1982,34
"NEPAL",1982,121
"NETHERLAND ANTILLES AND ARUBA",1982,3049
"NETHERLANDS",1982,36630
"NEW CALEDONIA",1982,345
"NEW ZEALAND",1982,4974
"NICARAGUA",1982,577
"NIGER",1982,204
"NIGERIA",1982,17890
"NIUE",1982,1
"NORWAY",1982,11195
"OMAN",1982,1564
"PACIFIC ISLANDS (PALAU)",1982,43
"PAKISTAN",1982,10195
"PANAMA",1982,898
"PAPUA NEW GUINEA",1982,531
"PARAGUAY",1982,373
"PERU",1982,6455
"PHILIPPINES",1982,9544
