"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1984,772
"ALBANIA",1984,2134
"ALGERIA",1984,19390
"ANGOLA",1984,1366
"ANTIGUA & BARBUDA",1984,40
"ARGENTINA",1984,29049
"AUSTRALIA",1984,64520
"AUSTRIA",1984,14876
"BAHAMAS",1984,506
"BAHRAIN",1984,2511
"BANGLADESH",1984,2488
"BARBADOS",1984,204
"BELGIUM",1984,28749
"BELIZE",1984,47
"BENIN",1984,137
"BERMUDA",1984,121
"BHUTAN",1984,14
"BOTSWANA",1984,285
"BRAZIL",1984,46034
"BRITISH VIRGIN ISLANDS",1984,11
"BRUNEI (DARUSSALAM)",1984,523
"BULGARIA",1984,23825
"BURKINA FASO",1984,127
"BURUNDI",1984,60
"CAMBODIA",1984,112
"CANADA",1984,116061
"CAPE VERDE",1984,23
"CAYMAN ISLANDS",1984,50
"CENTRAL AFRICAN REPUBLIC",1984,41
"CHAD",1984,59
"CHILE",1984,6054
"CHINA (MAINLAND)",1984,494930
"COLOMBIA",1984,13357
"COMOROS",1984,13
"CONGO",1984,311
"COOK ISLANDS",1984,6
"COSTA RICA",1984,546
"COTE D IVOIRE",1984,1474
"CUBA",1984,8891
"CYPRUS",1984,868
"CZECHOSLOVAKIA",1984,67680
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1984,36875
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1984,1081
"DENMARK",1984,13870
"DJIBOUTI",1984,96
"DOMINICA",1984,12
"DOMINICAN REPUBLIC",1984,2030
"ECUADOR",1984,5797
"EGYPT",1984,17409
"EL SALVADOR",1984,438
"EQUATORIAL GUINEA",1984,22
"ETHIOPIA",1984,454
"FAEROE ISLANDS",1984,136
"FALKLAND ISLANDS (MALVINAS)",1984,7
"FEDERAL REPUBLIC OF GERMANY",1984,193819
"FIJI",1984,159
"FINLAND",1984,11523
"FORMER DEMOCRATIC YEMEN",1984,1152
"FORMER GERMAN DEMOCRATIC REPUBLIC",1984,88909
"FORMER YEMEN",1984,804
"FRANCE (INCLUDING MONACO)",1984,110538
"FRENCH GUIANA",1984,97
"FRENCH POLYNESIA",1984,125
"GABON",1984,1635
"GAMBIA",1984,47
"GHANA",1984,704
"GIBRALTAR",1984,9
"GREECE",1984,15559
"GREENLAND",1984,155
"GRENADA",1984,17
"GUADELOUPE",1984,239
"GUATEMALA",1984,933
"GUINEA",1984,267
"GUINEA BISSAU",1984,44
"GUYANA",1984,383
"HAITI",1984,249
"HONDURAS",1984,542
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1984,6094
"HUNGARY",1984,24776
"ICELAND",1984,495
"INDIA",1984,105841
"INDONESIA",1984,30593
"IRAQ",1984,10964
"IRELAND",1984,6962
"ISLAMIC REPUBLIC OF IRAN",1984,41085
"ISRAEL",1984,6475
"ITALY (INCLUDING SAN MARINO)",1984,100259
"JAMAICA",1984,1403
"JAPAN",1984,256376
"JORDAN",1984,2278
