"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1961,134
"ALBANIA",1961,622
"ALGERIA",1961,1654
"ANGOLA",1961,124
"ANTIGUA & BARBUDA",1961,13
"ARGENTINA",1961,13957
"AUSTRALIA",1961,24704
"AUSTRIA",1961,8689
"BAHAMAS",1961,149
"BAHRAIN",1961,483
"BARBADOS",1961,53
"BELGIUM",1961,25305
"BELIZE",1961,10
"BENIN",1961,35
"BERMUDA",1961,48
"BRAZIL",1961,13418
"BRUNEI (DARUSSALAM)",1961,83
"BULGARIA",1961,7083
"BURKINA FASO",1961,25
"CAMBODIA",1961,78
"CANADA",1961,52954
"CAPE VERDE",1961,6
"CAYMAN ISLANDS",1961,3
"CENTRAL AFRICAN REPUBLIC",1961,24
"CHAD",1961,14
"CHILE",1961,3947
"CHINA (MAINLAND)",1961,150550
"COLOMBIA",1961,4968
"COMOROS",1961,3
"CONGO",1961,73
"COSTA RICA",1961,134
"COTE D IVOIRE",1961,151
"CUBA",1961,3322
"CYPRUS",1961,236
"CZECHOSLOVAKIA",1961,38729
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1961,7215
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1961,643
"DEMOCRATIC REPUBLIC OF VIETNAM",1961,1681
"DENMARK",1961,8654
"DJIBOUTI",1961,12
"DOMINICA",1961,3
"DOMINICAN REPUBLIC",1961,281
"EAST & WEST PAKISTAN",1961,3997
"ECUADOR",1961,449
"EGYPT",1961,4660
"EL SALVADOR",1961,159
"EQUATORIAL GUINEA",1961,6
"ETHIOPIA",1961,93
"FAEROE ISLANDS",1961,31
"FALKLAND ISLANDS (MALVINAS)",1961,42
"FEDERAL REPUBLIC OF GERMANY",1961,150252
"FIJI",1961,46
"FINLAND",1961,4074
"FORMER DEMOCRATIC YEMEN",1961,707
"FORMER GERMAN DEMOCRATIC REPUBLIC",1961,77633
"FORMER PANAMA CANAL ZONE",1961,66
"FORMER YEMEN",1961,20
"FRANCE (INCLUDING MONACO)",1961,76687
"FRENCH GUIANA",1961,6
"FRENCH POLYNESIA",1961,16
"GABON",1961,45
"GAMBIA",1961,6
"GHANA",1961,367
"GIBRALTAR",1961,14
"GREECE",1961,2679
"GREENLAND",1961,80
"GRENADA",1961,5
"GUADELOUPE",1961,48
"GUATEMALA",1961,384
"GUINEA",1961,168
"GUINEA BISSAU",1961,8
"GUYANA",1961,201
"HAITI",1961,81
"HONDURAS",1961,201
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1961,920
"HUNGARY",1961,13356
"ICELAND",1961,298
"INDIA",1961,35561
"INDONESIA",1961,7097
"IRAQ",1961,2378
"IRELAND",1961,3372
"ISLAMIC REPUBLIC OF IRAN",1961,9965
"ISRAEL",1961,1928
"ITALY (INCLUDING SAN MARINO)",1961,33965
"JAMAICA",1961,581
"JAPAN",1961,77207
"JORDAN",1961,267
"KENYA",1961,655
"KIRIBATI",1961,2
"KUWAIT",1961,2722
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1961,31
"LEBANON",1961,732
"LIBERIA",1961,44
"LIBYAN ARAB JAMAHIRIYAH",1961,326
"LUXEMBOURG",1961,3161
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1961,19
"MADAGASCAR",1961,97
"MALI",1961,32
"MALTA",1961,80
"MARTINIQUE",1961,47
"MAURITANIA",1961,13
"MAURITIUS",1961,51
"MEXICO",1961,17809
"MONGOLIA",1961,380
"MOROCCO",1961,1030
"MOZAMBIQUE",1961,718
"MYANMAR (FORMERLY BURMA)",1961,707
"NEPAL",1961,22
"NETHERLAND ANTILLES AND ARUBA",1961,3157
"NETHERLANDS",1961,20695
"NEW CALEDONIA",1961,242
"NEW ZEALAND",1961,3209
"NICARAGUA",1961,153
"NIGER",1961,15
"NIGERIA",1961,1122
"NORWAY",1961,3641
"PACIFIC ISLANDS (PALAU)",1961,14
"PANAMA",1961,301
"PAPUA NEW GUINEA",1961,55
"PARAGUAY",1961,99
"PENINSULAR MALAYSIA",1961,1091
"PERU",1961,2357
"PHILIPPINES",1961,2379
"PLURINATIONAL STATE OF BOLIVIA",1961,284
"POLAND",1961,56568
"PORTUGAL",1961,2479
"QATAR",1961,44
"REPUBLIC OF CAMEROON",1961,77
"REPUBLIC OF KOREA",1961,3944
"REPUBLIC OF SOUTH VIETNAM",1961,497
"REUNION",1961,23
"RHODESIA-NYASALAND",1961,2496
"ROMANIA",1961,15210
"RWANDA-URUNDI",1961,38
"RYUKYU ISLANDS",1961,94
"SABAH",1961,37
"SAINT LUCIA",1961,5
"SAMOA",1961,5
"SAO TOME & PRINCIPE",1961,3
"SARAWAK",1961,151
"SAUDI ARABIA",1961,974
"SENEGAL",1961,222
"SIERRA LEONE",1961,79
"SINGAPORE",1961,571
"SOLOMON ISLANDS",1961,4
"SOMALIA",1961,24
"SOUTH AFRICA",1961,27874
"SPAIN",1961,14638
"SRI LANKA",1961,637
"ST. KITTS-NEVIS-ANGUILLA",1961,6
"ST. PIERRE & MIQUELON",1961,13
"ST. VINCENT & THE GRENADINES",1961,3
"SUDAN",1961,378
"SURINAME",1961,117
"SWAZILAND",1961,1
"SWEDEN",1961,13322
"SWITZERLAND",1961,5560
"SYRIAN ARAB REPUBLIC",1961,836
"TAIWAN",1961,3421
"TANGANYIKA",1961,183
"THAILAND",1961,1131
"TOGO",1961,25
"TONGA",1961,3
"TRINIDAD AND TOBAGO",1961,1255
"TUNISIA",1961,482
"TURKEY",1961,4735
"UGANDA",1961,111
"UNITED ARAB EMIRATES",1961,3
"UNITED KINGDOM",1961,160605
"UNITED STATES OF AMERICA",1961,785521
"URUGUAY",1961,1124
"USSR",1961,407399
"VENEZUELA",1961,14161
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1961,10008
"ZANZIBAR",1961,9
