"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1981,541
"ALBANIA",1981,2002
"ALGERIA",1981,12664
"ANGOLA",1981,1440
"ANTIGUA & BARBUDA",1981,29
"ARGENTINA",1981,27827
"AUSTRALIA",1981,62820
"AUSTRIA",1981,15307
"BAHAMAS",1981,764
"BAHRAIN",1981,2325
"BANGLADESH",1981,2163
"BARBADOS",1981,187
"BELGIUM",1981,33821
"BELIZE",1981,50
"BENIN",1981,117
"BERMUDA",1981,106
"BHUTAN",1981,7
"BOTSWANA",1981,275
"BRAZIL",1981,46852
"BRITISH VIRGIN ISLANDS",1981,12
"BRUNEI (DARUSSALAM)",1981,401
"BULGARIA",1981,21910
"BURKINA FASO",1981,152
"BURUNDI",1981,43
"CAMBODIA",1981,82
"CANADA",1981,117263
"CAPE VERDE",1981,9
"CAYMAN ISLANDS",1981,42
"CENTRAL AFRICAN REPUBLIC",1981,37
"CHAD",1981,57
"CHILE",1981,6696
"CHINA (MAINLAND)",1981,395828
"CHRISTMAS ISLAND",1981,28
"COLOMBIA",1981,12124
"COMOROS",1981,13
"CONGO",1981,129
"COOK ISLANDS",1981,18
"COSTA RICA",1981,614
"COTE D IVOIRE",1981,1218
"CUBA",1981,8931
"CYPRUS",1981,831
"CZECHOSLOVAKIA",1981,65994
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1981,31306
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1981,1030
"DENMARK",1981,14123
"DJIBOUTI",1981,82
"DOMINICA",1981,10
"DOMINICAN REPUBLIC",1981,1682
"ECUADOR",1981,4552
"EGYPT",1981,13902
"EL SALVADOR",1981,500
"EQUATORIAL GUINEA",1981,19
"ETHIOPIA",1981,509
"FAEROE ISLANDS",1981,120
"FALKLAND ISLANDS (MALVINAS)",1981,7
"FEDERAL REPUBLIC OF GERMANY",1981,200278
"FIJI",1981,295
"FINLAND",1981,14047
"FORMER DEMOCRATIC YEMEN",1981,783
"FORMER GERMAN DEMOCRATIC REPUBLIC",1981,86520
"FORMER YEMEN",1981,371
"FRANCE (INCLUDING MONACO)",1981,123998
"FRENCH GUIANA",1981,89
"FRENCH POLYNESIA",1981,90
"GABON",1981,1793
"GAMBIA",1981,43
"GHANA",1981,831
"GIBRALTAR",1981,14
"GREECE",1981,13832
"GREENLAND",1981,144
"GRENADA",1981,16
"GUADELOUPE",1981,215
"GUATEMALA",1981,1082
"GUINEA",1981,270
"GUINEA BISSAU",1981,39
"GUYANA",1981,491
"HAITI",1981,209
"HONDURAS",1981,497
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1981,5097
"HUNGARY",1981,23621
"ICELAND",1981,478
"INDIA",1981,92402
"INDONESIA",1981,27314
"IRAQ",1981,8760
"IRELAND",1981,7101
"ISLAMIC REPUBLIC OF IRAN",1981,30788
"ISRAEL",1981,5785
"ITALY (INCLUDING SAN MARINO)",1981,103087
"JAMAICA",1981,2022
"JAPAN",1981,253506
"JORDAN",1981,1599
"KENYA",1981,1780
"KIRIBATI",1981,8
"KUWAIT",1981,6876
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1981,41
"LEBANON",1981,1732
"LIBERIA",1981,529
"LIBYAN ARAB JAMAHIRIYAH",1981,7857
"LUXEMBOURG",1981,2571
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1981,146
"MADAGASCAR",1981,280
"MALAWI",1981,165
"MALAYSIA",1981,8406
"MALDIVES",1981,13
"MALI",1981,108
"MALTA",1981,312
"MARTINIQUE",1981,215
"MAURITANIA",1981,181
"MAURITIUS",1981,148
"MEXICO",1981,77592
"MONGOLIA",1981,1812
"MONTSERRAT",1981,5
"MOROCCO",1981,4324
"MOZAMBIQUE",1981,679
"MYANMAR (FORMERLY BURMA)",1981,1538
"NAURU",1981,34
"NEPAL",1981,124
"NETHERLAND ANTILLES AND ARUBA",1981,2727
"NETHERLANDS",1981,44984
"NEW CALEDONIA",1981,380
"NEW ZEALAND",1981,4507
"NICARAGUA",1981,584
"NIGER",1981,187
"NIGERIA",1981,17987
"NIUE",1981,1
"NORWAY",1981,10998
"OMAN",1981,1641
"PACIFIC ISLANDS (PALAU)",1981,43
"PAKISTAN",1981,9381
"PANAMA",1981,911
"PAPUA NEW GUINEA",1981,527
"PARAGUAY",1981,379
"PERU",1981,6573
"PHILIPPINES",1981,9453
"PLURINATIONAL STATE OF BOLIVIA",1981,1307
"POLAND",1981,111825
"PORTUGAL",1981,7425
"QATAR",1981,3507
"REPUBLIC OF CAMEROON",1981,1457
"REPUBLIC OF KOREA",1981,38108
"REUNION",1981,214
"ROMANIA",1981,54037
"RWANDA",1981,164
"SAINT HELENA",1981,2
"SAINT LUCIA",1981,26
"SAMOA",1981,28
"SAO TOME & PRINCIPE",1981,12
"SAUDI ARABIA",1981,47857
"SENEGAL",1981,899
"SEYCHELLES",1981,27
"SIERRA LEONE",1981,189
"SINGAPORE",1981,7322
"SOLOMON ISLANDS",1981,37
"SOMALIA",1981,75
"SOUTH AFRICA",1981,70185
"SPAIN",1981,56528
"SRI LANKA",1981,1100
"ST. KITTS-NEVIS",1981,15
"ST. PIERRE & MIQUELON",1981,11
"ST. VINCENT & THE GRENADINES",1981,10
"SUDAN",1981,993
"SURINAME",1981,554
"SWAZILAND",1981,119
"SWEDEN",1981,18934
"SWITZERLAND",1981,10597
"SYRIAN ARAB REPUBLIC",1981,7264
"TAIWAN",1981,20503
"THAILAND",1981,10376
"TOGO",1981,171
"TONGA",1981,13
"TRINIDAD AND TOBAGO",1981,4707
"TUNISIA",1981,2682
"TURKEY",1981,21782
"UGANDA",1981,144
"UNITED ARAB EMIRATES",1981,10051
"UNITED KINGDOM",1981,152937
"UNITED REPUBLIC OF TANZANIA",1981,579
"UNITED STATES OF AMERICA",1981,1236924
"URUGUAY",1981,1466
"USSR",1981,934023
"VANUATU",1981,14
"VENEZUELA",1981,25080
"VIET NAM",1981,4834
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1981,31895
"ZAMBIA",1981,918
"ZIMBABWE",1981,2573
