"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1979,611
"ALBANIA",1979,2069
"ALGERIA",1979,12441
"ANGOLA",1979,1501
"ANTIGUA & BARBUDA",1979,111
"ARGENTINA",1979,30189
"AUSTRALIA",1979,55923
"AUSTRIA",1979,16797
"BAHAMAS",1979,1890
"BAHRAIN",1979,2218
"BANGLADESH",1979,1813
"BARBADOS",1979,164
"BELGIUM",1979,38242
"BELIZE",1979,57
"BENIN",1979,100
"BERMUDA",1979,126
"BHUTAN",1979,6
"BOTSWANA",1979,257
"BRAZIL",1979,51356
"BRITISH VIRGIN ISLANDS",1979,8
"BRUNEI (DARUSSALAM)",1979,2029
"BULGARIA",1979,21585
"BURKINA FASO",1979,111
"BURUNDI",1979,30
"CAMBODIA",1979,8
"CANADA",1979,120553
"CAPE VERDE",1979,68
"CAYMAN ISLANDS",1979,25
"CENTRAL AFRICAN REPUBLIC",1979,28
"CHAD",1979,55
"CHILE",1979,6780
"CHINA (MAINLAND)",1979,407652
"CHRISTMAS ISLAND",1979,27
"COLOMBIA",1979,12117
"COMOROS",1979,6
"CONGO",1979,95
"COOK ISLANDS",1979,7
"COSTA RICA",1979,762
"COTE D IVOIRE",1979,1479
"CUBA",1979,8648
"CYPRUS",1979,819
"CZECHOSLOVAKIA",1979,65920
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1979,30153
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1979,1024
"DENMARK",1979,17180
"DJIBOUTI",1979,99
"DOMINICA",1979,9
"DOMINICAN REPUBLIC",1979,1857
"ECUADOR",1979,3318
"EGYPT",1979,11712
"EL SALVADOR",1979,652
"EQUATORIAL GUINEA",1979,17
"ETHIOPIA",1979,504
"FAEROE ISLANDS",1979,131
"FALKLAND ISLANDS (MALVINAS)",1979,4
"FEDERAL REPUBLIC OF GERMANY",1979,220557
"FIJI",1979,229
"FINLAND",1979,14817
"FORMER DEMOCRATIC YEMEN",1979,594
"FORMER GERMAN DEMOCRATIC REPUBLIC",1979,85134
"FORMER PANAMA CANAL ZONE",1979,280
"FORMER YEMEN",1979,285
"FRANCE (INCLUDING MONACO)",1979,144302
"FRENCH GUIANA",1979,149
"FRENCH POLYNESIA",1979,77
"GABON",1979,1842
"GAMBIA",1979,40
"GHANA",1979,725
"GIBRALTAR",1979,25
"GREECE",1979,13988
"GREENLAND",1979,156
