"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2002,292
"ALBANIA",2002,1023
"ALGERIA",2002,24518
"ANDORRA",2002,145
"ANGOLA",2002,3454
"ANGUILLA",2002,26
"ANTARCTIC FISHERIES",2002,1
"ANTIGUA & BARBUDA",2002,101
"ARGENTINA",2002,34010
"ARMENIA",2002,830
"ARUBA",2002,665
"AUSTRALIA",2002,93088
"AUSTRIA",2002,18291
"AZERBAIJAN",2002,8076
"BAHAMAS",2002,430
"BAHRAIN",2002,4281
"BANGLADESH",2002,9192
"BARBADOS",2002,335
"BELARUS",2002,14291
"BELGIUM",2002,29264
"BELIZE",2002,118
"BENIN",2002,567
"BERMUDA",2002,152
"BHUTAN",2002,114
"BOSNIA & HERZEGOVINA",2002,3900
"BOTSWANA",2002,1085
"BRAZIL",2002,90610
"BRITISH VIRGIN ISLANDS",2002,31
"BRUNEI (DARUSSALAM)",2002,1194
"BULGARIA",2002,12172
"BURKINA FASO",2002,274
"BURUNDI",2002,58
"CAMBODIA",2002,602
"CANADA",2002,141624
"CAPE VERDE",2002,75
"CAYMAN ISLANDS",2002,133
"CENTRAL AFRICAN REPUBLIC",2002,67
"CHAD",2002,46
"CHILE",2002,15043
"CHINA (MAINLAND)",2002,1049978
"COLOMBIA",2002,15179
"COMOROS",2002,28
"CONGO",2002,157
"COOK ISLANDS",2002,8
"COSTA RICA",2002,1725
"COTE D IVOIRE",2002,1987
"CROATIA",2002,5856
"CUBA",2002,7115
"CYPRUS",2002,1915
"CZECH REPUBLIC",2002,32656
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2002,18878
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2002,253
"DENMARK",2002,14194
"DJIBOUTI",2002,109
"DOMINICA",2002,28
"DOMINICAN REPUBLIC",2002,5817
"ECUADOR",2002,6804
"EGYPT",2002,34686
"EL SALVADOR",2002,1647
"EQUATORIAL GUINEA",2002,1358
"ERITREA",2002,165
"ESTONIA",2002,4060
"ETHIOPIA",2002,1233
"FAEROE ISLANDS",2002,198
"FALKLAND ISLANDS (MALVINAS)",2002,12
"FEDERATED STATES OF MICRONESIA",2002,39
"FIJI",2002,243
"FINLAND",2002,16821
"FRANCE (INCLUDING MONACO)",2002,102284
"FRENCH GUIANA",2002,125
"FRENCH POLYNESIA",2002,193
"GABON",2002,1247
"GAMBIA",2002,79
"GEORGIA",2002,924
"GERMANY",2002,226268
"GHANA",2002,2024
"GIBRALTAR",2002,95
"GREECE",2002,25544
"GREENLAND",2002,147
"GRENADA",2002,56
"GUADELOUPE",2002,576
"GUATEMALA",2002,3026
"GUINEA",2002,492
"GUINEA BISSAU",2002,42
"GUYANA",2002,431
"HAITI",2002,498
"HONDURAS",2002,1661
