"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1988,782
"ALBANIA",1988,1998
"ALGERIA",1988,22893
"ANGOLA",1988,1399
"ANTARCTIC FISHERIES",1988,2
"ANTIGUA & BARBUDA",1988,78
"ARGENTINA",1988,33126
"ARUBA",1988,167
"AUSTRALIA",1988,71215
"AUSTRIA",1988,14546
"BAHAMAS",1988,420
"BAHRAIN",1988,3317
"BANGLADESH",1988,3694
"BARBADOS",1988,258
"BELGIUM",1988,27367
"BELIZE",1988,68
"BENIN",1988,151
"BERMUDA",1988,176
"BHUTAN",1988,30
"BOTSWANA",1988,355
"BRAZIL",1988,57094
"BRITISH VIRGIN ISLANDS",1988,18
"BRUNEI (DARUSSALAM)",1988,1559
"BULGARIA",1988,23804
"BURKINA FASO",1988,151
"BURUNDI",1988,62
"CAMBODIA",1988,123
"CANADA",1988,124367
"CAPE VERDE",1988,20
"CAYMAN ISLANDS",1988,61
"CENTRAL AFRICAN REPUBLIC",1988,63
"CHAD",1988,18
"CHILE",1988,7343
"CHINA (MAINLAND)",1988,646169
"COLOMBIA",1988,14302
"COMOROS",1988,14
"CONGO",1988,409
"COOK ISLANDS",1988,6
"COSTA RICA",1988,802
"COTE D IVOIRE",1988,2498
"CUBA",1988,9718
"CYPRUS",1988,1126
"CZECHOSLOVAKIA",1988,65655
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1988,55061
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1988,1096
"DENMARK",1988,15028
"DJIBOUTI",1988,95
"DOMINICA",1988,15
"DOMINICAN REPUBLIC",1988,2682
"ECUADOR",1988,4710
"EGYPT",1988,20325
"EL SALVADOR",1988,674
"EQUATORIAL GUINEA",1988,29
"ETHIOPIA",1988,729
"FAEROE ISLANDS",1988,144
"FALKLAND ISLANDS (MALVINAS)",1988,11
"FEDERAL REPUBLIC OF GERMANY",1988,189664
"FIJI",1988,151
"FINLAND",1988,14231
"FORMER DEMOCRATIC YEMEN",1988,1690
"FORMER GERMAN DEMOCRATIC REPUBLIC",1988,92068
"FORMER YEMEN",1988,929
"FRANCE (INCLUDING MONACO)",1988,101502
"FRENCH GUIANA",1988,141
"FRENCH POLYNESIA",1988,156
"GABON",1988,1182
"GAMBIA",1988,50
"GHANA",1988,941
"GIBRALTAR",1988,19
"GREECE",1988,18541
"GREENLAND",1988,149
"GRENADA",1988,26
"GUADELOUPE",1988,308
"GUATEMALA",1988,1125
"GUINEA",1988,280
"GUINEA BISSAU",1988,59
"GUYANA",1988,383
"HAITI",1988,279
"HONDURAS",1988,683
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1988,8040
"HUNGARY",1988,21343
"ICELAND",1988,504
"INDIA",1988,143868
"INDONESIA",1988,36041
"IRAQ",1988,18524
"IRELAND",1988,8138
"ISLAMIC REPUBLIC OF IRAN",1988,48027
"ISRAEL",1988,8195
"ITALY (INCLUDING SAN MARINO)",1988,106294
"JAMAICA",1988,1235
"JAPAN",1988,269725
"JORDAN",1988,2540
"KENYA",1988,1306
"KIRIBATI",1988,6
"KUWAIT",1988,8976
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1988,57
"LEBANON",1988,2089
"LIBERIA",1988,223
"LIBYAN ARAB JAMAHIRIYAH",1988,9926
"LUXEMBOURG",1988,2435
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1988,263
"MADAGASCAR",1988,352
"MALAWI",1988,148
"MALAYSIA",1988,11651
"MALDIVES",1988,26
"MALI",1988,105
"MALTA",1988,549
"MARTINIQUE",1988,472
"MAURITANIA",1988,881
"MAURITIUS",1988,233
"MEXICO",1988,83738
"MONGOLIA",1988,3162
"MONTSERRAT",1988,8
"MOROCCO",1988,5775
"MOZAMBIQUE",1988,276
"MYANMAR (FORMERLY BURMA)",1988,1123
"NAURU",1988,43
"NEPAL",1988,271
"NETHERLAND ANTILLES",1988,726
"NETHERLANDS",1988,40064
"NEW CALEDONIA",1988,411
"NEW ZEALAND",1988,6926
"NICARAGUA",1988,613
"NIGER",1988,270
"NIGERIA",1988,19293
"NIUE",1988,1
"NORWAY",1988,11585
"OMAN",1988,2887
"PACIFIC ISLANDS (PALAU)",1988,50
