"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1973,447
"ALBANIA",1973,1443
"ALGERIA",1973,10448
"ANGOLA",1973,1331
"ANTIGUA & BARBUDA",1973,90
"ARGENTINA",1973,25652
"AUSTRALIA",1973,46630
"AUSTRIA",1973,16407
"BAHAMAS",1973,2147
"BAHRAIN",1973,1506
"BANGLADESH",1973,1242
"BARBADOS",1973,131
"BELGIUM",1973,37871
"BELIZE",1973,40
"BENIN",1973,104
"BERMUDA",1973,116
"BHUTAN",1973,1
"BOTSWANA",1973,14
"BRAZIL",1973,36123
"BRITISH VIRGIN ISLANDS",1973,7
"BRUNEI (DARUSSALAM)",1973,2722
"BULGARIA",1973,18769
"BURKINA FASO",1973,46
"BURUNDI",1973,20
"CAMBODIA",1973,35
"CANADA",1973,104069
"CAPE VERDE",1973,17
"CAYMAN ISLANDS",1973,16
"CENTRAL AFRICAN REPUBLIC",1973,44
"CHAD",1973,44
"CHILE",1973,7541
"CHINA (MAINLAND)",1973,264124
"CHRISTMAS ISLAND",1973,19
"COLOMBIA",1973,9190
"COMOROS",1973,8
"CONGO",1973,333
"COOK ISLANDS",1973,3
"COSTA RICA",1973,558
"COTE D IVOIRE",1973,875
"CUBA",1973,6108
"CYPRUS",1973,682
"CZECHOSLOVAKIA",1973,59162
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1973,26569
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1973,871
"DENMARK",1973,16162
"DJIBOUTI",1973,49
"DOMINICA",1973,7
"DOMINICAN REPUBLIC",1973,1627
"ECUADOR",1973,1435
"EGYPT",1973,6489
"EL SALVADOR",1973,537
"EQUATORIAL GUINEA",1973,8
"ETHIOPIA",1973,478
"FAEROE ISLANDS",1973,69
"FALKLAND ISLANDS (MALVINAS)",1973,4
"FEDERAL REPUBLIC OF GERMANY",1973,218416
"FIJI",1973,172
"FINLAND",1973,13468
"FORMER DEMOCRATIC YEMEN",1973,656
"FORMER GERMAN DEMOCRATIC REPUBLIC",1973,78149
"FORMER PANAMA CANAL ZONE",1973,199
"FORMER YEMEN",1973,89
"FRANCE (INCLUDING MONACO)",1973,140878
"FRENCH GUIANA",1973,32
"FRENCH POLYNESIA",1973,57
"GABON",1973,1449
"GAMBIA",1973,17
"GHANA",1973,675
"GIBRALTAR",1973,23
"GREECE",1973,10160
"GREENLAND",1973,152
"GRENADA",1973,15
"GUADELOUPE",1973,111
"GUATEMALA",1973,801
"GUINEA",1973,219
"GUINEA BISSAU",1973,30
"GUYANA",1973,492
"HAITI",1973,115
"HONDURAS",1973,412
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1973,2535
"HUNGARY",1973,19926
"ICELAND",1973,478
"INDIA",1973,61179
"INDONESIA",1973,13399
"IRAQ",1973,8357
"IRELAND",1973,6234
"ISLAMIC REPUBLIC OF IRAN",1973,35341
"ISRAEL",1973,5266
"ITALY (INCLUDING SAN MARINO)",1973,96624
"JAMAICA",1973,2263
"JAPAN",1973,249727
"JORDAN",1973,601
"KENYA",1973,1069
"KIRIBATI",1973,10
"KUWAIT",1973,6611
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1973,141
"LEBANON",1973,1956
"LIBERIA",1973,404
"LIBYAN ARAB JAMAHIRIYAH",1973,3978
"LUXEMBOURG",1973,3864
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1973,61
"MADAGASCAR",1973,293
"MALAWI",1973,156
"MALAYSIA",1973,4776
"MALDIVES",1973,1
"MALI",1973,73
"MALTA",1973,220
"MARTINIQUE",1973,259
"MAURITANIA",1973,128
"MAURITIUS",1973,185
"MEXICO",1973,39349
"MONGOLIA",1973,949
"MONTSERRAT",1973,4
"MOROCCO",1973,2629
"MOZAMBIQUE",1973,972
"MYANMAR (FORMERLY BURMA)",1973,1121
"NAURU",1973,23
"NEPAL",1973,115
"NETHERLAND ANTILLES AND ARUBA",1973,4252
"NETHERLANDS",1973,45172
