"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2009,1846
"ALBANIA",2009,1194
"ALGERIA",2009,33106
"ANDORRA",2009,141
"ANGOLA",2009,7579
"ANGUILLA",2009,40
"ANTIGUA & BARBUDA",2009,139
"ARGENTINA",2009,49076
"ARMENIA",2009,1189
"ARUBA",2009,717
"AUSTRALIA",2009,107661
"AUSTRIA",2009,17107
"AZERBAIJAN",2009,8700
"BAHAMAS",2009,448
"BAHRAIN",2009,7695
"BANGLADESH",2009,14654
"BARBADOS",2009,441
"BELARUS",2009,16695
"BELGIUM",2009,27233
"BELIZE",2009,160
"BENIN",2009,1271
"BERMUDA",2009,130
"BHUTAN",2009,106
"BOSNIA & HERZEGOVINA",2009,5646
"BOTSWANA",2009,1026
"BRAZIL",2009,100122
"BRITISH VIRGIN ISLANDS",2009,45
"BRUNEI (DARUSSALAM)",2009,2144
"BULGARIA",2009,11635
"BURKINA FASO",2009,527
"BURUNDI",2009,52
"CAMBODIA",2009,1269
"CANADA",2009,146377
"CAPE VERDE",2009,143
"CAYMAN ISLANDS",2009,152
"CENTRAL AFRICAN REPUBLIC",2009,69
"CHAD",2009,134
"CHILE",2009,18218
"CHINA (MAINLAND)",2009,2181895
"COLOMBIA",2009,19815
"COMOROS",2009,36
"CONGO",2009,476
"COOK ISLANDS",2009,19
"COSTA RICA",2009,2155
"COTE D IVOIRE",2009,1543
"CROATIA",2009,5772
"CUBA",2009,8153
"CYPRUS",2009,2212
"CZECH REPUBLIC",2009,29359
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2009,19274
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2009,477
"DENMARK",2009,12138
"DJIBOUTI",2009,126
"DOMINICA",2009,36
"DOMINICAN REPUBLIC",2009,5516
"ECUADOR",2009,9836
"EGYPT",2009,56377
"EL SALVADOR",2009,1757
"EQUATORIAL GUINEA",2009,1260
"ERITREA",2009,140
"ESTONIA",2009,3972
"ETHIOPIA",2009,1808
"FAEROE ISLANDS",2009,157
"FALKLAND ISLANDS (MALVINAS)",2009,16
"FEDERATED STATES OF MICRONESIA",2009,44
"FIJI",2009,216
"FINLAND",2009,14494
"FRANCE (INCLUDING MONACO)",2009,95964
"FRENCH GUIANA",2009,161
"FRENCH POLYNESIA",2009,231
"GABON",2009,1159
"GAMBIA",2009,104
"GEORGIA",2009,1702
"GERMANY",2009,196963
"GHANA",2009,2102
"GIBRALTAR",2009,126
"GREECE",2009,25073
"GREENLAND",2009,157
"GRENADA",2009,69
"GUADELOUPE",2009,630
"GUATEMALA",2009,3232
"GUINEA",2009,617
"GUINEA BISSAU",2009,64
"GUYANA",2009,427
"HAITI",2009,619
"HONDURAS",2009,2147
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2009,11494
"HUNGARY",2009,13229
"ICELAND",2009,560
"INDIA",2009,474133
"INDONESIA",2009,121737
"IRAQ",2009,28510
"IRELAND",2009,10994
"ISLAMIC REPUBLIC OF IRAN",2009,151153
"ISRAEL",2009,17581
"ITALY (INCLUDING SAN MARINO)",2009,109515
"JAMAICA",2009,2111
"JAPAN",2009,301028
"JORDAN",2009,5970
"KAZAKHSTAN",2009,58178
"KENYA",2009,3368
"KIRIBATI",2009,11
"KUWAIT",2009,23808
"KYRGYZSTAN",2009,1852
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2009,343
"LATVIA",2009,1972
"LEBANON",2009,5692
"LESOTHO",2009,605
"LIBERIA",2009,141
"LIBYAN ARAB JAMAHIRIYAH",2009,15811
"LIECHTENSTEIN",2009,14
"LITHUANIA",2009,3414
"LUXEMBOURG",2009,2834
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2009,565
"MACEDONIA",2009,2372
"MADAGASCAR",2009,483
"MALAWI",2009,258
"MALAYSIA",2009,54234
"MALDIVES",2009,241
"MALI",2009,220
"MALTA",2009,654
"MARSHALL ISLANDS",2009,28
"MARTINIQUE",2009,553
"MAURITANIA",2009,579
"MAURITIUS",2009,1012
"MEXICO",2009,129793
"MONGOLIA",2009,3573
"MONTENEGRO",2009,498
"MONTSERRAT",2009,13
"MOROCCO",2009,14312
"MOZAMBIQUE",2009,690
"MYANMAR (FORMERLY BURMA)",2009,2790
"NAMIBIA",2009,837
"NAURU",2009,11
"NEPAL",2009,1182
"NETHERLAND ANTILLES",2009,1806
"NETHERLANDS",2009,47006
"NEW CALEDONIA",2009,811
"NEW ZEALAND",2009,8832
"NICARAGUA",2009,1226
"NIGER",2009,264
"NIGERIA",2009,20926
"NIUE",2009,1
"NORWAY",2009,15093
"OCCUPIED PALESTINIAN TERRITORY",2009,570
"OMAN",2009,11209
"PAKISTAN",2009,43315
"PALAU",2009,67
"PANAMA",2009,2345
"PAPUA NEW GUINEA",2009,1389
"PARAGUAY",2009,1244
"PERU",2009,14100
"PHILIPPINES",2009,21153
"PLURINATIONAL STATE OF BOLIVIA",2009,3815
"POLAND",2009,81161
"PORTUGAL",2009,14774
"QATAR",2009,18877
"REPUBLIC OF CAMEROON",2009,1834
"REPUBLIC OF KOREA",2009,138768
"REPUBLIC OF MOLDOVA",2009,1241
"REUNION",2009,1119
"ROMANIA",2009,22246
"RUSSIAN FEDERATION",2009,429246
"RWANDA",2009,157
"SAINT HELENA",2009,3
"SAINT LUCIA",2009,105
"SAMOA",2009,51
"SAO TOME & PRINCIPE",2009,25
"SAUDI ARABIA",2009,127888
"SENEGAL",2009,1250
"SERBIA",2009,12594
"SEYCHELLES",2009,143
"SIERRA LEONE",2009,178
"SINGAPORE",2009,15253
"SLOVAKIA",2009,9282
"SLOVENIA",2009,4167
"SOLOMON ISLANDS",2009,53
"SOMALIA",2009,163
"SOUTH AFRICA",2009,137200
"SPAIN",2009,78603
"SRI LANKA",2009,3593
"ST. KITTS-NEVIS",2009,61
"ST. PIERRE & MIQUELON",2009,18
"ST. VINCENT & THE GRENADINES",2009,85
"SUDAN",2009,4244
"SURINAME",2009,546
"SWAZILAND",2009,285
"SWEDEN",2009,11744
"SWITZERLAND",2009,11357
"SYRIAN ARAB REPUBLIC",2009,16998
"TAIWAN",2009,67771
"TAJIKISTAN",2009,669
"THAILAND",2009,72976
"TIMOR-LESTE (FORMERLY EAST TIMOR)",2009,62
"TOGO",2009,759
"TONGA",2009,36
"TRINIDAD AND TOBAGO",2009,12243
"TUNISIA",2009,6760
"TURKEY",2009,75769
"TURKMENISTAN",2009,13728
"TURKS AND CAICOS ISLANDS",2009,49
"TUVALU",2009,3
"UGANDA",2009,922
"UKRAINE",2009,70930
"UNITED ARAB EMIRATES",2009,45803
"UNITED KINGDOM",2009,128639
"UNITED REPUBLIC OF TANZANIA",2009,1614
"UNITED STATES OF AMERICA",2009,1435371
"URUGUAY",2009,2198
"UZBEKISTAN",2009,29215
"VANUATU",2009,33
"VENEZUELA",2009,49029
"VIET NAM",2009,35079
"WALLIS AND FUTUNA ISLANDS",2009,8
"YEMEN",2009,6698
"ZAMBIA",2009,684
"ZIMBABWE",2009,1528
