"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1986,857
"ALBANIA",1986,2197
"ALGERIA",1986,20801
"ANGOLA",1986,1271
"ANTIGUA & BARBUDA",1986,68
"ARGENTINA",1986,28419
"ARUBA",1986,49
"AUSTRALIA",1986,65439
"AUSTRIA",1986,14748
"BAHAMAS",1986,385
"BAHRAIN",1986,3003
"BANGLADESH",1986,3126
"BARBADOS",1986,250
"BELGIUM",1986,28054
"BELIZE",1986,56
"BENIN",1986,187
"BERMUDA",1986,115
"BHUTAN",1986,15
"BOTSWANA",1986,291
"BRAZIL",1986,54236
"BRITISH VIRGIN ISLANDS",1986,15
"BRUNEI (DARUSSALAM)",1986,627
"BULGARIA",1986,24960
"BURKINA FASO",1986,131
"BURUNDI",1986,64
"CAMBODIA",1986,118
"CANADA",1986,110459
"CAPE VERDE",1986,16
"CAYMAN ISLANDS",1986,55
"CENTRAL AFRICAN REPUBLIC",1986,44
"CHAD",1986,51
"CHILE",1986,6067
"CHINA (MAINLAND)",1986,564213
"COLOMBIA",1986,13390
"COMOROS",1986,12
"CONGO",1986,291
"COOK ISLANDS",1986,6
"COSTA RICA",1986,711
"COTE D IVOIRE",1986,1627
"CUBA",1986,9154
"CYPRUS",1986,967
"CZECHOSLOVAKIA",1986,67240
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1986,42952
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1986,921
"DENMARK",1986,16063
"DJIBOUTI",1986,103
"DOMINICA",1986,13
"DOMINICAN REPUBLIC",1986,2231
"ECUADOR",1986,4166
"EGYPT",1986,20334
"EL SALVADOR",1986,543
"EQUATORIAL GUINEA",1986,22
"ETHIOPIA",1986,604
"FAEROE ISLANDS",1986,134
"FALKLAND ISLANDS (MALVINAS)",1986,9
"FEDERAL REPUBLIC OF GERMANY",1986,192504
"FIJI",1986,165
"FINLAND",1986,14543
"FORMER DEMOCRATIC YEMEN",1986,1395
"FORMER GERMAN DEMOCRATIC REPUBLIC",1986,94166
"FORMER YEMEN",1986,860
"FRANCE (INCLUDING MONACO)",1986,105158
"FRENCH GUIANA",1986,100
"FRENCH POLYNESIA",1986,165
"GABON",1986,1355
"GAMBIA",1986,44
"GHANA",1986,831
"GIBRALTAR",1986,11
"GREECE",1986,16125
"GREENLAND",1986,89
"GRENADA",1986,18
"GUADELOUPE",1986,259
"GUATEMALA",1986,1009
"GUINEA",1986,272
"GUINEA BISSAU",1986,50
"GUYANA",1986,285
"HAITI",1986,230
"HONDURAS",1986,504
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1986,7008
"HUNGARY",1986,22781
"ICELAND",1986,487
"INDIA",1986,124781
"INDONESIA",1986,33199
"IRAQ",1986,13022
"IRELAND",1986,7779
"ISLAMIC REPUBLIC OF IRAN",1986,40469
"ISRAEL",1986,7261
"ITALY (INCLUDING SAN MARINO)",1986,99933
"JAMAICA",1986,1241
"JAPAN",1986,249614
"JORDAN",1986,2531
"KENYA",1986,1135
"KIRIBATI",1986,5
"KUWAIT",1986,9632
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1986,57
"LEBANON",1986,2116
"LIBERIA",1986,199
"LIBYAN ARAB JAMAHIRIYAH",1986,9288
"LUXEMBOURG",1986,2457
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1986,239
"MADAGASCAR",1986,311
"MALAWI",1986,151
"MALAYSIA",1986,10904
"MALDIVES",1986,22
"MALI",1986,104
"MALTA",1986,405
