"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1964,229
"ALBANIA",1964,550
"ALGERIA",1964,1541
"ANGOLA",1964,334
"ANTIGUA & BARBUDA",1964,25
"ARGENTINA",1964,15197
"AUSTRALIA",1964,29719
"AUSTRIA",1964,10620
"BAHAMAS",1964,296
"BAHRAIN",1964,436
"BARBADOS",1964,49
"BELGIUM",1964,28269
"BELIZE",1964,23
"BENIN",1964,39
"BERMUDA",1964,55
"BRAZIL",1964,15472
"BRITISH VIRGIN ISLANDS",1964,2
"BRUNEI (DARUSSALAM)",1964,93
"BULGARIA",1964,11689
"BURKINA FASO",1964,30
"BURUNDI",1964,13
"CAMBODIA",1964,93
"CANADA",1964,64849
"CAPE VERDE",1964,8
"CAYMAN ISLANDS",1964,3
"CENTRAL AFRICAN REPUBLIC",1964,20
"CHAD",1964,27
"CHILE",1964,4779
"CHINA (MAINLAND)",1964,119150
"COLOMBIA",1964,5920
"COMOROS",1964,3
"CONGO",1964,73
"COSTA RICA",1964,184
"COTE D IVOIRE",1964,208
"CUBA",1964,3898
"CYPRUS",1964,273
"CZECHOSLOVAKIA",1964,45183
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1964,9724
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1964,539
"DEMOCRATIC REPUBLIC OF VIETNAM",1964,2105
"DENMARK",1964,11778
"DJIBOUTI",1964,23
"DOMINICA",1964,4
"DOMINICAN REPUBLIC",1964,477
"EAST & WEST PAKISTAN",1964,5191
"ECUADOR",1964,585
"EGYPT",1964,6960
"EL SALVADOR",1964,336
"EQUATORIAL GUINEA",1964,7
"ETHIOPIA",1964,111
"FAEROE ISLANDS",1964,33
"FALKLAND ISLANDS (MALVINAS)",1964,3
"FEDERAL REPUBLIC OF GERMANY",1964,178232
"FIJI",1964,116
"FINLAND",1964,6232
"FORMER DEMOCRATIC YEMEN",1964,964
"FORMER GERMAN DEMOCRATIC REPUBLIC",1964,86254
"FORMER PANAMA CANAL ZONE",1964,216
"FORMER YEMEN",1964,27
"FRANCE (INCLUDING MONACO)",1964,94165
"FRENCH GUIANA",1964,8
"FRENCH POLYNESIA",1964,18
"GABON",1964,52
"GAMBIA",1964,8
"GHANA",1964,450
"GIBRALTAR",1964,15
"GREECE",1964,3606
"GREENLAND",1964,86
"GRENADA",1964,6
"GUADELOUPE",1964,59
"GUATEMALA",1964,483
"GUINEA",1964,191
"GUINEA BISSAU",1964,16
"GUYANA",1964,177
"HAITI",1964,82
"HONDURAS",1964,197
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1964,1152
"HUNGARY",1964,17017
"ICELAND",1964,357
"INDIA",1964,41082
"INDONESIA",1964,6107
"IRAQ",1964,2475
"IRELAND",1964,3881
"ISLAMIC REPUBLIC OF IRAN",1964,12970
"ISRAEL",1964,2495
"ITALY (INCLUDING SAN MARINO)",1964,47984
"JAMAICA",1964,1109
"JAPAN",1964,97987
"JORDAN",1964,339
"KENYA",1964,771
"KIRIBATI",1964,5
"KUWAIT",1964,6909
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1964,47
"LEBANON",1964,891
"LIBERIA",1964,132
"LIBYAN ARAB JAMAHIRIYAH",1964,181
"LUXEMBOURG",1964,3356
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1964,35
"MADAGASCAR",1964,132
"MALAWI",1964,90
"MALI",1964,48
"MALTA",1964,136
"MARTINIQUE",1964,64
"MAURITANIA",1964,32
"MAURITIUS",1964,84
"MEXICO",1964,20256
"MONGOLIA",1964,558
"MONTSERRAT",1964,2
"MOROCCO",1964,1206
"MOZAMBIQUE",1964,584
"MYANMAR (FORMERLY BURMA)",1964,780
"NAURU",1964,8
"NEPAL",1964,41
"NETHERLAND ANTILLES AND ARUBA",1964,3229
"NETHERLANDS",1964,26416
"NEW CALEDONIA",1964,300
"NEW ZEALAND",1964,3574
"NICARAGUA",1964,259
"NIGER",1964,26
"NIGERIA",1964,1984
"NORWAY",1964,4415
"OMAN",1964,3
"PACIFIC ISLANDS (PALAU)",1964,16
"PANAMA",1964,339
"PAPUA NEW GUINEA",1964,73
"PARAGUAY",1964,118
"PENINSULAR MALAYSIA",1964,1752
"PERU",1964,3345
"PHILIPPINES",1964,3501
"PLURINATIONAL STATE OF BOLIVIA",1964,404
"POLAND",1964,66298
"PORTUGAL",1964,3006
"QATAR",1964,1711
"REPUBLIC OF CAMEROON",1964,92
"REPUBLIC OF KOREA",1964,6059
"REPUBLIC OF SOUTH VIETNAM",1964,1113
"REUNION",1964,34
"ROMANIA",1964,19666
"RWANDA",1964,10
"RYUKYU ISLANDS",1964,125
"SABAH",1964,58
"SAINT LUCIA",1964,6
"SAMOA",1964,7
"SAO TOME & PRINCIPE",1964,3
"SARAWAK",1964,210
"SAUDI ARABIA",1964,1922
"SENEGAL",1964,252
"SEYCHELLES",1964,2
"SIERRA LEONE",1964,83
"SINGAPORE",1964,1010
"SOLOMON ISLANDS",1964,5
"SOMALIA",1964,37
"SOUTH AFRICA",1964,32631
"SPAIN",1964,17565
"SRI LANKA",1964,620
"ST. KITTS-NEVIS-ANGUILLA",1964,5
"ST. PIERRE & MIQUELON",1964,13
"ST. VINCENT & THE GRENADINES",1964,5
"SUDAN",1964,507
"SURINAME",1964,165
"SWAZILAND",1964,3
"SWEDEN",1964,16480
"SWITZERLAND",1964,7681
"SYRIAN ARAB REPUBLIC",1964,1191
"TAIWAN",1964,4617
"TANGANYIKA",1964,274
"THAILAND",1964,2040
"TOGO",1964,36
"TONGA",1964,3
"TRINIDAD AND TOBAGO",1964,1035
"TUNISIA",1964,752
"TURKEY",1964,7182
"UGANDA",1964,134
"UNITED ARAB EMIRATES",1964,5
"UNITED KINGDOM",1964,165900
"UNITED STATES OF AMERICA",1964,887918
"URUGUAY",1964,1243
"USSR",1964,487675
"VANUATU",1964,17
"VENEZUELA",1964,15436
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1964,12944
"ZAMBIA",1964,894
"ZANZIBAR",1964,8
"ZIMBABWE",1964,1220
