"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1978,589
"ALBANIA",1978,1771
"ALGERIA",1978,17052
"ANGOLA",1978,1476
"ANTIGUA & BARBUDA",1978,134
"ARGENTINA",1978,27990
"AUSTRALIA",1978,55090
"AUSTRIA",1978,15676
"BAHAMAS",1978,1802
"BAHRAIN",1978,2118
"BANGLADESH",1978,1641
"BARBADOS",1978,172
"BELGIUM",1978,37048
"BELIZE",1978,59
"BENIN",1978,99
"BERMUDA",1978,116
"BHUTAN",1978,3
"BOTSWANA",1978,227
"BRAZIL",1978,48248
"BRITISH VIRGIN ISLANDS",1978,8
"BRUNEI (DARUSSALAM)",1978,2602
"BULGARIA",1978,22201
"BURKINA FASO",1978,95
"BURUNDI",1978,28
"CAMBODIA",1978,14
"CANADA",1978,113416
"CAPE VERDE",1978,57
"CAYMAN ISLANDS",1978,25
"CENTRAL AFRICAN REPUBLIC",1978,40
"CHAD",1978,53
"CHILE",1978,6258
"CHINA (MAINLAND)",1978,398737
"CHRISTMAS ISLAND",1978,25
"COLOMBIA",1978,11367
"COMOROS",1978,8
"CONGO",1978,88
"COOK ISLANDS",1978,8
"COSTA RICA",1978,797
"COTE D IVOIRE",1978,1314
"CUBA",1978,8369
"CYPRUS",1978,766
"CZECHOSLOVAKIA",1978,67671
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1978,29575
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1978,965
"DENMARK",1978,16667
"DJIBOUTI",1978,55
"DOMINICA",1978,7
"DOMINICAN REPUBLIC",1978,1486
"ECUADOR",1978,2843
"EGYPT",1978,10721
"EL SALVADOR",1978,652
"EQUATORIAL GUINEA",1978,19
"ETHIOPIA",1978,374
"FAEROE ISLANDS",1978,109
"FALKLAND ISLANDS (MALVINAS)",1978,4
"FEDERAL REPUBLIC OF GERMANY",1978,211348
"FIJI",1978,194
"FINLAND",1978,14157
"FORMER DEMOCRATIC YEMEN",1978,588
"FORMER GERMAN DEMOCRATIC REPUBLIC",1978,83690
"FORMER PANAMA CANAL ZONE",1978,297
"FORMER YEMEN",1978,259
"FRANCE (INCLUDING MONACO)",1978,137949
"FRENCH GUIANA",1978,90
"FRENCH POLYNESIA",1978,85
"GABON",1978,2062
"GAMBIA",1978,38
"GHANA",1978,810
"GIBRALTAR",1978,19
"GREECE",1978,13112
"GREENLAND",1978,107
"GRENADA",1978,14
"GUADELOUPE",1978,144
"GUATEMALA",1978,1126
"GUINEA",1978,246
"GUINEA BISSAU",1978,28
"GUYANA",1978,561
"HAITI",1978,206
"HONDURAS",1978,559
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1978,4296
"HUNGARY",1978,24049
"ICELAND",1978,525
"INDIA",1978,77201
