"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2001,223
"ALBANIA",2001,879
"ALGERIA",2001,22967
"ANDORRA",2001,143
"ANGOLA",2001,2654
"ANGUILLA",2001,26
"ANTARCTIC FISHERIES",2001,1
"ANTIGUA & BARBUDA",2001,95
"ARGENTINA",2001,36466
"ARMENIA",2001,966
"ARUBA",2001,657
"AUSTRALIA",2001,88586
"AUSTRIA",2001,17968
"AZERBAIJAN",2001,7846
"BAHAMAS",2001,428
"BAHRAIN",2001,3798
"BANGLADESH",2001,8851
"BARBADOS",2001,333
"BELARUS",2001,14388
"BELGIUM",2001,31232
"BELIZE",2001,122
"BENIN",2001,495
"BERMUDA",2001,144
"BHUTAN",2001,105
"BOSNIA & HERZEGOVINA",2001,3644
"BOTSWANA",2001,1050
"BRAZIL",2001,92019
"BRITISH VIRGIN ISLANDS",2001,29
"BRUNEI (DARUSSALAM)",2001,1229
"BULGARIA",2001,12668
"BURKINA FASO",2001,272
"BURUNDI",2001,56
"CAMBODIA",2001,614
"CANADA",2001,143967
"CAPE VERDE",2001,64
"CAYMAN ISLANDS",2001,128
"CENTRAL AFRICAN REPUBLIC",2001,67
"CHAD",2001,47
"CHILE",2001,14546
"CHINA (MAINLAND)",2001,951068
"COLOMBIA",2001,15346
"COMOROS",2001,28
"CONGO",2001,209
"COOK ISLANDS",2001,9
"COSTA RICA",2001,1571
"COTE D IVOIRE",2001,2107
"CROATIA",2001,5562
"CUBA",2001,6941
"CYPRUS",2001,1867
"CZECH REPUBLIC",2001,33739
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2001,19696
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2001,228
"DENMARK",2001,14431
"DJIBOUTI",2001,100
"DOMINICA",2001,30
"DOMINICAN REPUBLIC",2001,5404
"ECUADOR",2001,6304
"EGYPT",2001,34211
"EL SALVADOR",2001,1622
"EQUATORIAL GUINEA",2001,844
"ERITREA",2001,172
"ESTONIA",2001,4246
"ETHIOPIA",2001,1187
"FAEROE ISLANDS",2001,208
"FALKLAND ISLANDS (MALVINAS)",2001,12
"FEDERATED STATES OF MICRONESIA",2001,46
"FIJI",2001,288
"FINLAND",2001,15558
"FRANCE (INCLUDING MONACO)",2001,102955
"FRENCH GUIANA",2001,139
"FRENCH POLYNESIA",2001,185
"GABON",2001,1309
"GAMBIA",2001,69
"GEORGIA",2001,1028
"GERMANY",2001,232796
"GHANA",2001,1887
"GIBRALTAR",2001,94
"GREECE",2001,25581
"GREENLAND",2001,147
"GRENADA",2001,53
"GUADELOUPE",2001,566
"GUATEMALA",2001,2898
"GUINEA",2001,469
"GUINEA BISSAU",2001,41
"GUYANA",2001,435
"HAITI",2001,428
"HONDURAS",2001,1558
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2001,10351
"HUNGARY",2001,15538
"ICELAND",2001,573
"INDIA",2001,283925
"INDONESIA",2001,80422
"IRAQ",2001,23273
"IRELAND",2001,12007
"ISLAMIC REPUBLIC OF IRAN",2001,108655
"ISRAEL",2001,17343
"ITALY (INCLUDING SAN MARINO)",2001,122811
"JAMAICA",2001,2895
"JAPAN",2001,328164
"JORDAN",2001,4364
"KAZAKHSTAN",2001,35956
"KENYA",2001,2555
"KIRIBATI",2001,7
"KUWAIT",2001,15719
"KYRGYZSTAN",2001,1062
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2001,238
"LATVIA",2001,1905
"LEBANON",2001,4410
"LESOTHO",2001,512
"LIBERIA",2001,134
"LIBYAN ARAB JAMAHIRIYAH",2001,13117
"LITHUANIA",2001,3514
"LUXEMBOURG",2001,2400
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2001,460
"MACEDONIA",2001,3272
"MADAGASCAR",2001,475
"MALAWI",2001,236
"MALAYSIA",2001,36984
"MALDIVES",2001,126
"MALI",2001,226
"MALTA",2001,678
"MARSHALL ISLANDS",2001,22
"MARTINIQUE",2001,496
"MAURITANIA",2001,347
"MAURITIUS",2001,781
"MEXICO",2001,112620
"MONGOLIA",2001,2150
"MONTSERRAT",2001,7
"MOROCCO",2001,10285
"MOZAMBIQUE",2001,431
"MYANMAR (FORMERLY BURMA)",2001,2379
"NAMIBIA",2001,550
"NAURU",2001,22
"NEPAL",2001,891
"NETHERLAND ANTILLES",2001,1559
"NETHERLANDS",2001,48212
"NEW CALEDONIA",2001,515
