"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1965,275
"ALBANIA",1965,593
"ALGERIA",1965,1799
"ANGOLA",1965,324
"ANTIGUA & BARBUDA",1965,41
"ARGENTINA",1965,16053
"AUSTRALIA",1965,32988
"AUSTRIA",1965,10414
"BAHAMAS",1965,359
"BAHRAIN",1965,335
"BARBADOS",1965,56
"BELGIUM",1965,28754
"BELIZE",1965,23
"BENIN",1965,41
"BERMUDA",1965,49
"BRAZIL",1965,15380
"BRITISH VIRGIN ISLANDS",1965,2
"BRUNEI (DARUSSALAM)",1965,91
"BULGARIA",1965,12631
"BURKINA FASO",1965,28
"BURUNDI",1965,10
"CAMBODIA",1965,110
"CANADA",1965,68763
"CAPE VERDE",1965,7
"CAYMAN ISLANDS",1965,3
"CENTRAL AFRICAN REPUBLIC",1965,24
"CHAD",1965,29
"CHILE",1965,4845
"CHINA (MAINLAND)",1965,129799
"COLOMBIA",1965,6241
"COMOROS",1965,4
"CONGO",1965,67
"COSTA RICA",1965,231
"COTE D IVOIRE",1965,320
"CUBA",1965,3984
"CYPRUS",1965,314
"CZECHOSLOVAKIA",1965,44026
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1965,12072
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1965,674
"DEMOCRATIC REPUBLIC OF VIETNAM",1965,2250
"DENMARK",1965,12091
"DJIBOUTI",1965,33
"DOMINICA",1965,4
"DOMINICAN REPUBLIC",1965,422
"EAST & WEST PAKISTAN",1965,5447
"ECUADOR",1965,621
"EGYPT",1965,7538
"EL SALVADOR",1965,284
"EQUATORIAL GUINEA",1965,8
"ETHIOPIA",1965,176
"FAEROE ISLANDS",1965,37
"FALKLAND ISLANDS (MALVINAS)",1965,3
"FEDERAL REPUBLIC OF GERMANY",1965,177427
"FIJI",1965,94
"FINLAND",1965,6907
"FORMER DEMOCRATIC YEMEN",1965,1044
"FORMER GERMAN DEMOCRATIC REPUBLIC",1965,84654
"FORMER PANAMA CANAL ZONE",1965,163
"FORMER YEMEN",1965,28
"FRANCE (INCLUDING MONACO)",1965,95951
"FRENCH GUIANA",1965,10
"FRENCH POLYNESIA",1965,23
"GABON",1965,59
"GAMBIA",1965,8
"GHANA",1965,465
"GIBRALTAR",1965,13
"GREECE",1965,4643
"GREENLAND",1965,94
"GRENADA",1965,6
"GUADELOUPE",1965,56
"GUATEMALA",1965,539
"GUINEA",1965,190
"GUINEA BISSAU",1965,18
"GUYANA",1965,294
"HAITI",1965,83
"HONDURAS",1965,205
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1965,1311
"HUNGARY",1965,16715
"ICELAND",1965,381
"INDIA",1965,45261
"INDONESIA",1965,6733
"IRAQ",1965,5267
"IRELAND",1965,3745
