"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1996,321
"ALBANIA",1996,550
"ALGERIA",1996,26479
"ANDORRA",1996,124
"ANGOLA",1996,2852
"ANGUILLA",1996,19
"ANTARCTIC FISHERIES",1996,1
"ANTIGUA & BARBUDA",1996,80
"ARGENTINA",1996,36815
"ARMENIA",1996,699
"ARUBA",1996,461
"AUSTRALIA",1996,82401
"AUSTRIA",1996,17229
"AZERBAIJAN",1996,8524
"BAHAMAS",1996,455
"BAHRAIN",1996,4260
"BANGLADESH",1996,6553
"BARBADOS",1996,232
"BELARUS",1996,16407
"BELGIUM",1996,32195
"BELIZE",1996,84
"BENIN",1996,345
"BERMUDA",1996,144
"BHUTAN",1996,82
"BOSNIA & HERZEGOVINA",1996,1161
"BOTSWANA",1996,752
"BRAZIL",1996,77661
"BRITISH VIRGIN ISLANDS",1996,26
"BRUNEI (DARUSSALAM)",1996,1328
"BULGARIA",1996,15424
"BURKINA FASO",1996,193
"BURUNDI",1996,66
"CAMBODIA",1996,441
"CANADA",1996,130739
"CAPE VERDE",1996,39
"CAYMAN ISLANDS",1996,105
"CENTRAL AFRICAN REPUBLIC",1996,64
"CHAD",1996,34
"CHILE",1996,13226
"CHINA (MAINLAND)",1996,944393
"COLOMBIA",1996,16506
"COMOROS",1996,21
"CONGO",1996,468
"COOK ISLANDS",1996,13
"COSTA RICA",1996,1295
"COTE D IVOIRE",1996,2138
"CROATIA",1996,4624
"CUBA",1996,7362
"CYPRUS",1996,1619
"CZECH REPUBLIC",1996,34191
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1996,19978
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1996,632
"DENMARK",1996,19684
"DJIBOUTI",1996,85
"DOMINICA",1996,20
"DOMINICAN REPUBLIC",1996,4725
"ECUADOR",1996,6597
"EGYPT",1996,27824
"EL SALVADOR",1996,1246
"EQUATORIAL GUINEA",1996,31
"ERITREA",1996,276
"ESTONIA",1996,5004
"ETHIOPIA",1996,780
"FAEROE ISLANDS",1996,164
"FALKLAND ISLANDS (MALVINAS)",1996,12
"FEDERATED STATES OF MICRONESIA",1996,29
"FIJI",1996,224
"FINLAND",1996,16712
"FRANCE (INCLUDING MONACO)",1996,102347
"FRENCH GUIANA",1996,133
"FRENCH POLYNESIA",1996,118
"GABON",1996,1302
"GAMBIA",1996,54
"GEORGIA",1996,1109
"GERMANY",1996,242600
"GHANA",1996,1530
"GIBRALTAR",1996,77
"GREECE",1996,21882
"GREENLAND",1996,141
"GRENADA",1996,42
"GUADELOUPE",1996,423
"GUATEMALA",1996,1814
"GUINEA",1996,372
"GUINEA BISSAU",1996,50
"GUYANA",1996,414
"HAITI",1996,282
"HONDURAS",1996,1080
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1996,7942
"HUNGARY",1996,16925
"ICELAND",1996,603
"INDIA",1996,240612
"INDONESIA",1996,69073
"IRAQ",1996,18953
"IRELAND",1996,9519
"ISLAMIC REPUBLIC OF IRAN",1996,75282
"ISRAEL",1996,14480
"ITALY (INCLUDING SAN MARINO)",1996,116125
"JAMAICA",1996,2646
"JAPAN",1996,328522
"JORDAN",1996,3869
"KAZAKHSTAN",1996,38597
"KENYA",1996,2544
"KIRIBATI",1996,9
"KUWAIT",1996,13677
"KYRGYZSTAN",1996,1553
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1996,130
"LATVIA",1996,2495
"LEBANON",1996,3752
"LESOTHO",1996,474
"LIBERIA",1996,92
"LIBYAN ARAB JAMAHIRIYAH",1996,12042
"LITHUANIA",1996,4290
"LUXEMBOURG",1996,2301
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1996,384
"MACEDONIA",1996,3202
"MADAGASCAR",1996,372
"MALAWI",1996,249
"MALAYSIA",1996,34190
"MALDIVES",1996,79
"MALI",1996,133
"MALTA",1996,611
"MARSHALL ISLANDS",1996,18
"MARTINIQUE",1996,447
"MAURITANIA",1996,304
"MAURITIUS",1996,532
"MEXICO",1996,94469
"MONGOLIA",1996,2193
"MONTSERRAT",1996,10
"MOROCCO",1996,8507
"MOZAMBIQUE",1996,284
"MYANMAR (FORMERLY BURMA)",1996,1979
"NAMIBIA",1996,477
"NAURU",1996,28
"NEPAL",1996,678
"NETHERLAND ANTILLES",1996,1333
"NETHERLANDS",1996,50681
"NEW CALEDONIA",1996,599
"NEW ZEALAND",1996,7811
"NICARAGUA",1996,784
"NIGER",1996,246
"NIGERIA",1996,10817
"NIUE",1996,2
"NORWAY",1996,9099
"OCCUPIED PALESTINIAN TERRITORY",1996,283
"OMAN",1996,4119
"PAKISTAN",1996,25756
"PALAU",1996,64
"PANAMA",1996,1261
"PAPUA NEW GUINEA",1996,597
"PARAGUAY",1996,1023
"PERU",1996,6651
"PHILIPPINES",1996,16952
"PLURINATIONAL STATE OF BOLIVIA",1996,2680
"POLAND",1996,97015
"PORTUGAL",1996,13795
"QATAR",1996,8808
"REPUBLIC OF CAMEROON",1996,1217
"REPUBLIC OF KOREA",1996,110112
"REPUBLIC OF MOLDOVA",1996,3142
"REUNION",1996,530
"ROMANIA",1996,34199
"RUSSIAN FEDERATION",1996,439860
"RWANDA",1996,131
"SAINT HELENA",1996,3
"SAINT LUCIA",1996,89
"SAMOA",1996,34
"SAO TOME & PRINCIPE",1996,13
"SAUDI ARABIA",1996,70562
"SENEGAL",1996,1020
"SEYCHELLES",1996,64
"SIERRA LEONE",1996,129
"SINGAPORE",1996,13553
"SLOVAKIA",1996,11266
"SLOVENIA",1996,4078
"SOLOMON ISLANDS",1996,39
"SOMALIA",1996,155
"SOUTH AFRICA",1996,99373
"SPAIN",1996,63623
"SRI LANKA",1996,1926
"ST. KITTS-NEVIS",1996,36
"ST. PIERRE & MIQUELON",1996,19
"ST. VINCENT & THE GRENADINES",1996,36
"SUDAN",1996,1209
"SURINAME",1996,569
"SWAZILAND",1996,93
"SWEDEN",1996,15247
"SWITZERLAND",1996,10877
"SYRIAN ARAB REPUBLIC",1996,11673
"TAIWAN",1996,49770
"TAJIKISTAN",1996,771
"THAILAND",1996,49156
"TOGO",1996,289
"TONGA",1996,21
"TRINIDAD AND TOBAGO",1996,5615
"TUNISIA",1996,4570
"TURKEY",1996,51324
"TURKMENISTAN",1996,8364
"TURKS AND CAICOS ISLANDS",1996,13
"TUVALU",1996,2
"UGANDA",1996,289
"UKRAINE",1996,112445
"UNITED ARAB EMIRATES",1996,11197
"UNITED KINGDOM",1996,150378
"UNITED REPUBLIC OF TANZANIA",1996,944
"UNITED STATES OF AMERICA",1996,1432264
"URUGUAY",1996,1484
"UZBEKISTAN",1996,28953
"VANUATU",1996,23
"VENEZUELA",1996,33489
"VIET NAM",1996,9454
"YEMEN",1996,2901
"YUGOSLAVIA (MONTENEGRO & SERBIA)",1996,12953
"ZAMBIA",1996,510
"ZIMBABWE",1996,4089
