"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1998,284
"ALBANIA",1998,478
"ALGERIA",1998,29179
"ANDORRA",1998,134
"ANGOLA",1998,1993
"ANGUILLA",1998,21
"ANTARCTIC FISHERIES",1998,1
"ANTIGUA & BARBUDA",1998,87
"ARGENTINA",1998,38128
"ARMENIA",1998,917
"ARUBA",1998,490
"AUSTRALIA",1998,86415
"AUSTRIA",1998,17361
"AZERBAIJAN",1998,8638
"BAHAMAS",1998,458
"BAHRAIN",1998,5019
"BANGLADESH",1998,6558
"BARBADOS",1998,311
"BELARUS",1998,15844
"BELGIUM",1998,32281
"BELIZE",1998,101
"BENIN",1998,331
"BERMUDA",1998,142
"BHUTAN",1998,104
"BOSNIA & HERZEGOVINA",1998,2889
"BOTSWANA",1998,912
"BRAZIL",1998,85162
"BRITISH VIRGIN ISLANDS",1998,28
"BRUNEI (DARUSSALAM)",1998,1437
"BULGARIA",1998,13362
"BURKINA FASO",1998,235
"BURUNDI",1998,68
"CAMBODIA",1998,532
"CANADA",1998,138133
"CAPE VERDE",1998,43
"CAYMAN ISLANDS",1998,117
"CENTRAL AFRICAN REPUBLIC",1998,68
"CHAD",1998,41
"CHILE",1998,15719
"CHINA (MAINLAND)",1998,906557
"COLOMBIA",1998,17992
"COMOROS",1998,24
"CONGO",1998,212
"COOK ISLANDS",1998,13
"COSTA RICA",1998,1450
"COTE D IVOIRE",1998,1885
"CROATIA",1998,5496
"CUBA",1998,6681
"CYPRUS",1998,1747
"CZECH REPUBLIC",1998,33418
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1998,16122
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1998,455
"DENMARK",1998,16240
"DJIBOUTI",1998,86
"DOMINICA",1998,21
"DOMINICAN REPUBLIC",1998,5017
"ECUADOR",1998,6125
"EGYPT",1998,33336
"EL SALVADOR",1998,1585
"EQUATORIAL GUINEA",1998,45
"ERITREA",1998,161
"ESTONIA",1998,4448
"ETHIOPIA",1998,878
"FAEROE ISLANDS",1998,170
"FALKLAND ISLANDS (MALVINAS)",1998,10
"FEDERATED STATES OF MICRONESIA",1998,32
"FIJI",1998,210
"FINLAND",1998,15541
"FRANCE (INCLUDING MONACO)",1998,102930
"FRENCH GUIANA",1998,167
"FRENCH POLYNESIA",1998,122
"GABON",1998,1358
"GAMBIA",1998,58
"GEORGIA",1998,1353
"GERMANY",1998,233260
"GHANA",1998,1746
"GIBRALTAR",1998,84
"GREECE",1998,23930
"GREENLAND",1998,144
"GRENADA",1998,48
"GUADELOUPE",1998,565
"GUATEMALA",1998,2387
"GUINEA",1998,410
"GUINEA BISSAU",1998,47
"GUYANA",1998,452
"HAITI",1998,336
"HONDURAS",1998,1268
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1998,10663
"HUNGARY",1998,16134
