"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1989,757
"ALBANIA",1989,2450
"ALGERIA",1989,21829
"ANGOLA",1989,1366
"ANTARCTIC FISHERIES",1989,2
"ANTIGUA & BARBUDA",1989,78
"ARGENTINA",1989,31931
"ARUBA",1989,177
"AUSTRALIA",1989,75749
"AUSTRIA",1989,14758
"BAHAMAS",1989,531
"BAHRAIN",1989,3201
"BANGLADESH",1989,3669
"BARBADOS",1989,270
"BELGIUM",1989,29305
"BELIZE",1989,82
"BENIN",1989,172
"BERMUDA",1989,213
"BHUTAN",1989,17
"BOTSWANA",1989,390
"BRAZIL",1989,58365
"BRITISH VIRGIN ISLANDS",1989,18
"BRUNEI (DARUSSALAM)",1989,1731
"BULGARIA",1989,23654
"BURKINA FASO",1989,224
"BURUNDI",1989,73
"CAMBODIA",1989,123
"CANADA",1989,126336
"CAPE VERDE",1989,22
"CAYMAN ISLANDS",1989,70
"CENTRAL AFRICAN REPUBLIC",1989,68
"CHAD",1989,28
"CHILE",1989,8832
"CHINA (MAINLAND)",1989,656815
"COLOMBIA",1989,14517
"COMOROS",1989,14
"CONGO",1989,411
"COOK ISLANDS",1989,6
"COSTA RICA",1989,811
"COTE D IVOIRE",1989,2324
"CUBA",1989,9746
"CYPRUS",1989,1184
"CZECHOSLOVAKIA",1989,63501
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1989,58532
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1989,1198
"DENMARK",1989,13304
"DJIBOUTI",1989,106
"DOMINICA",1989,16
"DOMINICAN REPUBLIC",1989,2827
"ECUADOR",1989,5527
"EGYPT",1989,19684
"EL SALVADOR",1989,706
"EQUATORIAL GUINEA",1989,32
"ETHIOPIA",1989,771
"FAEROE ISLANDS",1989,158
"FALKLAND ISLANDS (MALVINAS)",1989,11
"FEDERAL REPUBLIC OF GERMANY",1989,186289
"FIJI",1989,172
"FINLAND",1989,14340
"FORMER DEMOCRATIC YEMEN",1989,1772
"FORMER GERMAN DEMOCRATIC REPUBLIC",1989,91100
"FORMER YEMEN",1989,954
"FRANCE (INCLUDING MONACO)",1989,106531
"FRENCH GUIANA",1989,183
"FRENCH POLYNESIA",1989,148
"GABON",1989,1574
"GAMBIA",1989,49
"GHANA",1989,912
"GIBRALTAR",1989,19
"GREECE",1989,20230
"GREENLAND",1989,129
"GRENADA",1989,28
"GUADELOUPE",1989,324
"GUATEMALA",1989,1158
"GUINEA",1989,285
"GUINEA BISSAU",1989,63
"GUYANA",1989,323
"HAITI",1989,283
"HONDURAS",1989,744
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1989,8276
"HUNGARY",1989,20750
"ICELAND",1989,519
"INDIA",1989,157897
"INDONESIA",1989,35715
"IRAQ",1989,19976
"IRELAND",1989,8186
"ISLAMIC REPUBLIC OF IRAN",1989,52142
"ISRAEL",1989,8660
"ITALY (INCLUDING SAN MARINO)",1989,111510
"JAMAICA",1989,1835
"JAPAN",1989,279670
"JORDAN",1989,2518
"KENYA",1989,1416
"KIRIBATI",1989,6
"KUWAIT",1989,9786
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1989,64
"LEBANON",1989,2196
"LIBERIA",1989,182
"LIBYAN ARAB JAMAHIRIYAH",1989,10178
"LUXEMBOURG",1989,2634
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1989,281
"MADAGASCAR",1989,254
"MALAWI",1989,154
"MALAYSIA",1989,13603
"MALDIVES",1989,34
"MALI",1989,114
"MALTA",1989,592
"MARTINIQUE",1989,415
"MAURITANIA",1989,777
"MAURITIUS",1989,287
"MEXICO",1989,98685
"MONGOLIA",1989,2882
"MONTSERRAT",1989,8
"MOROCCO",1989,6250
"MOZAMBIQUE",1989,284
"MYANMAR (FORMERLY BURMA)",1989,1217
"NAURU",1989,43
"NEPAL",1989,249
"NETHERLAND ANTILLES",1989,1382
"NETHERLANDS",1989,44478
"NEW CALEDONIA",1989,449
"NEW ZEALAND",1989,6928
"NICARAGUA",1989,403
"NIGER",1989,284
"NIGERIA",1989,11574
"NIUE",1989,1
"NORWAY",1989,13466
"OMAN",1989,2745
"PACIFIC ISLANDS (PALAU)",1989,62
"PAKISTAN",1989,16623
"PANAMA",1989,688
"PAPUA NEW GUINEA",1989,555
"PARAGUAY",1989,612
"PERU",1989,5956
"PHILIPPINES",1989,10674
"PLURINATIONAL STATE OF BOLIVIA",1989,1362
"POLAND",1989,115568
"PORTUGAL",1989,11238
"QATAR",1989,3907
"REPUBLIC OF CAMEROON",1989,2082
"REPUBLIC OF KOREA",1989,64316
"REUNION",1989,379
"ROMANIA",1989,58397
"RWANDA",1989,188
"SAINT HELENA",1989,2
"SAINT LUCIA",1989,45
"SAMOA",1989,33
"SAO TOME & PRINCIPE",1989,13
"SAUDI ARABIA",1989,55560
"SENEGAL",1989,1008
"SEYCHELLES",1989,64
"SIERRA LEONE",1989,102
"SINGAPORE",1989,11423
"SOLOMON ISLANDS",1989,44
"SOMALIA",1989,261
"SOUTH AFRICA",1989,93021
"SPAIN",1989,61814
"SRI LANKA",1989,950
"ST. KITTS-NEVIS",1989,18
"ST. PIERRE & MIQUELON",1989,28
"ST. VINCENT & THE GRENADINES",1989,21
"SUDAN",1989,1025
"SURINAME",1989,506
"SWAZILAND",1989,119
"SWEDEN",1989,15144
"SWITZERLAND",1989,10763
"SYRIAN ARAB REPUBLIC",1989,9426
"TAIWAN",1989,33632
"THAILAND",1989,21514
"TOGO",1989,228
"TONGA",1989,19
"TRINIDAD AND TOBAGO",1989,4402
"TUNISIA",1989,3609
"TURKEY",1989,37992
"UGANDA",1989,219
"UNITED ARAB EMIRATES",1989,14859
"UNITED KINGDOM",1989,158637
"UNITED REPUBLIC OF TANZANIA",1989,602
"UNITED STATES OF AMERICA",1989,1351263
"URUGUAY",1989,1331
"USSR",1989,1104233
"VANUATU",1989,17
"VENEZUELA",1989,29685
