"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2005,362
"ALBANIA",2005,1160
"ALGERIA",2005,29255
"ANDORRA",2005,157
"ANGOLA",2005,5224
"ANGUILLA",2005,35
"ANTARCTIC FISHERIES",2005,2
"ANTIGUA & BARBUDA",2005,117
"ARGENTINA",2005,44208
"ARMENIA",2005,1187
"ARUBA",2005,742
"AUSTRALIA",2005,95493
"AUSTRIA",2005,20239
"AZERBAIJAN",2005,9364
"BAHAMAS",2005,475
"BAHRAIN",2005,5238
"BANGLADESH",2005,10766
"BARBADOS",2005,369
"BELARUS",2005,16135
"BELGIUM",2005,29591
"BELIZE",2005,115
"BENIN",2005,653
"BERMUDA",2005,159
"BHUTAN",2005,108
"BOSNIA & HERZEGOVINA",2005,4419
"BOTSWANA",2005,1117
"BRAZIL",2005,94712
"BRITISH VIRGIN ISLANDS",2005,36
"BRUNEI (DARUSSALAM)",2005,1365
"BULGARIA",2005,13067
"BURKINA FASO",2005,307
"BURUNDI",2005,42
"CAMBODIA",2005,757
"CANADA",2005,152009
"CAPE VERDE",2005,120
"CAYMAN ISLANDS",2005,129
"CENTRAL AFRICAN REPUBLIC",2005,64
"CHAD",2005,109
"CHILE",2005,16858
"CHINA (MAINLAND)",2005,1608115
"COLOMBIA",2005,16620
"COMOROS",2005,38
"CONGO",2005,268
"COOK ISLANDS",2005,17
"COSTA RICA",2005,1873
"COTE D IVOIRE",2005,2134
"CROATIA",2005,6161
"CUBA",2005,7092
"CYPRUS",2005,2046
"CZECH REPUBLIC",2005,32754
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2005,20609
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2005,409
"DENMARK",2005,12843
"DJIBOUTI",2005,113
"DOMINICA",2005,32
"DOMINICAN REPUBLIC",2005,5083
"ECUADOR",2005,8253
"EGYPT",2005,45598
"EL SALVADOR",2005,1760
"EQUATORIAL GUINEA",2005,1285
"ERITREA",2005,209
"ESTONIA",2005,4569
"ETHIOPIA",2005,1396
"FAEROE ISLANDS",2005,197
"FALKLAND ISLANDS (MALVINAS)",2005,14
"FEDERATED STATES OF MICRONESIA",2005,33
"FIJI",2005,299
"FINLAND",2005,14902
"FRANCE (INCLUDING MONACO)",2005,105091
"FRENCH GUIANA",2005,151
"FRENCH POLYNESIA",2005,224
"GABON",2005,1333
"GAMBIA",2005,80
"GEORGIA",2005,1382
"GERMANY",2005,217393
"GHANA",2005,1907
"GIBRALTAR",2005,109
"GREECE",2005,26909
"GREENLAND",2005,166
"GRENADA",2005,59
"GUADELOUPE",2005,606
"GUATEMALA",2005,3428
"GUINEA",2005,498
"GUINEA BISSAU",2005,58
"GUYANA",2005,392
"HAITI",2005,566
"HONDURAS",2005,2060
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2005,11964
"HUNGARY",2005,15822
"ICELAND",2005,608
"INDIA",2005,333396
"INDONESIA",2005,93262
"IRAQ",2005,30958
"IRELAND",2005,11873
"ISLAMIC REPUBLIC OF IRAN",2005,127845
"ISRAEL",2005,15531
"ITALY (INCLUDING SAN MARINO)",2005,129093
"JAMAICA",2005,2863
"JAPAN",2005,337948
"JORDAN",2005,5743
"KAZAKHSTAN",2005,48358
"KENYA",2005,2335
"KIRIBATI",2005,17
"KUWAIT",2005,19511
"KYRGYZSTAN",2005,1525
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2005,383
"LATVIA",2005,2047
"LEBANON",2005,4420
"LESOTHO",2005,549
"LIBERIA",2005,198
"LIBYAN ARAB JAMAHIRIYAH",2005,14210
"LITHUANIA",2005,3791
"LUXEMBOURG",2005,3149
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2005,499
"MACEDONIA",2005,3076
"MADAGASCAR",2005,475
"MALAWI",2005,239
"MALAYSIA",2005,47583
"MALDIVES",2005,164
"MALI",2005,245
"MALTA",2005,736
"MARSHALL ISLANDS",2005,23
"MARTINIQUE",2005,601
"MAURITANIA",2005,433
"MAURITIUS",2005,899
"MEXICO",2005,127178
"MONGOLIA",2005,2335
"MONTSERRAT",2005,10
"MOROCCO",2005,12482
"MOZAMBIQUE",2005,497
"MYANMAR (FORMERLY BURMA)",2005,3163
"NAMIBIA",2005,630
"NAURU",2005,17
"NEPAL",2005,841
"NETHERLAND ANTILLES",2005,1564
"NETHERLANDS",2005,49490
"NEW CALEDONIA",2005,770
"NEW ZEALAND",2005,9310
"NICARAGUA",2005,1178
"NIGER",2005,195
"NIGERIA",2005,28925
"NIUE",2005,1
"NORWAY",2005,11573
"OCCUPIED PALESTINIAN TERRITORY",2005,748
"OMAN",2005,8152
"PAKISTAN",2005,37261
"PALAU",2005,71
"PANAMA",2005,1865
"PAPUA NEW GUINEA",2005,1196
"PARAGUAY",2005,1045
"PERU",2005,10127
"PHILIPPINES",2005,20407
"PLURINATIONAL STATE OF BOLIVIA",2005,3323
"POLAND",2005,82503
"PORTUGAL",2005,17802
"QATAR",2005,13896
"REPUBLIC OF CAMEROON",2005,1008
"REPUBLIC OF KOREA",2005,126240
"REPUBLIC OF MOLDOVA",2005,1335
"REUNION",2005,940
"ROMANIA",2005,26304
"RUSSIAN FEDERATION",2005,440439
"RWANDA",2005,144
"SAINT HELENA",2005,3
"SAINT LUCIA",2005,100
"SAMOA",2005,44
"SAO TOME & PRINCIPE",2005,21
"SAUDI ARABIA",2005,108438
"SENEGAL",2005,1585
"SEYCHELLES",2005,188
"SIERRA LEONE",2005,149
"SINGAPORE",2005,8279
"SLOVAKIA",2005,10733
"SLOVENIA",2005,4327
"SOLOMON ISLANDS",2005,44
"SOMALIA",2005,162
"SOUTH AFRICA",2005,113694
"SPAIN",2005,96390
"SRI LANKA",2005,3300
"ST. KITTS-NEVIS",2005,54
"ST. PIERRE & MIQUELON",2005,18
"ST. VINCENT & THE GRENADINES",2005,60
"SUDAN",2005,2995
"SURINAME",2005,435
"SWAZILAND",2005,278
"SWEDEN",2005,14061
"SWITZERLAND",2005,11273
"SYRIAN ARAB REPUBLIC",2005,13806
"TAIWAN",2005,70736
"TAJIKISTAN",2005,666
"THAILAND",2005,67485
"TIMOR-LESTE (FORMERLY EAST TIMOR)",2005,48
"TOGO",2005,365
"TONGA",2005,31
"TRINIDAD AND TOBAGO",2005,10404
"TUNISIA",2005,6180
