"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1976,542
"ALBANIA",1976,1350
"ALGERIA",1976,10682
"ANGOLA",1976,896
"ANTIGUA & BARBUDA",1976,110
"ARGENTINA",1976,27212
"AUSTRALIA",1976,47517
"AUSTRIA",1976,15930
"BAHAMAS",1976,1763
"BAHRAIN",1976,1793
"BANGLADESH",1976,1519
"BARBADOS",1976,145
"BELGIUM",1976,35454
"BELIZE",1976,48
"BENIN",1976,71
"BERMUDA",1976,128
"BHUTAN",1976,1
"BOTSWANA",1976,162
"BRAZIL",1976,42311
"BRITISH VIRGIN ISLANDS",1976,7
"BRUNEI (DARUSSALAM)",1976,1643
"BULGARIA",1976,19939
"BURKINA FASO",1976,57
"BURUNDI",1976,24
"CAMBODIA",1976,20
"CANADA",1976,108895
"CAPE VERDE",1976,20
"CAYMAN ISLANDS",1976,18
"CENTRAL AFRICAN REPUBLIC",1976,35
"CHAD",1976,50
"CHILE",1976,6573
"CHINA (MAINLAND)",1976,326205
"CHRISTMAS ISLAND",1976,34
"COLOMBIA",1976,10387
"COMOROS",1976,11
"CONGO",1976,337
"COOK ISLANDS",1976,4
"COSTA RICA",1976,569
"COTE D IVOIRE",1976,1081
"CUBA",1976,7424
"CYPRUS",1976,672
"CZECHOSLOVAKIA",1976,65089
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1976,30049
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1976,931
"DENMARK",1976,16399
"DJIBOUTI",1976,54
"DOMINICA",1976,8
"DOMINICAN REPUBLIC",1976,1727
"ECUADOR",1976,2212
"EGYPT",1976,9407
"EL SALVADOR",1976,603
"EQUATORIAL GUINEA",1976,17
"ETHIOPIA",1976,321
"FAEROE ISLANDS",1976,90
"FALKLAND ISLANDS (MALVINAS)",1976,4
"FEDERAL REPUBLIC OF GERMANY",1976,217385
"FIJI",1976,132
"FINLAND",1976,13984
"FORMER DEMOCRATIC YEMEN",1976,501
"FORMER GERMAN DEMOCRATIC REPUBLIC",1976,80724
"FORMER PANAMA CANAL ZONE",1976,278
"FORMER YEMEN",1976,199
"FRANCE (INCLUDING MONACO)",1976,137879
"FRENCH GUIANA",1976,75
"FRENCH POLYNESIA",1976,72
"GABON",1976,1557
"GAMBIA",1976,27
"GHANA",1976,664
"GIBRALTAR",1976,21
"GREECE",1976,11702
"GREENLAND",1976,60
"GRENADA",1976,13
"GUADELOUPE",1976,135
"GUATEMALA",1976,903
"GUINEA",1976,242
"GUINEA BISSAU",1976,26
"GUYANA",1976,478
"HAITI",1976,184
"HONDURAS",1976,485
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1976,3411
"HUNGARY",1976,21820
"ICELAND",1976,465
"INDIA",1976,71935
"INDONESIA",1976,16856
"IRAQ",1976,13308
"IRELAND",1976,6080
"ISLAMIC REPUBLIC OF IRAN",1976,42717
"ISRAEL",1976,5348
"ITALY (INCLUDING SAN MARINO)",1976,100167
"JAMAICA",1976,1986
"JAPAN",1976,247860
"JORDAN",1976,805
"KENYA",1976,1257
"KIRIBATI",1976,9
"KUWAIT",1976,5038
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1976,61
"LEBANON",1976,1671
"LIBERIA",1976,403
"LIBYAN ARAB JAMAHIRIYAH",1976,4886
"LUXEMBOURG",1976,3229
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1976,69
"MADAGASCAR",1976,271
"MALAWI",1976,159
"MALAYSIA",1976,6516
"MALDIVES",1976,3
"MALI",1976,93
"MALTA",1976,208
"MARTINIQUE",1976,232
"MAURITANIA",1976,141
"MAURITIUS",1976,169
"MEXICO",1976,50215
"MONGOLIA",1976,1201
"MONTSERRAT",1976,3
"MOROCCO",1976,3149
"MOZAMBIQUE",1976,698
"MYANMAR (FORMERLY BURMA)",1976,1336
"NAURU",1976,28
"NEPAL",1976,77
"NETHERLAND ANTILLES AND ARUBA",1976,5962
"NETHERLANDS",1976,46273
"NEW CALEDONIA",1976,652
"NEW ZEALAND",1976,5246
"NICARAGUA",1976,607
"NIGER",1976,91
"NIGERIA",1976,15066
"NIUE",1976,1
"NORWAY",1976,7995
"OMAN",1976,2271
"PACIFIC ISLANDS (PALAU)",1976,31
"PAKISTAN",1976,6228
"PANAMA",1976,985
"PAPUA NEW GUINEA",1976,429
"PARAGUAY",1976,282
"PERU",1976,6120
"PHILIPPINES",1976,9580
"PLURINATIONAL STATE OF BOLIVIA",1976,1249
"POLAND",1976,108818
"PORTUGAL",1976,6115
"QATAR",1976,2832
"REPUBLIC OF CAMEROON",1976,298
"REPUBLIC OF KOREA",1976,25445
"REUNION",1976,172
"ROMANIA",1976,47659
"RWANDA",1976,73
"SAINT LUCIA",1976,23
"SAMOA",1976,13
"SAO TOME & PRINCIPE",1976,8
"SAUDI ARABIA",1976,27693
"SENEGAL",1976,484
"SEYCHELLES",1976,22
"SIERRA LEONE",1976,123
"SINGAPORE",1976,8191
"SOLOMON ISLANDS",1976,17
"SOMALIA",1976,131
"SOUTH AFRICA",1976,52663
"SPAIN",1976,54116
"SRI LANKA",1976,765
"ST. KITTS-NEVIS-ANGUILLA",1976,10
"ST. PIERRE & MIQUELON",1976,13
"ST. VINCENT & THE GRENADINES",1976,9
"SUDAN",1976,1024
"SURINAME",1976,545
"SWAZILAND",1976,91
"SWEDEN",1976,24082
"SWITZERLAND",1976,11040
"SYRIAN ARAB REPUBLIC",1976,3752
"TAIWAN",1976,15322
"THAILAND",1976,7848
"TOGO",1976,88
"TONGA",1976,8
"TRINIDAD AND TOBAGO",1976,4343
"TUNISIA",1976,1595
"TURKEY",1976,20104
"UGANDA",1976,270
"UNITED ARAB EMIRATES",1976,10813
"UNITED KINGDOM",1976,163325
"UNITED REPUBLIC OF TANZANIA",1976,761
"UNITED STATES OF AMERICA",1976,1258004
"URUGUAY",1976,1608
"USSR",1976,849190
"VANUATU",1976,12
"VENEZUELA",1976,15638
"VIET NAM",1976,3797
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1976,25214
"ZAMBIA",1976,1098
"ZIMBABWE",1976,2964
