"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1958,90
"ALBANIA",1958,328
"ALGERIA",1958,1424
"ANGOLA",1958,162
"ANTIGUA & BARBUDA",1958,8
"ARGENTINA",1958,12064
"AUSTRALIA",1958,21184
"AUSTRIA",1958,7668
"BAHAMAS",1958,49
"BAHRAIN",1958,352
"BARBADOS",1958,41
"BELGIUM",1958,23936
"BELIZE",1958,11
"BENIN",1958,34
"BERMUDA",1958,40
"BRAZIL",1958,10663
"BRUNEI (DARUSSALAM)",1958,87
"BULGARIA",1958,4266
"BURKINA FASO",1958,1
"CAMBODIA",1958,54
"CANADA",1958,49721
"CAPE VERDE",1958,4
"CAYMAN ISLANDS",1958,2
"CHILE",1958,3399
"CHINA (MAINLAND)",1958,143390
"COLOMBIA",1958,3816
"COSTA RICA",1958,122
"COTE D IVOIRE",1958,136
"CUBA",1958,4912
"CYPRUS",1958,209
"CZECHOSLOVAKIA",1958,33426
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1958,4268
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1958,799
"DEMOCRATIC REPUBLIC OF VIETNAM",1958,919
"DENMARK",1958,7313
"DJIBOUTI",1958,13
"DOMINICA",1958,2
"DOMINICAN REPUBLIC",1958,291
"EAST & WEST PAKISTAN",1958,3309
"ECUADOR",1958,361
"EGYPT",1958,3736
"EL SALVADOR",1958,163
"EQUATORIAL GUINEA",1958,13
"ETHIOPIA",1958,87
"FAEROE ISLANDS",1958,32
"FALKLAND ISLANDS (MALVINAS)",1958,100
"FEDERAL REPUBLIC OF GERMANY",1958,136469
"FIJI",1958,48
"FINLAND",1958,2896
"FORMER DEMOCRATIC YEMEN",1958,496
"FORMER GERMAN DEMOCRATIC REPUBLIC",1958,69992
"FORMER PANAMA CANAL ZONE",1958,53
"FORMER YEMEN",1958,18
"FRANCE (INCLUDING MONACO)",1958,72655
"FRENCH EQUATORIAL AFRICA",1958,117
"FRENCH GUIANA",1958,5
"FRENCH POLYNESIA",1958,14
"GAMBIA",1958,7
"GHANA",1958,372
"GIBRALTAR",1958,15
"GREECE",1958,2034
"GREENLAND",1958,62
"GRENADA",1958,4
"GUADELOUPE",1958,30
"GUATEMALA",1958,308
"GUINEA",1958,45
"GUINEA BISSAU",1958,3
"GUYANA",1958,125
"HAITI",1958,75
"HONDURAS",1958,160
