"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1975,580
"ALBANIA",1975,1253
"ALGERIA",1975,8735
"ANGOLA",1975,1204
"ANTIGUA & BARBUDA",1975,193
"ARGENTINA",1975,25888
"AUSTRALIA",1975,47964
"AUSTRIA",1975,14833
"BAHAMAS",1975,2251
"BAHRAIN",1975,1569
"BANGLADESH",1975,1328
"BARBADOS",1975,155
"BELGIUM",1975,33297
"BELIZE",1975,48
"BENIN",1975,121
"BERMUDA",1975,125
"BHUTAN",1975,1
"BOTSWANA",1975,51
"BRAZIL",1975,41223
"BRITISH VIRGIN ISLANDS",1975,7
"BRUNEI (DARUSSALAM)",1975,1931
"BULGARIA",1975,19924
"BURKINA FASO",1975,60
"BURUNDI",1975,21
"CAMBODIA",1975,20
"CANADA",1975,108302
"CAPE VERDE",1975,21
"CAYMAN ISLANDS",1975,15
"CENTRAL AFRICAN REPUBLIC",1975,28
"CHAD",1975,50
"CHILE",1975,6276
"CHINA (MAINLAND)",1975,312410
"CHRISTMAS ISLAND",1975,37
"COLOMBIA",1975,9789
"COMOROS",1975,9
"CONGO",1975,300
"COOK ISLANDS",1975,4
"COSTA RICA",1975,556
"COTE D IVOIRE",1975,1088
"CUBA",1975,7381
"CYPRUS",1975,540
"CZECHOSLOVAKIA",1975,62640
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1975,29381
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1975,883
"DENMARK",1975,15211
"DJIBOUTI",1975,54
"DOMINICA",1975,8
"DOMINICAN REPUBLIC",1975,1729
"ECUADOR",1975,2008
"EGYPT",1975,8481
"EL SALVADOR",1975,575
"EQUATORIAL GUINEA",1975,17
"ETHIOPIA",1975,330
"FAEROE ISLANDS",1975,95
"FALKLAND ISLANDS (MALVINAS)",1975,4
"FEDERAL REPUBLIC OF GERMANY",1975,195164
"FIJI",1975,170
"FINLAND",1975,12572
"FORMER DEMOCRATIC YEMEN",1975,427
"FORMER GERMAN DEMOCRATIC REPUBLIC",1975,78745
"FORMER PANAMA CANAL ZONE",1975,304
"FORMER YEMEN",1975,165
"FRANCE (INCLUDING MONACO)",1975,121876
"FRENCH GUIANA",1975,32
"FRENCH POLYNESIA",1975,58
"GABON",1975,1464
"GAMBIA",1975,27
"GHANA",1975,749
"GIBRALTAR",1975,24
"GREECE",1975,10601
"GREENLAND",1975,138
"GRENADA",1975,13
"GUADELOUPE",1975,110
"GUATEMALA",1975,961
"GUINEA",1975,230
"GUINEA BISSAU",1975,31
"GUYANA",1975,498
"HAITI",1975,132
"HONDURAS",1975,455
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1975,3005
"HUNGARY",1975,20559
"ICELAND",1975,441
"INDIA",1975,68776
"INDONESIA",1975,14716
"IRAQ",1975,9042
"IRELAND",1975,6014
"ISLAMIC REPUBLIC OF IRAN",1975,38001
"ISRAEL",1975,5358
"ITALY (INCLUDING SAN MARINO)",1975,93349
"JAMAICA",1975,2233
"JAPAN",1975,237271
"JORDAN",1975,680
"KENYA",1975,1357
