"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1970,456
"ALBANIA",1970,1021
"ALGERIA",1970,4111
"ANGOLA",1970,977
"ANTIGUA & BARBUDA",1970,126
"ARGENTINA",1970,22562
"AUSTRALIA",1970,40256
"AUSTRIA",1970,13824
"BAHAMAS",1970,702
"BAHRAIN",1970,707
"BARBADOS",1970,117
"BELGIUM",1970,34257
"BELIZE",1970,33
"BENIN",1970,77
"BERMUDA",1970,62
"BHUTAN",1970,1
"BRAZIL",1970,25569
"BRITISH VIRGIN ISLANDS",1970,5
"BRUNEI (DARUSSALAM)",1970,2239
"BULGARIA",1970,16700
"BURKINA FASO",1970,39
"BURUNDI",1970,17
"CAMBODIA",1970,320
"CANADA",1970,93124
"CAPE VERDE",1970,10
"CAYMAN ISLANDS",1970,10
"CENTRAL AFRICAN REPUBLIC",1970,57
"CHAD",1970,34
"CHILE",1970,6726
"CHINA (MAINLAND)",1970,210422
"CHRISTMAS ISLAND",1970,19
"COLOMBIA",1970,7746
"COMOROS",1970,8
"CONGO",1970,156
"COOK ISLANDS",1970,3
"COSTA RICA",1970,341
"COTE D IVOIRE",1970,666
"CUBA",1970,5092
"CYPRUS",1970,465
"CZECHOSLOVAKIA",1970,55632
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1970,20058
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1970,740
"DENMARK",1970,16935
"DJIBOUTI",1970,38
"DOMINICA",1970,7
"DOMINICAN REPUBLIC",1970,848
"EAST & WEST PAKISTAN",1970,6637
"ECUADOR",1970,1168
"EGYPT",1970,5914
"EL SALVADOR",1970,390
"EQUATORIAL GUINEA",1970,10
"ETHIOPIA",1970,451
"FAEROE ISLANDS",1970,70
"FALKLAND ISLANDS (MALVINAS)",1970,3
"FEDERAL REPUBLIC OF GERMANY",1970,203756
"FIJI",1970,142
"FINLAND",1970,11016
"FORMER DEMOCRATIC YEMEN",1970,639
"FORMER GERMAN DEMOCRATIC REPUBLIC",1970,76323
"FORMER PANAMA CANAL ZONE",1970,130
"FORMER YEMEN",1970,46
"FRANCE (INCLUDING MONACO)",1970,119720
"FRENCH GUIANA",1970,28
"FRENCH POLYNESIA",1970,53
"GABON",1970,568
"GAMBIA",1970,13
"GHANA",1970,716
"GIBRALTAR",1970,19
"GREECE",1970,6590
"GREENLAND",1970,104
"GRENADA",1970,12
"GUADELOUPE",1970,83
"GUATEMALA",1970,627
"GUINEA",1970,216
"GUINEA BISSAU",1970,19
"GUYANA",1970,431
"HAITI",1970,105
"HONDURAS",1970,379
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1970,2291
"HUNGARY",1970,19090
"ICELAND",1970,379
"INDIA",1970,53216
"INDONESIA",1970,9769
"IRAQ",1970,6520
"IRELAND",1970,5294
"ISLAMIC REPUBLIC OF IRAN",1970,25054
"ISRAEL",1970,4521
"ITALY (INCLUDING SAN MARINO)",1970,80922
"JAMAICA",1970,1362
"JAPAN",1970,209660
"JORDAN",1970,425
"KENYA",1970,841
"KIRIBATI",1970,6
"KUWAIT",1970,6829
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1970,156
"LEBANON",1970,1077
"LIBERIA",1970,396
"LIBYAN ARAB JAMAHIRIYAH",1970,8817
"LUXEMBOURG",1970,3749
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1970,56
"MADAGASCAR",1970,265
"MALAWI",1970,124
"MALAYSIA",1970,3982
"MALI",1970,55
"MALTA",1970,181
"MARTINIQUE",1970,99
"MAURITANIA",1970,117
"MAURITIUS",1970,136
"MEXICO",1970,31108
"MONGOLIA",1970,777
"MONTSERRAT",1970,4
"MOROCCO",1970,1989
"MOZAMBIQUE",1970,814
"MYANMAR (FORMERLY BURMA)",1970,1259
"NAURU",1970,18
"NEPAL",1970,62
"NETHERLAND ANTILLES AND ARUBA",1970,4542
"NETHERLANDS",1970,38706
"NEW CALEDONIA",1970,653
"NEW ZEALAND",1970,3871
"NICARAGUA",1970,383
"NIGER",1970,59
"NIGERIA",1970,5874
"NIUE",1970,1
"NORWAY",1970,7639
"OMAN",1970,64
"PACIFIC ISLANDS (PALAU)",1970,37
"PANAMA",1970,601
"PAPUA NEW GUINEA",1970,189
"PARAGUAY",1970,203
"PERU",1970,4850
"PHILIPPINES",1970,6758
"PLURINATIONAL STATE OF BOLIVIA",1970,678
"POLAND",1970,83022
"PORTUGAL",1970,4161
"QATAR",1970,2064
"REPUBLIC OF CAMEROON",1970,174
"REPUBLIC OF KOREA",1970,14667
"REUNION",1970,87
"ROMANIA",1970,32755
"RWANDA",1970,16
"RYUKYU ISLANDS",1970,520
"SAINT LUCIA",1970,18
"SAMOA",1970,8
"SAO TOME & PRINCIPE",1970,4
"SAUDI ARABIA",1970,12351
"SENEGAL",1970,357
"SEYCHELLES",1970,8
"SIERRA LEONE",1970,238
"SINGAPORE",1970,4966
"SOLOMON ISLANDS",1970,11
"SOMALIA",1970,59
"SOUTH AFRICA",1970,40841
"SPAIN",1970,31887
"SRI LANKA",1970,981
"ST. KITTS-NEVIS-ANGUILLA",1970,7
"ST. PIERRE & MIQUELON",1970,10
"ST. VINCENT & THE GRENADINES",1970,8
"SUDAN",1970,1324
"SURINAME",1970,439
"SWAZILAND",1970,100
"SWEDEN",1970,25192
"SWITZERLAND",1970,10989
"SYRIAN ARAB REPUBLIC",1970,1816
"TAIWAN",1970,7847
"THAILAND",1970,4193
"TOGO",1970,75
"TONGA",1970,7
"TRINIDAD AND TOBAGO",1970,2454
"TUNISIA",1970,1021
"TURKEY",1970,11628
"UGANDA",1970,394
"UNITED ARAB EMIRATES",1970,4158
"UNITED KINGDOM",1970,178092
"UNITED REPUBLIC OF TANZANIA",1970,482
"UNITED STATES OF AMERICA",1970,1180503
"URUGUAY",1970,1566
"USSR",1970,643344
"VANUATU",1970,11
"VENEZUELA",1970,20333
"VIET NAM",1970,7690
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1970,19317
"ZAMBIA",1970,1028
"ZIMBABWE",1970,2226
