"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1987,852
"ALBANIA",1987,2030
"ALGERIA",1987,22940
"ANGOLA",1987,1586
"ANTARCTIC FISHERIES",1987,1
"ANTIGUA & BARBUDA",1987,75
"ARGENTINA",1987,31345
"ARUBA",1987,122
"AUSTRALIA",1987,69841
"AUSTRIA",1987,15747
"BAHAMAS",1987,388
"BAHRAIN",1987,3117
"BANGLADESH",1987,3235
"BARBADOS",1987,257
"BELGIUM",1987,28120
"BELIZE",1987,62
"BENIN",1987,147
"BERMUDA",1987,156
"BHUTAN",1987,28
"BOTSWANA",1987,338
"BRAZIL",1987,56594
"BRITISH VIRGIN ISLANDS",1987,17
"BRUNEI (DARUSSALAM)",1987,905
"BULGARIA",1987,24989
"BURKINA FASO",1987,141
"BURUNDI",1987,68
"CAMBODIA",1987,119
"CANADA",1987,117630
"CAPE VERDE",1987,22
"CAYMAN ISLANDS",1987,59
"CENTRAL AFRICAN REPUBLIC",1987,71
"CHAD",1987,54
"CHILE",1987,6183
"CHINA (MAINLAND)",1987,602593
"COLOMBIA",1987,13768
"COMOROS",1987,13
"CONGO",1987,361
"COOK ISLANDS",1987,6
"COSTA RICA",1987,752
"COTE D IVOIRE",1987,2095
"CUBA",1987,9259
"CYPRUS",1987,1124
"CZECHOSLOVAKIA",1987,66714
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1987,48111
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1987,1051
"DENMARK",1987,15910
"DJIBOUTI",1987,106
"DOMINICA",1987,13
"DOMINICAN REPUBLIC",1987,2660
"ECUADOR",1987,4122
"EGYPT",1987,20401
"EL SALVADOR",1987,668
"EQUATORIAL GUINEA",1987,27
"ETHIOPIA",1987,704
"FAEROE ISLANDS",1987,136
"FALKLAND ISLANDS (MALVINAS)",1987,10
"FEDERAL REPUBLIC OF GERMANY",1987,188526
"FIJI",1987,130
"FINLAND",1987,15723
"FORMER DEMOCRATIC YEMEN",1987,1453
"FORMER GERMAN DEMOCRATIC REPUBLIC",1987,94070
"FORMER YEMEN",1987,915
"FRANCE (INCLUDING MONACO)",1987,102943
"FRENCH GUIANA",1987,114
"FRENCH POLYNESIA",1987,166
"GABON",1987,1097
"GAMBIA",1987,49
"GHANA",1987,896
"GIBRALTAR",1987,13
"GREECE",1987,17309
"GREENLAND",1987,64
"GRENADA",1987,20
"GUADELOUPE",1987,276
"GUATEMALA",1987,1089
"GUINEA",1987,271
"GUINEA BISSAU",1987,53
"GUYANA",1987,357
"HAITI",1987,249
"HONDURAS",1987,593
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1987,7710
"HUNGARY",1987,23026
"ICELAND",1987,505
"INDIA",1987,133210
"INDONESIA",1987,33644
"IRAQ",1987,14421
"IRELAND",1987,8235
"ISLAMIC REPUBLIC OF IRAN",1987,43516
"ISRAEL",1987,7468
"ITALY (INCLUDING SAN MARINO)",1987,104628
"JAMAICA",1987,1468
"JAPAN",1987,246996
"JORDAN",1987,2635
"KENYA",1987,1411
"KIRIBATI",1987,6
"KUWAIT",1987,8582
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1987,57
"LEBANON",1987,2173
"LIBERIA",1987,209
"LIBYAN ARAB JAMAHIRIYAH",1987,8881
"LUXEMBOURG",1987,2364
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1987,265
"MADAGASCAR",1987,351
"MALAWI",1987,149
"MALAYSIA",1987,11116
"MALDIVES",1987,22
"MALI",1987,98
"MALTA",1987,506
"MARTINIQUE",1987,448
"MAURITANIA",1987,896
"MAURITIUS",1987,254
"MEXICO",1987,83817
"MONGOLIA",1987,2887
"MONTSERRAT",1987,8
"MOROCCO",1987,5486
"MOZAMBIQUE",1987,268
"MYANMAR (FORMERLY BURMA)",1987,1357
"NAURU",1987,43
"NEPAL",1987,238
"NETHERLAND ANTILLES",1987,737
"NETHERLANDS",1987,41606
"NEW CALEDONIA",1987,398
"NEW ZEALAND",1987,6575
"NICARAGUA",1987,665
"NIGER",1987,273
"NIGERIA",1987,16183
"NIUE",1987,1
"NORWAY",1987,11101
"OMAN",1987,2581
"PACIFIC ISLANDS (PALAU)",1987,44
"PAKISTAN",1987,14599
"PANAMA",1987,873
"PAPUA NEW GUINEA",1987,637
"PARAGUAY",1987,516
"PERU",1987,7031
"PHILIPPINES",1987,8913
"PLURINATIONAL STATE OF BOLIVIA",1987,1099
"POLAND",1987,126903
"PORTUGAL",1987,8600
"QATAR",1987,3136
"REPUBLIC OF CAMEROON",1987,503
"REPUBLIC OF KOREA",1987,52539
"REUNION",1987,320
"ROMANIA",1987,57858
"RWANDA",1987,168
"SAINT HELENA",1987,1
"SAINT LUCIA",1987,40
"SAMOA",1987,31
"SAO TOME & PRINCIPE",1987,14
"SAUDI ARABIA",1987,52006
"SENEGAL",1987,669
"SEYCHELLES",1987,55
"SIERRA LEONE",1987,136
"SINGAPORE",1987,8890
"SOLOMON ISLANDS",1987,44
"SOMALIA",1987,271
"SOUTH AFRICA",1987,89726
"SPAIN",1987,52053
"SRI LANKA",1987,1111
"ST. KITTS-NEVIS",1987,15
"ST. PIERRE & MIQUELON",1987,14
"ST. VINCENT & THE GRENADINES",1987,21
"SUDAN",1987,914
"SURINAME",1987,480
"SWAZILAND",1987,119
"SWEDEN",1987,16285
"SWITZERLAND",1987,10977
"SYRIAN ARAB REPUBLIC",1987,9879
"TAIWAN",1987,26821
"THAILAND",1987,15529
"TOGO",1987,209
"TONGA",1987,15
"TRINIDAD AND TOBAGO",1987,4778
"TUNISIA",1987,3204
"TURKEY",1987,35426
"UGANDA",1987,210
"UNITED ARAB EMIRATES",1987,13006
"UNITED KINGDOM",1987,155950
"UNITED REPUBLIC OF TANZANIA",1987,652
"UNITED STATES OF AMERICA",1987,1278531
"URUGUAY",1987,971
"USSR",1987,1097691
"VANUATU",1987,13
"VENEZUELA",1987,30265
"VIET NAM",1987,7082
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1987,35226
"ZAMBIA",1987,737
"ZIMBABWE",1987,4156
