"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1959,105
"ALBANIA",1959,394
"ALGERIA",1959,1545
"ANGOLA",1959,169
"ANTIGUA & BARBUDA",1959,8
"ARGENTINA",1959,13362
"AUSTRALIA",1959,22849
"AUSTRIA",1959,7620
"BAHAMAS",1959,71
"BAHRAIN",1959,358
"BARBADOS",1959,41
"BELGIUM",1959,24107
"BELIZE",1959,11
"BENIN",1959,28
"BERMUDA",1959,37
"BRAZIL",1959,10653
"BRUNEI (DARUSSALAM)",1959,89
"BULGARIA",1959,5357
"BURKINA FASO",1959,2
"CAMBODIA",1959,58
"CANADA",1959,50356
"CAPE VERDE",1959,5
"CAYMAN ISLANDS",1959,2
"CENTRAL AFRICAN REPUBLIC",1959,27
"CHAD",1959,17
"CHILE",1959,3468
"CHINA (MAINLAND)",1959,196823
"COLOMBIA",1959,4392
"COMOROS",1959,3
"CONGO",1959,51
"COSTA RICA",1959,105
"COTE D IVOIRE",1959,149
"CUBA",1959,4276
"CYPRUS",1959,227
"CZECHOSLOVAKIA",1959,33457
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1959,5424
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1959,737
"DEMOCRATIC REPUBLIC OF VIETNAM",1959,1389
"DENMARK",1959,7107
"DJIBOUTI",1959,10
"DOMINICA",1959,3
"DOMINICAN REPUBLIC",1959,304
"EAST & WEST PAKISTAN",1959,3211
"ECUADOR",1959,353
"EGYPT",1959,3470
"EL SALVADOR",1959,165
"EQUATORIAL GUINEA",1959,13
"ETHIOPIA",1959,92
"FAEROE ISLANDS",1959,27
"FALKLAND ISLANDS (MALVINAS)",1959,28
"FEDERAL REPUBLIC OF GERMANY",1959,135672
"FIJI",1959,54
"FINLAND",1959,3701
"FORMER DEMOCRATIC YEMEN",1959,690
"FORMER GERMAN DEMOCRATIC REPUBLIC",1959,70634
"FORMER PANAMA CANAL ZONE",1959,84
"FORMER YEMEN",1959,20
"FRANCE (INCLUDING MONACO)",1959,71492
"FRENCH GUIANA",1959,6
"FRENCH POLYNESIA",1959,8
"GABON",1959,6
"GAMBIA",1959,5
"GHANA",1959,361
"GIBRALTAR",1959,13
"GREECE",1959,2218
"GREENLAND",1959,64
"GRENADA",1959,4
"GUADELOUPE",1959,39
"GUATEMALA",1959,338
"GUINEA",1959,43
"GUINEA BISSAU",1959,4
"GUYANA",1959,151
"HAITI",1959,69
"HONDURAS",1959,160
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1959,738
"HUNGARY",1959,11438
"ICELAND",1959,338
"INDIA",1959,29950
"INDONESIA",1959,6513
"IRAQ",1959,1997
"IRELAND",1959,3361
"ISLAMIC REPUBLIC OF IRAN",1959,6979
"ISRAEL",1959,1530
"ITALY (INCLUDING SAN MARINO)",1959,25694
"JAMAICA",1959,502
"JAPAN",1959,52590
"JORDAN",1959,179
"KENYA",1959,603
"KUWAIT",1959,1037
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1959,21
"LEBANON",1959,669
"LIBERIA",1959,39
"LIBYAN ARAB JAMAHIRIYAH",1959,118
"LUXEMBOURG",1959,2844
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1959,10
"MADAGASCAR",1959,102
"MALI",1959,13
"MALTA",1959,106
"MARTINIQUE",1959,45
"MAURITANIA",1959,9
"MAURITIUS",1959,61
"MEXICO",1959,15911
"MONGOLIA",1959,367
"MOROCCO",1959,920
"MOZAMBIQUE",1959,490
"MYANMAR (FORMERLY BURMA)",1959,758
"NEPAL",1959,18
"NETHERLAND ANTILLES AND ARUBA",1959,3518
"NETHERLANDS",1959,18320
"NEW CALEDONIA",1959,161
"NEW ZEALAND",1959,2817
"NICARAGUA",1959,131
"NIGER",1959,6
"NIGERIA",1959,973
"NORWAY",1959,3224
"PACIFIC ISLANDS (PALAU)",1959,4
"PANAMA",1959,271
