"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1994,353
"ALBANIA",1994,525
"ALGERIA",1994,23566
"ANDORRA",1994,111
"ANGOLA",1994,1061
"ANGUILLA",1994,18
"ANTARCTIC FISHERIES",1994,4
"ANTIGUA & BARBUDA",1994,73
"ARGENTINA",1994,33381
"ARMENIA",1994,738
"ARUBA",1994,440
"AUSTRALIA",1994,75844
"AUSTRIA",1994,15559
"AZERBAIJAN",1994,11447
"BAHAMAS",1994,460
"BAHRAIN",1994,4033
"BANGLADESH",1994,5173
"BARBADOS",1994,204
"BELARUS",1994,17741
"BELGIUM",1994,30634
"BELIZE",1994,102
"BENIN",1994,345
"BERMUDA",1994,145
"BHUTAN",1994,58
"BOSNIA & HERZEGOVINA",1994,881
"BOTSWANA",1994,827
"BRAZIL",1994,66036
"BRITISH VIRGIN ISLANDS",1994,22
"BRUNEI (DARUSSALAM)",1994,1280
"BULGARIA",1994,14770
"BURKINA FASO",1994,176
"BURUNDI",1994,64
"CAMBODIA",1994,403
"CANADA",1994,124584
"CAPE VERDE",1994,31
"CAYMAN ISLANDS",1994,99
"CENTRAL AFRICAN REPUBLIC",1994,64
"CHAD",1994,28
"CHILE",1994,10391
"CHINA (MAINLAND)",1994,833990
"COLOMBIA",1994,18427
"COMOROS",1994,19
"CONGO",1994,586
"COOK ISLANDS",1994,11
"COSTA RICA",1994,1437
"COTE D IVOIRE",1994,1278
"CROATIA",1994,4497
"CUBA",1994,8794
"CYPRUS",1994,1539
"CZECH REPUBLIC",1994,34288
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1994,24098
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1994,447
"DENMARK",1994,16635
"DJIBOUTI",1994,83
"DOMINICA",1994,18
"DOMINICAN REPUBLIC",1994,3402
"ECUADOR",1994,3723
"EGYPT",1994,23265
"EL SALVADOR",1994,1253
"EQUATORIAL GUINEA",1994,9
"ERITREA",1994,236
"ESTONIA",1994,5193
"ETHIOPIA",1994,611
"FAEROE ISLANDS",1994,157
"FALKLAND ISLANDS (MALVINAS)",1994,11
"FEDERATED STATES OF MICRONESIA",1994,28
"FIJI",1994,204
"FINLAND",1994,15605
"FRANCE (INCLUDING MONACO)",1994,92206
"FRENCH GUIANA",1994,168
"FRENCH POLYNESIA",1994,120
"GABON",1994,1197
"GAMBIA",1994,51
"GEORGIA",1994,1659
"GERMANY",1994,236040
"GHANA",1994,1351
"GIBRALTAR",1994,77
"GREECE",1994,21246
"GREENLAND",1994,137
"GRENADA",1994,39
"GUADELOUPE",1994,387
"GUATEMALA",1994,1865
"GUINEA",1994,341
"GUINEA BISSAU",1994,50
"GUYANA",1994,378
"HAITI",1994,82
"HONDURAS",1994,910
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1994,8531
"HUNGARY",1994,16058
"ICELAND",1994,548
"INDIA",1994,208544
"INDONESIA",1994,60380
"IRAQ",1994,19453
"IRELAND",1994,8910
"ISLAMIC REPUBLIC OF IRAN",1994,72329
"ISRAEL",1994,13199
"ITALY (INCLUDING SAN MARINO)",1994,111093
"JAMAICA",1994,2235
"JAPAN",1994,319966
"JORDAN",1994,3718
"KAZAKHSTAN",1994,54536
"KENYA",1994,1788
"KIRIBATI",1994,8
"KUWAIT",1994,10610
"KYRGYZSTAN",1994,1698
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1994,75
"LATVIA",1994,2976
"LEBANON",1994,3464
"LESOTHO",1994,457
"LIBERIA",1994,85
