"iso","treecover_loss__ha","treecover_loss__year"
"ABW",0.225486960564255,2006
"AFG",152.084535920976,2006
"AGO",76940.426028697,2006
"AIA",1.31715659843634,2006
"ALA",100.144561592806,2006
"ALB",962.706292413987,2006
"AND",6.62454827116951,2006
"ARG",316447.228385683,2006
"ARM",129.749066650755,2006
"ATG",61.152115996856,2006
"AUS",186303.998247121,2006
"AUT",12583.533393478,2006
"AZE",525.201462694393,2006
"BDI",343.567625726133,2006
"BEL",6916.08424877007,2006
"BEN",1794.80449798094,2006
"BES",6.90050228866053,2006
"BFA",4.75707136457761,2006
"BGD",6862.82126297294,2006
"BGR",5171.12384083425,2006
"BHS",1015.7739443603,2006
"BIH",535.968834797003,2006
"BLR",42269.3527137339,2006
"BLZ",4269.73522438235,2006
"BMU",0.0653019817675744,2006
"BOL",216314.821529204,2006
"BRA",2876804.74696722,2006
"BRB",4.12233459845139,2006
"BRN",1013.51442523376,2006
"BTN",622.872883084122,2006
"BWA",40.1078440364217,2006
"CAF",57883.2209281447,2006
"CAN",2406190.73630211,2006
"CHE",2048.85049592551,2006
"CHL",91923.2393902674,2006
"CHN",575232.88703821,2006
"CIV",97780.6519948072,2006
"CMR",35986.0411076381,2006
"COD",453170.612811974,2006
"COG",22153.9381014949,2006
"COL",189963.601686662,2006
"COM",12.9636599297361,2006
"CPV",6.0242471335137,2006
"CRI",10059.4749626007,2006
"CUB",12305.0878221192,2006
"CUW",3.4606813635339,2006
"CYM",17.9594201277438,2006
"CYP",58.6032257399382,2006
"CZE",8606.6872544231,2006
"DEU",42652.88486882,2006
"DMA",25.3827016241179,2006
"DNK",5213.70671898548,2006
"DOM",13413.9153997295,2006
"DZA",5415.39407352854,2006
"ECU",35602.5967724026,2006
"EGY",38.1259103867408,2006
"ESP",72719.0773234088,2006
"EST",21731.7660731477,2006
"ETH",12075.9388634428,2006
"FIN",182294.821846626,2006
"FJI",1874.41880590614,2006
"FRA",55049.4743614353,2006
"GAB",19300.7615567386,2006
"GBR",21053.4779047227,2006
"GEO",531.353052568183,2006
"GGY",0.151252314318568,2006
"GHA",27136.10602604,2006
"GIN",15305.7241262662,2006
"GLP",62.2684562301064,2006
"GMB",6.29441537333129,2006
"GNB",2018.27363047608,2006
"GNQ",1255.61553886711,2006
"GRC",7345.97016976566,2006
"GRD",31.5320203936239,2006
"GTM",52558.4035637932,2006
"GUF",2534.9706897251,2006
"GUY",5933.77023800864,2006
"HKG",20.8184723516924,2006
"HND",41630.8620879951,2006
"HRV",2204.19890651427,2006
"HTI",1162.83978557025,2006
"HUN",7989.93471027246,2006
"IDN",1433150.23419092,2006
"IMN",26.2444750327816,2006
"IND",67410.508083515,2006
"IRL",5248.27546248752,2006
"IRN",140.788850764806,2006
"IRQ",6.24004359795137,2006
"ISR",132.227680380657,2006
"ITA",8901.86535219736,2006
"JAM",2797.68366767852,2006
"JEY",0.202687905835492,2006
"JOR",0.783579141562455,2006
"JPN",38974.4538281541,2006
"KAZ",3142.03763378839,2006
"KEN",20656.4387829323,2006
"KGZ",110.58315986918,2006
"KHM",80507.1954011319,2006
"KNA",20.4544453014206,2006
"KOR",10148.4952144398,2006
"LAO",122677.879883547,2006
"LBN",148.817904948261,2006
"LBR",36221.2429809221,2006
"LBY",16.3024655117947,2006
"LCA",98.1169523385837,2006
"LIE",11.5981053679836,2006
"LKA",7730.47343640956,2006
"LSO",2.42562026556665,2006
"LTU",17449.7268705919,2006
"LUX",365.988804221266,2006
"LVA",38893.503253503,2006
"MAC",3.49832494029159,2006
"MAF",2.63631961087876,2006
"MAR",2221.77691956215,2006
"MDA",173.201520998057,2006
"MDG",71034.0376564263,2006
"MDV",3.90637808132366,2006
"MEX",179043.665935859,2006
"MKD",2042.13259678777,2006
"MLI",103.708936586203,2006
"MLT",0.625885312990451,2006
"MMR",127464.141501559,2006
"MNE",175.546173954137,2006
"MNG",13249.2144460737,2006
"MOZ",172223.897489359,2006
"MSR",12.6126045822292,2006
"MTQ",91.1782327816228,2006
"MUS",142.487422327392,2006
"MWI",5563.04899639782,2006
"MYS",333901.394939241,2006
"MYT",41.5867527368335,2006
"NAM",17.0409967190041,2006
"NCL",2134.53256070194,2006
"NGA",26167.5579502389,2006
"NIC",38875.4582038386,2006
"NLD",1482.34728090415,2006
"NOR",40648.512858672,2006
"NPL",3255.0100289311,2006
"NZL",61671.6571071807,2006
"PAK",1345.32010966287,2006
"PAN",34322.7115728978,2006
"PER",88915.884436926,2006
"PHL",57428.5250483953,2006
"PLW",34.8671396891611,2006
"PNG",56388.4053013574,2006
"POL",37680.3370941406,2006
"PRI",1242.99838644735,2006
"PRK",12580.2514271044,2006
"PRT",42566.30062331,2006
"PRY",148256.361005131,2006
"PSE",0.723415528401689,2006
"REU",628.896487642215,2006
"ROU",13066.5192306675,2006
"RUS",2233420.25487914,2006
"RWA",745.53289974645,2006
"SDN",4.1506645137648,2006
"SEN",41.2482558462435,2006
"SGP",56.068065041954,2006
"SLB",5068.41963996713,2006
"SLE",28525.9283956541,2006
"SLV",4604.31479461593,2006
"SOM",118.516696854032,2006
"SRB",1891.22304929492,2006
"SSD",8963.29812311635,2006
"SUR",3404.3502155139,2006
"SVK",8022.86691063709,2006
"SVN",1246.11894832245,2006
"SWE",249126.080102923,2006
"SWZ",9431.39999547424,2006
"SXM",2.27071644573338,2006
"SYC",0.151818216602639,2006
"SYR",280.751557340436,2006
"TCA",4.57794586606252,2006
"TCD",2981.8970090695,2006
"TGO",1687.80643043254,2006
"THA",99820.5796334391,2006
"TJK",19.4330766370597,2006
"TKM",13.6291528263606,2006
"TLS",2929.0921986488,2006
"TTO",1755.82523587483,2006
"TUN",353.735251646637,2006
"TUR",25884.8238122036,2006
"TWN",2076.72250226376,2006
"TZA",85295.844193669,2006
"UGA",28448.198025603,2006
"UKR",42130.1087295951,2006
"UMI",0.0730947752636677,2006
"URY",21029.2793985665,2006
"USA",2605855.55439367,2006
"UZB",53.0796752854498,2006
"VCT",10.4941067633325,2006
"VEN",85490.7585376819,2006
"VGB",2.7771190889202,2006
"VIR",73.8059374027581,2006
"VNM",78777.1925267682,2006
"VUT",219.121386769909,2006
"XAD",2.09775733148643,2006
"XCA",8.97092192889351,2006
"XKO",519.987044479937,2006
"XNC",15.8938712444362,2006
"ZAF",104943.270667322,2006
"ZMB",40500.9011954036,2006
"ZWE",14883.2767942028,2006
