"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1969,257
"ALBANIA",1969,885
"ALGERIA",1969,3075
"ANGOLA",1969,760
"ANTIGUA & BARBUDA",1969,343
"ARGENTINA",1969,21088
"AUSTRALIA",1969,38794
"AUSTRIA",1969,12188
"BAHAMAS",1969,476
"BAHRAIN",1969,347
"BARBADOS",1969,131
"BELGIUM",1969,33711
"BELIZE",1969,37
"BENIN",1969,55
"BERMUDA",1969,54
"BRAZIL",1969,22993
"BRITISH VIRGIN ISLANDS",1969,5
"BRUNEI (DARUSSALAM)",1969,133
"BULGARIA",1969,18101
"BURKINA FASO",1969,33
"BURUNDI",1969,20
"CAMBODIA",1969,367
"CANADA",1969,83829
"CAPE VERDE",1969,10
"CAYMAN ISLANDS",1969,12
"CENTRAL AFRICAN REPUBLIC",1969,51
"CHAD",1969,44
"CHILE",1969,6151
"CHINA (MAINLAND)",1969,157414
"COLOMBIA",1969,7649
"COMOROS",1969,5
"CONGO",1969,137
"COOK ISLANDS",1969,3
"COSTA RICA",1969,313
"COTE D IVOIRE",1969,569
"CUBA",1969,4707
"CYPRUS",1969,456
"CZECHOSLOVAKIA",1969,48523
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1969,17492
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1969,996
"DEMOCRATIC REPUBLIC OF VIETNAM",1969,2321
"DENMARK",1969,16199
"DJIBOUTI",1969,23
"DOMINICA",1969,5
"DOMINICAN REPUBLIC",1969,724
"EAST & WEST PAKISTAN",1969,6543
"ECUADOR",1969,980
"EGYPT",1969,5371
"EL SALVADOR",1969,325
"EQUATORIAL GUINEA",1969,12
"ETHIOPIA",1969,455
"FAEROE ISLANDS",1969,58
"FEDERAL REPUBLIC OF GERMANY",1969,199457
"FIJI",1969,118
"FINLAND",1969,10345
"FORMER DEMOCRATIC YEMEN",1969,1239
"FORMER GERMAN DEMOCRATIC REPUBLIC",1969,87708
"FORMER PANAMA CANAL ZONE",1969,91
"FORMER YEMEN",1969,37
"FRANCE (INCLUDING MONACO)",1969,112697
"FRENCH GUIANA",1969,23
"FRENCH POLYNESIA",1969,44
"GABON",1969,391
"GAMBIA",1969,13
"GHANA",1969,461
"GIBRALTAR",1969,18
"GREECE",1969,6947
"GREENLAND",1969,111
"GRENADA",1969,13
"GUADELOUPE",1969,85
"GUATEMALA",1969,622
"GUINEA",1969,204
"GUINEA BISSAU",1969,16
"GUYANA",1969,373
"HAITI",1969,86
"HONDURAS",1969,321
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1969,2116
"HUNGARY",1969,17022
"ICELAND",1969,345
"INDIA",1969,52011
"INDONESIA",1969,9106
"IRAQ",1969,6170
"IRELAND",1969,5049
"ISLAMIC REPUBLIC OF IRAN",1969,22666
"ISRAEL",1969,4041
"ITALY (INCLUDING SAN MARINO)",1969,73632
"JAMAICA",1969,1165
"JAPAN",1969,178336
"JORDAN",1969,480
"KENYA",1969,854
"KIRIBATI",1969,3
"KUWAIT",1969,7317
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1969,87
"LEBANON",1969,1187
"LIBERIA",1969,347
"LIBYAN ARAB JAMAHIRIYAH",1969,9695
"LUXEMBOURG",1969,3598
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1969,46
"MADAGASCAR",1969,232
"MALAWI",1969,104
"MALI",1969,44
"MALTA",1969,178
"MARTINIQUE",1969,90
"MAURITANIA",1969,75
"MAURITIUS",1969,156
"MEXICO",1969,27894
"MONGOLIA",1969,732
"MONTSERRAT",1969,2
"MOROCCO",1969,1589
"MOZAMBIQUE",1969,884
