"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1985,957
"ALBANIA",1985,2149
"ALGERIA",1985,19849
"ANGOLA",1985,1282
"ANTIGUA & BARBUDA",1985,68
"ARGENTINA",1985,27433
"AUSTRALIA",1985,65784
"AUSTRIA",1985,14917
"BAHAMAS",1985,412
"BAHRAIN",1985,2780
"BANGLADESH",1985,2791
"BARBADOS",1985,231
"BELGIUM",1985,28490
"BELIZE",1985,52
"BENIN",1985,203
"BERMUDA",1985,123
"BHUTAN",1985,17
"BOTSWANA",1985,316
"BRAZIL",1985,49427
"BRITISH VIRGIN ISLANDS",1985,13
"BRUNEI (DARUSSALAM)",1985,708
"BULGARIA",1985,24418
"BURKINA FASO",1985,130
"BURUNDI",1985,63
"CAMBODIA",1985,114
"CANADA",1985,115102
"CAPE VERDE",1985,23
"CAYMAN ISLANDS",1985,52
"CENTRAL AFRICAN REPUBLIC",1985,44
"CHAD",1985,49
"CHILE",1985,5864
"CHINA (MAINLAND)",1985,536284
"COLOMBIA",1985,13193
"COMOROS",1985,13
"CONGO",1985,349
"COOK ISLANDS",1985,6
"COSTA RICA",1985,618
"COTE D IVOIRE",1985,1998
"CUBA",1985,8884
"CYPRUS",1985,846
"CZECHOSLOVAKIA",1985,66768
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1985,39514
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1985,993
"DENMARK",1985,16382
"DJIBOUTI",1985,98
"DOMINICA",1985,13
"DOMINICAN REPUBLIC",1985,1989
"ECUADOR",1985,5299
"EGYPT",1985,17436
"EL SALVADOR",1985,542
"EQUATORIAL GUINEA",1985,18
"ETHIOPIA",1985,495
"FAEROE ISLANDS",1985,141
"FALKLAND ISLANDS (MALVINAS)",1985,8
"FEDERAL REPUBLIC OF GERMANY",1985,192459
"FIJI",1985,158
"FINLAND",1985,13544
"FORMER DEMOCRATIC YEMEN",1985,1500
"FORMER GERMAN DEMOCRATIC REPUBLIC",1985,93226
"FORMER YEMEN",1985,861
"FRANCE (INCLUDING MONACO)",1985,109321
"FRENCH GUIANA",1985,100
"FRENCH POLYNESIA",1985,160
"GABON",1985,1723
"GAMBIA",1985,47
"GHANA",1985,907
"GIBRALTAR",1985,12
"GREECE",1985,16526
"GREENLAND",1985,139
"GRENADA",1985,17
"GUADELOUPE",1985,243
"GUATEMALA",1985,961
"GUINEA",1985,271
"GUINEA BISSAU",1985,47
"GUYANA",1985,387
"HAITI",1985,257
"HONDURAS",1985,520
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1985,6276
"HUNGARY",1985,23481
"ICELAND",1985,444
"INDIA",1985,116355
"INDONESIA",1985,33064
"IRAQ",1985,12183
"IRELAND",1985,7288
"ISLAMIC REPUBLIC OF IRAN",1985,43842
"ISRAEL",1985,6782
"ITALY (INCLUDING SAN MARINO)",1985,101482
"JAMAICA",1985,1376
"JAPAN",1985,249631
"JORDAN",1985,2329
"KENYA",1985,1028
"KIRIBATI",1985,6
"KUWAIT",1985,7952
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1985,55
"LEBANON",1985,2197
"LIBERIA",1985,197
"LIBYAN ARAB JAMAHIRIYAH",1985,8568
"LUXEMBOURG",1985,2500
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1985,200
"MADAGASCAR",1985,288
"MALAWI",1985,152
"MALAYSIA",1985,9882
"MALDIVES",1985,18
"MALI",1985,111
"MALTA",1985,327
"MARTINIQUE",1985,330
"MAURITANIA",1985,179
"MAURITIUS",1985,193
"MEXICO",1985,78675
"MONGOLIA",1985,2462
"MONTSERRAT",1985,7
"MOROCCO",1985,4872
"MOZAMBIQUE",1985,313
"MYANMAR (FORMERLY BURMA)",1985,1830
"NAURU",1985,34
"NEPAL",1985,185
"NETHERLAND ANTILLES AND ARUBA",1985,4580
"NETHERLANDS",1985,40346
"NEW CALEDONIA",1985,397
"NEW ZEALAND",1985,5946
"NICARAGUA",1985,543
"NIGER",1985,272
"NIGERIA",1985,19060
"NIUE",1985,1
"NORWAY",1985,11103
"OMAN",1985,2362
"PACIFIC ISLANDS (PALAU)",1985,44
"PAKISTAN",1985,12865
"PANAMA",1985,717
"PAPUA NEW GUINEA",1985,580
"PARAGUAY",1985,423
"PERU",1985,5321
"PHILIPPINES",1985,7649
"PLURINATIONAL STATE OF BOLIVIA",1985,1125
"POLAND",1985,121598
"PORTUGAL",1985,7474
"QATAR",1985,3383
"REPUBLIC OF CAMEROON",1985,1766
"REPUBLIC OF KOREA",1985,48632
"REUNION",1985,271
"ROMANIA",1985,52998
"RWANDA",1985,168
"SAINT HELENA",1985,1
"SAINT LUCIA",1985,35
"SAMOA",1985,31
"SAO TOME & PRINCIPE",1985,15
"SAUDI ARABIA",1985,47083
"SENEGAL",1985,730
"SEYCHELLES",1985,41
"SIERRA LEONE",1985,181
"SINGAPORE",1985,9113
"SOLOMON ISLANDS",1985,41
"SOMALIA",1985,234
"SOUTH AFRICA",1985,88414
"SPAIN",1985,54877
"SRI LANKA",1985,1079
"ST. KITTS-NEVIS",1985,14
"ST. PIERRE & MIQUELON",1985,9
"ST. VINCENT & THE GRENADINES",1985,18
"SUDAN",1985,1111
"SURINAME",1985,436
"SWAZILAND",1985,120
"SWEDEN",1985,17015
"SWITZERLAND",1985,10861
"SYRIAN ARAB REPUBLIC",1985,8086
"TAIWAN",1985,23147
"THAILAND",1985,13273
"TOGO",1985,150
"TONGA",1985,13
"TRINIDAD AND TOBAGO",1985,5660
"TUNISIA",1985,3256
"TURKEY",1985,29102
"UGANDA",1985,169
"UNITED ARAB EMIRATES",1985,13615
"UNITED KINGDOM",1985,152674
"UNITED REPUBLIC OF TANZANIA",1985,643
"UNITED STATES OF AMERICA",1985,1225131
"URUGUAY",1985,899
"USSR",1985,1050447
"VANUATU",1985,33
"VENEZUELA",1985,27619
"VIET NAM",1985,5772
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1985,33943
"ZAMBIA",1985,751
"ZIMBABWE",1985,2799
