"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1993,367
"ALBANIA",1993,637
"ALGERIA",1993,22419
"ANDORRA",1993,112
"ANGOLA",1993,1575
"ANGUILLA",1993,18
"ANTARCTIC FISHERIES",1993,4
"ANTIGUA & BARBUDA",1993,74
"ARGENTINA",1993,32159
"ARMENIA",1993,697
"ARUBA",1993,435
"AUSTRALIA",1993,75647
"AUSTRIA",1993,15572
"AZERBAIJAN",1993,13213
"BAHAMAS",1993,464
"BAHRAIN",1993,3993
"BANGLADESH",1993,4747
"BARBADOS",1993,304
"BELARUS",1993,20935
"BELGIUM",1993,29357
"BELIZE",1993,103
"BENIN",1993,309
"BERMUDA",1993,147
"BHUTAN",1993,50
"BOSNIA & HERZEGOVINA",1993,3437
"BOTSWANA",1993,872
"BRAZIL",1993,62923
"BRITISH VIRGIN ISLANDS",1993,20
"BRUNEI (DARUSSALAM)",1993,1355
"BULGARIA",1993,18506
"BURKINA FASO",1993,171
"BURUNDI",1993,62
"CAMBODIA",1993,378
"CANADA",1993,121511
"CAPE VERDE",1993,30
"CAYMAN ISLANDS",1993,90
"CENTRAL AFRICAN REPUBLIC",1993,61
"CHAD",1993,25
"CHILE",1993,9443
"CHINA (MAINLAND)",1993,785027
"COLOMBIA",1993,17459
"COMOROS",1993,19
"CONGO",1993,360
"COOK ISLANDS",1993,11
"COSTA RICA",1993,1078
"COTE D IVOIRE",1993,1458
"CROATIA",1993,4568
"CUBA",1993,8012
"CYPRUS",1993,1486
"CZECH REPUBLIC",1993,36169
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1993,26320
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1993,707
"DENMARK",1993,15562
"DJIBOUTI",1993,85
"DOMINICA",1993,17
"DOMINICAN REPUBLIC",1993,3208
"ECUADOR",1993,6601
"EGYPT",1993,25404
"EL SALVADOR",1993,1035
"EQUATORIAL GUINEA",1993,27
"ESTONIA",1993,5320
"ETHIOPIA",1993,826
"FAEROE ISLANDS",1993,159
"FALKLAND ISLANDS (MALVINAS)",1993,11
"FEDERATED STATES OF MICRONESIA",1993,27
"FIJI",1993,205
"FINLAND",1993,13745
"FRANCE (INCLUDING MONACO)",1993,98150
"FRENCH GUIANA",1993,191
"FRENCH POLYNESIA",1993,116
"GABON",1993,1361
"GAMBIA",1993,51
"GEORGIA",1993,2714
"GERMANY",1993,239336
"GHANA",1993,1240
"GIBRALTAR",1993,65
"GREECE",1993,20647
"GREENLAND",1993,136
"GRENADA",1993,33
"GUADELOUPE",1993,375
"GUATEMALA",1993,1543
"GUINEA",1993,297
"GUINEA BISSAU",1993,50
"GUYANA",1993,285
"HAITI",1993,181
"HONDURAS",1993,777
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1993,9535
"HUNGARY",1993,16885
"ICELAND",1993,539
"INDIA",1993,197354
"INDONESIA",1993,59613
"IRAQ",1993,17279
"IRELAND",1993,8525
"ISLAMIC REPUBLIC OF IRAN",1993,64689
"ISRAEL",1993,12292
"ITALY (INCLUDING SAN MARINO)",1993,112331
"JAMAICA",1993,2183
"JAPAN",1993,302669
"JORDAN",1993,3300
"KAZAKHSTAN",1993,59346
"KENYA",1993,1731
"KIRIBATI",1993,8
"KUWAIT",1993,9074
"KYRGYZSTAN",1993,2351
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1993,70
"LATVIA",1993,3277
"LEBANON",1993,3186
"LESOTHO",1993,446
"LIBERIA",1993,86
"LIBYAN ARAB JAMAHIRIYAH",1993,10621
"LITHUANIA",1993,4771
"LUXEMBOURG",1993,2942
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1993,322
"MACEDONIA",1993,2820
"MADAGASCAR",1993,281
