"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1971,517
"ALBANIA",1971,1187
"ALGERIA",1971,5091
"ANGOLA",1971,930
"ANTIGUA & BARBUDA",1971,116
"ARGENTINA",1971,24254
"AUSTRALIA",1971,41662
"AUSTRIA",1971,14223
"BAHAMAS",1971,1836
"BAHRAIN",1971,829
"BARBADOS",1971,132
"BELGIUM",1971,33141
"BELIZE",1971,39
"BENIN",1971,80
"BERMUDA",1971,63
"BHUTAN",1971,1
"BRAZIL",1971,27989
"BRITISH VIRGIN ISLANDS",1971,6
"BRUNEI (DARUSSALAM)",1971,2050
"BULGARIA",1971,17535
"BURKINA FASO",1971,41
"BURUNDI",1971,20
"CAMBODIA",1971,68
"CANADA",1971,96157
"CAPE VERDE",1971,10
"CAYMAN ISLANDS",1971,12
"CENTRAL AFRICAN REPUBLIC",1971,50
"CHAD",1971,41
"CHILE",1971,7389
"CHINA (MAINLAND)",1971,239060
"CHRISTMAS ISLAND",1971,23
"COLOMBIA",1971,8270
"COMOROS",1971,8
"CONGO",1971,187
"COOK ISLANDS",1971,3
"COSTA RICA",1971,417
"COTE D IVOIRE",1971,738
"CUBA",1971,5347
"CYPRUS",1971,514
"CZECHOSLOVAKIA",1971,58367
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1971,29332
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1971,808
"DENMARK",1971,15561
"DJIBOUTI",1971,44
"DOMINICA",1971,7
"DOMINICAN REPUBLIC",1971,961
"EAST & WEST PAKISTAN",1971,6293
"ECUADOR",1971,1152
"EGYPT",1971,6285
"EL SALVADOR",1971,412
"EQUATORIAL GUINEA",1971,18
"ETHIOPIA",1971,505
"FAEROE ISLANDS",1971,71
"FALKLAND ISLANDS (MALVINAS)",1971,3
"FEDERAL REPUBLIC OF GERMANY",1971,205511
"FIJI",1971,150
"FINLAND",1971,11067
"FORMER DEMOCRATIC YEMEN",1971,479
"FORMER GERMAN DEMOCRATIC REPUBLIC",1971,77692
"FORMER PANAMA CANAL ZONE",1971,131
"FORMER YEMEN",1971,59
"FRANCE (INCLUDING MONACO)",1971,126107
"FRENCH GUIANA",1971,28
"FRENCH POLYNESIA",1971,62
"GABON",1971,776
"GAMBIA",1971,15
"GHANA",1971,626
"GIBRALTAR",1971,22
"GREECE",1971,7585
"GREENLAND",1971,128
"GRENADA",1971,13
"GUADELOUPE",1971,93
"GUATEMALA",1971,666
"GUINEA",1971,222
"GUINEA BISSAU",1971,20
"GUYANA",1971,409
"HAITI",1971,110
"HONDURAS",1971,363
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1971,2498
"HUNGARY",1971,18893
"ICELAND",1971,402
"INDIA",1971,56141
"INDONESIA",1971,10632
"IRAQ",1971,7871
"IRELAND",1971,6135
"ISLAMIC REPUBLIC OF IRAN",1971,27740
"ISRAEL",1971,4431
"ITALY (INCLUDING SAN MARINO)",1971,84971
"JAMAICA",1971,1569
"JAPAN",1971,217492
"JORDAN",1971,452
"KENYA",1971,1005
"KIRIBATI",1971,8
"KUWAIT",1971,7401
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1971,115
"LEBANON",1971,1456
"LIBERIA",1971,416
"LIBYAN ARAB JAMAHIRIYAH",1971,5903
"LUXEMBOURG",1971,3600
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1971,62
"MADAGASCAR",1971,280
"MALAWI",1971,137
"MALAYSIA",1971,4548
"MALDIVES",1971,1
"MALI",1971,62
"MALTA",1971,180
"MARTINIQUE",1971,146
"MAURITANIA",1971,109
"MAURITIUS",1971,108
"MEXICO",1971,34453
"MONGOLIA",1971,828
"MONTSERRAT",1971,4
"MOROCCO",1971,2237
"MOZAMBIQUE",1971,986
"MYANMAR (FORMERLY BURMA)",1971,1392
"NAURU",1971,24
"NEPAL",1971,54
"NETHERLAND ANTILLES AND ARUBA",1971,3953
"NETHERLANDS",1971,38417
"NEW CALEDONIA",1971,660
"NEW ZEALAND",1971,4107
"NICARAGUA",1971,411
"NIGER",1971,63
"NIGERIA",1971,8803
"NIUE",1971,1
"NORWAY",1971,7417
"OMAN",1971,571
"PACIFIC ISLANDS (PALAU)",1971,45
"PANAMA",1971,710
"PAPUA NEW GUINEA",1971,225
"PARAGUAY",1971,173
"PERU",1971,5076
"PHILIPPINES",1971,7523
"PLURINATIONAL STATE OF BOLIVIA",1971,835
"POLAND",1971,85423
"PORTUGAL",1971,4474
"QATAR",1971,2496
"REPUBLIC OF CAMEROON",1971,221
"REPUBLIC OF KOREA",1971,15985
"REUNION",1971,90
"ROMANIA",1971,34314
"RWANDA",1971,17
"RYUKYU ISLANDS",1971,881
"SAINT LUCIA",1971,19
"SAMOA",1971,10
"SAO TOME & PRINCIPE",1971,3
"SAUDI ARABIA",1971,16310
"SENEGAL",1971,369
"SEYCHELLES",1971,9
"SIERRA LEONE",1971,219
"SINGAPORE",1971,4525
"SOLOMON ISLANDS",1971,13
"SOMALIA",1971,51
"SOUTH AFRICA",1971,45969
"SPAIN",1971,35092
"SRI LANKA",1971,872
"ST. KITTS-NEVIS-ANGUILLA",1971,8
"ST. PIERRE & MIQUELON",1971,13
"ST. VINCENT & THE GRENADINES",1971,8
"SUDAN",1971,1359
"SURINAME",1971,468
"SWAZILAND",1971,109
"SWEDEN",1971,23068
"SWITZERLAND",1971,11438
"SYRIAN ARAB REPUBLIC",1971,2423
"TAIWAN",1971,8596
"THAILAND",1971,5249
"TOGO",1971,86
"TONGA",1971,5
"TRINIDAD AND TOBAGO",1971,2210
"TUNISIA",1971,1149
