"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1966,298
"ALBANIA",1966,696
"ALGERIA",1966,2299
"ANGOLA",1966,424
"ANTIGUA & BARBUDA",1966,95
"ARGENTINA",1966,17218
"AUSTRALIA",1966,32815
"AUSTRIA",1966,10706
"BAHAMAS",1966,298
"BAHRAIN",1966,177
"BARBADOS",1966,73
"BELGIUM",1966,28690
"BELIZE",1966,22
"BENIN",1966,31
"BERMUDA",1966,55
"BRAZIL",1966,17536
"BRITISH VIRGIN ISLANDS",1966,3
"BRUNEI (DARUSSALAM)",1966,134
"BULGARIA",1966,13299
"BURKINA FASO",1966,28
"BURUNDI",1966,13
"CAMBODIA",1966,128
"CANADA",1966,70717
"CAPE VERDE",1966,6
"CAYMAN ISLANDS",1966,5
"CENTRAL AFRICAN REPUBLIC",1966,23
"CHAD",1966,23
"CHILE",1966,5125
"CHINA (MAINLAND)",1966,142566
"COLOMBIA",1966,6409
"COMOROS",1966,5
"CONGO",1966,84
"COSTA RICA",1966,271
"COTE D IVOIRE",1966,353
"CUBA",1966,4141
"CYPRUS",1966,339
"CZECHOSLOVAKIA",1966,43778
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1966,12994
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1966,656
"DEMOCRATIC REPUBLIC OF VIETNAM",1966,2395
"DENMARK",1966,13670
"DJIBOUTI",1966,38
"DOMINICA",1966,4
"DOMINICAN REPUBLIC",1966,456
"EAST & WEST PAKISTAN",1966,5543
"ECUADOR",1966,660
"EGYPT",1966,7244
"EL SALVADOR",1966,356
"EQUATORIAL GUINEA",1966,7
"ETHIOPIA",1966,225
"FAEROE ISLANDS",1966,38
"FALKLAND ISLANDS (MALVINAS)",1966,3
"FEDERAL REPUBLIC OF GERMANY",1966,174573
"FIJI",1966,88
"FINLAND",1966,8050
"FORMER DEMOCRATIC YEMEN",1966,918
"FORMER GERMAN DEMOCRATIC REPUBLIC",1966,85140
"FORMER PANAMA CANAL ZONE",1966,123
"FORMER YEMEN",1966,27
"FRANCE (INCLUDING MONACO)",1966,94692
"FRENCH GUIANA",1966,12
"FRENCH POLYNESIA",1966,33
"GABON",1966,104
"GAMBIA",1966,9
"GHANA",1966,393
"GIBRALTAR",1966,15
"GREECE",1966,5086
"GREENLAND",1966,106
"GRENADA",1966,8
"GUADELOUPE",1966,69
"GUATEMALA",1966,475
"GUINEA",1966,196
"GUINEA BISSAU",1966,18
"GUYANA",1966,322
"HAITI",1966,83
"HONDURAS",1966,220
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1966,1409
"HUNGARY",1966,16835
"ICELAND",1966,408
"INDIA",1966,46841
"INDONESIA",1966,6380
"IRAQ",1966,7555
"IRELAND",1966,4121
"ISLAMIC REPUBLIC OF IRAN",1966,17497
"ISRAEL",1966,3708
"ITALY (INCLUDING SAN MARINO)",1966,58426
"JAMAICA",1966,960
"JAPAN",1966,114465
"JORDAN",1966,432
"KENYA",1966,732
"KIRIBATI",1966,3
"KUWAIT",1966,9586
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1966,64
"LEBANON",1966,990
"LIBERIA",1966,167
"LIBYAN ARAB JAMAHIRIYAH",1966,717
"LUXEMBOURG",1966,3169
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1966,41
"MADAGASCAR",1966,158
"MALAWI",1966,117
"MALI",1966,52
"MALTA",1966,113
"MARTINIQUE",1966,74
"MAURITANIA",1966,49
"MAURITIUS",1966,75
"MEXICO",1966,22070
"MONGOLIA",1966,533
"MONTSERRAT",1966,2
"MOROCCO",1966,1491
"MOZAMBIQUE",1966,580
"MYANMAR (FORMERLY BURMA)",1966,766
"NAURU",1966,9
"NEPAL",1966,52
