"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2006,450
"ALBANIA",2006,1063
"ALGERIA",2006,27562
"ANDORRA",2006,149
"ANGOLA",2006,6072
"ANGUILLA",2006,39
"ANTARCTIC FISHERIES",2006,2
"ANTIGUA & BARBUDA",2006,121
"ARGENTINA",2006,47842
"ARMENIA",2006,1195
"ARUBA",2006,741
"AUSTRALIA",2006,99631
"AUSTRIA",2006,19679
"AZERBAIJAN",2006,10681
"BAHAMAS",2006,454
"BAHRAIN",2006,5135
"BANGLADESH",2006,11874
"BARBADOS",2006,374
"BELARUS",2006,16927
"BELGIUM",2006,29199
"BELIZE",2006,121
"BENIN",2006,1056
"BERMUDA",2006,178
"BHUTAN",2006,107
"BOSNIA & HERZEGOVINA",2006,4790
"BOTSWANA",2006,1128
"BRAZIL",2006,94810
"BRITISH VIRGIN ISLANDS",2006,39
"BRUNEI (DARUSSALAM)",2006,1326
"BULGARIA",2006,13360
"BURKINA FASO",2006,371
"BURUNDI",2006,51
"CAMBODIA",2006,818
"CANADA",2006,148301
"CAPE VERDE",2006,129
"CAYMAN ISLANDS",2006,132
"CENTRAL AFRICAN REPUBLIC",2006,68
"CHAD",2006,111
"CHILE",2006,17675
"CHINA (MAINLAND)",2006,1780554
"COLOMBIA",2006,17164
"COMOROS",2006,44
"CONGO",2006,305
"COOK ISLANDS",2006,18
"COSTA RICA",2006,1936
"COTE D IVOIRE",2006,1908
"CROATIA",2006,6165
"CUBA",2006,7474
"CYPRUS",2006,2124
"CZECH REPUBLIC",2006,33299
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2006,20971
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2006,439
"DENMARK",2006,14995
"DJIBOUTI",2006,112
"DOMINICA",2006,31
"DOMINICAN REPUBLIC",2006,5395
"ECUADOR",2006,7870
"EGYPT",2006,48701
"EL SALVADOR",2006,1867
"EQUATORIAL GUINEA",2006,1297
"ERITREA",2006,153
"ESTONIA",2006,4411
"ETHIOPIA",2006,1501
"FAEROE ISLANDS",2006,185
"FALKLAND ISLANDS (MALVINAS)",2006,16
"FEDERATED STATES OF MICRONESIA",2006,33
"FIJI",2006,332
"FINLAND",2006,18053
"FRANCE (INCLUDING MONACO)",2006,102472
"FRENCH GUIANA",2006,129
"FRENCH POLYNESIA",2006,225
"GABON",2006,1138
"GAMBIA",2006,84
"GEORGIA",2006,1677
"GERMANY",2006,222654
"GHANA",2006,2552
"GIBRALTAR",2006,114
"GREECE",2006,26530
"GREENLAND",2006,171
"GRENADA",2006,63
"GUADELOUPE",2006,588
"GUATEMALA",2006,3449
"GUINEA",2006,516
"GUINEA BISSAU",2006,59
"GUYANA",2006,352
"HAITI",2006,576
"HONDURAS",2006,1911
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2006,11469
"HUNGARY",2006,15650
"ICELAND",2006,627
"INDIA",2006,355527
"INDONESIA",2006,94115
"IRAQ",2006,26935
"IRELAND",2006,11770
"ISLAMIC REPUBLIC OF IRAN",2006,138898
"ISRAEL",2006,17036
"ITALY (INCLUDING SAN MARINO)",2006,127992
"JAMAICA",2006,3135
"JAPAN",2006,335832
"JORDAN",2006,5760
"KAZAKHSTAN",2006,52531
"KENYA",2006,2611
"KIRIBATI",2006,19
"KUWAIT",2006,20117
"KYRGYZSTAN",2006,1502
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2006,423
"LATVIA",2006,2185
"LEBANON",2006,3943
"LESOTHO",2006,556
"LIBERIA",2006,204
"LIBYAN ARAB JAMAHIRIYAH",2006,14527
"LITHUANIA",2006,3861
"LUXEMBOURG",2006,3095
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2006,442
"MACEDONIA",2006,2983
"MADAGASCAR",2006,459
"MALAWI",2006,249
"MALAYSIA",2006,45733
"MALDIVES",2006,207
"MALI",2006,257
"MALTA",2006,702
"MARSHALL ISLANDS",2006,25
"MARTINIQUE",2006,580
"MAURITANIA",2006,439
"MAURITIUS",2006,990
"MEXICO",2006,130693
"MONGOLIA",2006,2562
"MONTENEGRO",2006,650
"MONTSERRAT",2006,10
"MOROCCO",2006,12933
