"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1983,688
"ALBANIA",1983,2081
"ALGERIA",1983,14351
"ANGOLA",1983,1395
"ANTIGUA & BARBUDA",1983,23
"ARGENTINA",1983,28692
"AUSTRALIA",1983,61359
"AUSTRIA",1983,14176
"BAHAMAS",1983,550
"BAHRAIN",1983,2244
"BANGLADESH",1983,2246
"BARBADOS",1983,187
"BELGIUM",1983,27715
"BELIZE",1983,47
"BENIN",1983,124
"BERMUDA",1983,123
"BHUTAN",1983,8
"BOTSWANA",1983,281
"BRAZIL",1983,45441
"BRITISH VIRGIN ISLANDS",1983,11
"BRUNEI (DARUSSALAM)",1983,738
"BULGARIA",1983,24643
"BURKINA FASO",1983,162
"BURUNDI",1983,56
"CAMBODIA",1983,100
"CANADA",1983,111450
"CAPE VERDE",1983,10
"CAYMAN ISLANDS",1983,46
"CENTRAL AFRICAN REPUBLIC",1983,40
"CHAD",1983,56
"CHILE",1983,5683
"CHINA (MAINLAND)",1983,454603
"CHRISTMAS ISLAND",1983,22
"COLOMBIA",1983,13485
"COMOROS",1983,13
"CONGO",1983,312
"COOK ISLANDS",1983,14
"COSTA RICA",1983,574
"COTE D IVOIRE",1983,1320
"CUBA",1983,8411
"CYPRUS",1983,845
"CZECHOSLOVAKIA",1983,65463
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1983,34270
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1983,1098
"DENMARK",1983,13683
"DJIBOUTI",1983,95
"DOMINICA",1983,11
"DOMINICAN REPUBLIC",1983,2158
"ECUADOR",1983,5333
"EGYPT",1983,15569
"EL SALVADOR",1983,519
"EQUATORIAL GUINEA",1983,17
"ETHIOPIA",1983,503
"FAEROE ISLANDS",1983,133
"FALKLAND ISLANDS (MALVINAS)",1983,6
"FEDERAL REPUBLIC OF GERMANY",1983,190549
"FIJI",1983,195
"FINLAND",1983,11338
"FORMER DEMOCRATIC YEMEN",1983,1047
"FORMER GERMAN DEMOCRATIC REPUBLIC",1983,86254
"FORMER YEMEN",1983,679
"FRANCE (INCLUDING MONACO)",1983,115245
"FRENCH GUIANA",1983,105
"FRENCH POLYNESIA",1983,115
"GABON",1983,1505
"GAMBIA",1983,44
"GHANA",1983,997
"GIBRALTAR",1983,10
"GREECE",1983,15147
"GREENLAND",1983,99
"GRENADA",1983,17
"GUADELOUPE",1983,222
"GUATEMALA",1983,867
"GUINEA",1983,260
"GUINEA BISSAU",1983,39
"GUYANA",1983,340
"HAITI",1983,244
"HONDURAS",1983,546
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1983,5731
"HUNGARY",1983,24308
"ICELAND",1983,422
"INDIA",1983,103264
"INDONESIA",1983,28622
"IRAQ",1983,10567
"IRELAND",1983,7011
"ISLAMIC REPUBLIC OF IRAN",1983,40847
"ISRAEL",1983,6528
"ITALY (INCLUDING SAN MARINO)",1983,98545
"JAMAICA",1983,1759
"JAPAN",1983,241025
"JORDAN",1983,2008
"KENYA",1983,1271
"KIRIBATI",1983,6
"KUWAIT",1983,5893
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1983,49
"LEBANON",1983,1996
"LIBERIA",1983,194
"LIBYAN ARAB JAMAHIRIYAH",1983,8294
"LUXEMBOURG",1983,2261
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1983,186
"MADAGASCAR",1983,178
"MALAWI",1983,157
"MALAYSIA",1983,10355
"MALDIVES",1983,14
"MALI",1983,114
"MALTA",1983,272
"MARTINIQUE",1983,280
"MAURITANIA",1983,256
"MAURITIUS",1983,163
"MEXICO",1983,75932
"MONGOLIA",1983,1908
"MONTSERRAT",1983,6
"MOROCCO",1983,4853
"MOZAMBIQUE",1983,539
"MYANMAR (FORMERLY BURMA)",1983,1575
"NAURU",1983,34
"NEPAL",1983,135
"NETHERLAND ANTILLES AND ARUBA",1983,1567
"NETHERLANDS",1983,37703
"NEW CALEDONIA",1983,315
"NEW ZEALAND",1983,4899
"NICARAGUA",1983,546
"NIGER",1983,263
"NIGERIA",1983,16343
"NIUE",1983,1
"NORWAY",1983,10226
"OMAN",1983,2054
"PACIFIC ISLANDS (PALAU)",1983,43
"PAKISTAN",1983,10991
"PANAMA",1983,953
"PAPUA NEW GUINEA",1983,548
"PARAGUAY",1983,386
"PERU",1983,5577
"PHILIPPINES",1983,9658
"PLURINATIONAL STATE OF BOLIVIA",1983,1170
"POLAND",1983,115173
"PORTUGAL",1983,8230
"QATAR",1983,3073
"REPUBLIC OF CAMEROON",1983,1797
"REPUBLIC OF KOREA",1983,41152
"REUNION",1983,246
"ROMANIA",1983,54694
"RWANDA",1983,190
"SAINT HELENA",1983,1
"SAINT LUCIA",1983,28
"SAMOA",1983,31
"SAO TOME & PRINCIPE",1983,15
"SAUDI ARABIA",1983,43919
"SENEGAL",1983,718
"SEYCHELLES",1983,27
"SIERRA LEONE",1983,188
"SINGAPORE",1983,9544
"SOLOMON ISLANDS",1983,39
"SOMALIA",1983,255
"SOUTH AFRICA",1983,79692
"SPAIN",1983,55868
"SRI LANKA",1983,1332
"ST. KITTS-NEVIS",1983,14
"ST. PIERRE & MIQUELON",1983,9
"ST. VINCENT & THE GRENADINES",1983,13
"SUDAN",1983,1066
"SURINAME",1983,375
"SWAZILAND",1983,74
"SWEDEN",1983,15898
"SWITZERLAND",1983,10927
"SYRIAN ARAB REPUBLIC",1983,7625
"TAIWAN",1983,22711
"THAILAND",1983,11577
"TOGO",1983,149
"TONGA",1983,13
"TRINIDAD AND TOBAGO",1983,4446
"TUNISIA",1983,3083
"TURKEY",1983,24691
"UGANDA",1983,168
"UNITED ARAB EMIRATES",1983,9638
"UNITED KINGDOM",1983,148825
"UNITED REPUBLIC OF TANZANIA",1983,605
"UNITED STATES OF AMERICA",1983,1184041
"URUGUAY",1983,1041
"USSR",1983,965326
"VANUATU",1983,15
"VENEZUELA",1983,25389
"VIET NAM",1983,5268
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1983,31553
"ZAMBIA",1983,892
"ZIMBABWE",1983,2853
