"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1974,523
"ALBANIA",1974,1185
"ALGERIA",1974,8701
"ANGOLA",1974,1329
"ANTIGUA & BARBUDA",1974,117
"ARGENTINA",1974,26062
"AUSTRALIA",1974,47002
"AUSTRIA",1974,15672
"BAHAMAS",1974,2015
"BAHRAIN",1974,1474
"BANGLADESH",1974,1271
"BARBADOS",1974,134
"BELGIUM",1974,36875
"BELIZE",1974,42
"BENIN",1974,111
"BERMUDA",1974,121
"BHUTAN",1974,1
"BOTSWANA",1974,24
"BRAZIL",1974,39121
"BRITISH VIRGIN ISLANDS",1974,7
"BRUNEI (DARUSSALAM)",1974,2232
"BULGARIA",1974,19433
"BURKINA FASO",1974,56
"BURUNDI",1974,25
"CAMBODIA",1974,20
"CANADA",1974,106346
"CAPE VERDE",1974,18
"CAYMAN ISLANDS",1974,15
"CENTRAL AFRICAN REPUBLIC",1974,31
"CHAD",1974,41
"CHILE",1974,7078
"CHINA (MAINLAND)",1974,269434
"CHRISTMAS ISLAND",1974,34
"COLOMBIA",1974,9948
"COMOROS",1974,8
"CONGO",1974,443
"COOK ISLANDS",1974,3
"COSTA RICA",1974,520
"COTE D IVOIRE",1974,971
"CUBA",1974,6248
"CYPRUS",1974,525
"CZECHOSLOVAKIA",1974,59858
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1974,27739
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1974,919
"DENMARK",1974,15020
"DJIBOUTI",1974,53
"DOMINICA",1974,8
"DOMINICAN REPUBLIC",1974,1750
"ECUADOR",1974,1661
"EGYPT",1974,7124
"EL SALVADOR",1974,538
"EQUATORIAL GUINEA",1974,14
"ETHIOPIA",1974,474
"FAEROE ISLANDS",1974,82
"FALKLAND ISLANDS (MALVINAS)",1974,4
"FEDERAL REPUBLIC OF GERMANY",1974,212052
"FIJI",1974,183
"FINLAND",1974,12730
"FORMER DEMOCRATIC YEMEN",1974,512
"FORMER GERMAN DEMOCRATIC REPUBLIC",1974,78267
"FORMER PANAMA CANAL ZONE",1974,227
"FORMER YEMEN",1974,101
"FRANCE (INCLUDING MONACO)",1974,136098
"FRENCH GUIANA",1974,28
"FRENCH POLYNESIA",1974,59
"GABON",1974,1487
"GAMBIA",1974,17
"GHANA",1974,801
"GIBRALTAR",1974,21
"GREECE",1974,9877
"GREENLAND",1974,152
"GRENADA",1974,10
"GUADELOUPE",1974,105
"GUATEMALA",1974,837
"GUINEA",1974,229
"GUINEA BISSAU",1974,28
"GUYANA",1974,424
"HAITI",1974,129
"HONDURAS",1974,425
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",1974,2912
"HUNGARY",1974,20208
"ICELAND",1974,475
"INDIA",1974,63265
"INDONESIA",1974,13979
"IRAQ",1974,8438
"IRELAND",1974,6355
"ISLAMIC REPUBLIC OF IRAN",1974,39245
"ISRAEL",1974,5303
"ITALY (INCLUDING SAN MARINO)",1974,98011
"JAMAICA",1974,2073
"JAPAN",1974,249761
"JORDAN",1974,608
"KENYA",1974,1350
"KIRIBATI",1974,9
"KUWAIT",1974,5271
"LAO PEOPLE S DEMOCRATIC REPUBLIC",1974,80
"LEBANON",1974,1972
"LIBERIA",1974,470
"LIBYAN ARAB JAMAHIRIYAH",1974,2549
"LUXEMBOURG",1974,3930
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",1974,73
"MADAGASCAR",1974,324
"MALAWI",1974,150
"MALAYSIA",1974,5195
"MALDIVES",1974,1
"MALI",1974,83
"MALTA",1974,203
"MARTINIQUE",1974,284
"MAURITANIA",1974,132
"MAURITIUS",1974,189
"MEXICO",1974,42271
"MONGOLIA",1974,1023
"MONTSERRAT",1974,4
"MOROCCO",1974,3037
"MOZAMBIQUE",1974,859
"MYANMAR (FORMERLY BURMA)",1974,1275
"NAURU",1974,27
"NEPAL",1974,116
"NETHERLAND ANTILLES AND ARUBA",1974,3854
"NETHERLANDS",1974,43754
"NEW CALEDONIA",1974,759
"NEW ZEALAND",1974,5115
"NICARAGUA",1974,532
"NIGER",1974,79
"NIGERIA",1974,16987
"NIUE",1974,1
"NORWAY",1974,7553
"OMAN",1974,637
"PACIFIC ISLANDS (PALAU)",1974,53
"PAKISTAN",1974,5841
"PANAMA",1974,824
"PAPUA NEW GUINEA",1974,433
"PARAGUAY",1974,260
"PERU",1974,5825
"PHILIPPINES",1974,8326
"PLURINATIONAL STATE OF BOLIVIA",1974,959
"POLAND",1974,94594
"PORTUGAL",1974,5649
"QATAR",1974,2860
"REPUBLIC OF CAMEROON",1974,266
"REPUBLIC OF KOREA",1974,20640
"REUNION",1974,116
"ROMANIA",1974,41163
"RWANDA",1974,20
"SAINT LUCIA",1974,20
"SAMOA",1974,9
"SAO TOME & PRINCIPE",1974,5
"SAUDI ARABIA",1974,26940
"SENEGAL",1974,505
"SEYCHELLES",1974,15
"SIERRA LEONE",1974,142
"SINGAPORE",1974,5991
"SOLOMON ISLANDS",1974,18
"SOMALIA",1974,90
"SOUTH AFRICA",1974,48196
"SPAIN",1974,47219
"SRI LANKA",1974,800
"ST. KITTS-NEVIS-ANGUILLA",1974,10
"ST. PIERRE & MIQUELON",1974,12
"ST. VINCENT & THE GRENADINES",1974,9
"SUDAN",1974,1550
"SURINAME",1974,437
"SWAZILAND",1974,85
"SWEDEN",1974,21786
"SWITZERLAND",1974,11312
"SYRIAN ARAB REPUBLIC",1974,2636
"TAIWAN",1974,10736
"THAILAND",1974,6612
"TOGO",1974,103
"TONGA",1974,6
"TRINIDAD AND TOBAGO",1974,2741
"TUNISIA",1974,1472
"TURKEY",1974,16672
"UGANDA",1974,326
"UNITED ARAB EMIRATES",1974,8543
"UNITED KINGDOM",1974,168423
"UNITED REPUBLIC OF TANZANIA",1974,629
"UNITED STATES OF AMERICA",1974,1254019
"URUGUAY",1974,1550
"USSR",1974,777718
"VANUATU",1974,17
"VENEZUELA",1974,20489
"VIET NAM",1974,5204
"YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)",1974,23412
"ZAMBIA",1974,1146
"ZIMBABWE",1974,2470
