"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2007,620
"ALBANIA",2007,1071
"ALGERIA",2007,29835
"ANDORRA",2007,147
"ANGOLA",2007,6859
"ANGUILLA",2007,41
"ANTARCTIC FISHERIES",2007,3
"ANTIGUA & BARBUDA",2007,128
"ARGENTINA",2007,47771
"ARMENIA",2007,1381
"ARUBA",2007,770
"AUSTRALIA",2007,101470
"AUSTRIA",2007,19017
"AZERBAIJAN",2007,8320
"BAHAMAS",2007,461
"BAHRAIN",2007,7321
"BANGLADESH",2007,12103
"BARBADOS",2007,372
"BELARUS",2007,16505
"BELGIUM",2007,28237
"BELIZE",2007,130
"BENIN",2007,1226
"BERMUDA",2007,199
"BHUTAN",2007,107
"BOSNIA & HERZEGOVINA",2007,4814
"BOTSWANA",2007,1154
"BRAZIL",2007,99049
"BRITISH VIRGIN ISLANDS",2007,41
"BRUNEI (DARUSSALAM)",2007,2295
"BULGARIA",2007,14250
"BURKINA FASO",2007,449
"BURUNDI",2007,51
"CAMBODIA",2007,945
"CANADA",2007,151174
"CAPE VERDE",2007,138
"CAYMAN ISLANDS",2007,156
"CENTRAL AFRICAN REPUBLIC",2007,69
"CHAD",2007,126
"CHILE",2007,19536
"CHINA (MAINLAND)",2007,1917316
"COLOMBIA",2007,17025
"COMOROS",2007,28
"CONGO",2007,331
"COOK ISLANDS",2007,18
"COSTA RICA",2007,2215
"COTE D IVOIRE",2007,1848
"CROATIA",2007,6498
"CUBA",2007,7307
"CYPRUS",2007,2235
"CZECH REPUBLIC",2007,33625
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2007,17515
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2007,479
"DENMARK",2007,13705
"DJIBOUTI",2007,126
"DOMINICA",2007,42
"DOMINICAN REPUBLIC",2007,5774
"ECUADOR",2007,8696
"EGYPT",2007,51566
"EL SALVADOR",2007,1903
"EQUATORIAL GUINEA",2007,1308
"ERITREA",2007,158
"ESTONIA",2007,5102
"ETHIOPIA",2007,1640
"FAEROE ISLANDS",2007,188
"FALKLAND ISLANDS (MALVINAS)",2007,16
"FEDERATED STATES OF MICRONESIA",2007,38
"FIJI",2007,316
"FINLAND",2007,17449
"FRANCE (INCLUDING MONACO)",2007,100666
"FRENCH GUIANA",2007,154
"FRENCH POLYNESIA",2007,223
"GABON",2007,1123
"GAMBIA",2007,96
"GEORGIA",2007,1751
"GERMANY",2007,212857
"GHANA",2007,2680
"GIBRALTAR",2007,113
"GREECE",2007,26792
"GREENLAND",2007,174
"GRENADA",2007,65
"GUADELOUPE",2007,636
"GUATEMALA",2007,3443
"GUINEA",2007,537
"GUINEA BISSAU",2007,63
"GUYANA",2007,426
"HAITI",2007,652
"HONDURAS",2007,2394
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2007,11923
"HUNGARY",2007,15281
"ICELAND",2007,630
"INDIA",2007,383858
"INDONESIA",2007,102412
"IRAQ",2007,16950
"IRELAND",2007,12173
"ISLAMIC REPUBLIC OF IRAN",2007,141621
"ISRAEL",2007,17200
"ITALY (INCLUDING SAN MARINO)",2007,126173
"JAMAICA",2007,2632
"JAPAN",2007,341486
"JORDAN",2007,6009
"KAZAKHSTAN",2007,60635
"KENYA",2007,2681
"KIRIBATI",2007,14
"KUWAIT",2007,20517
"KYRGYZSTAN",2007,1808
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2007,248
"LATVIA",2007,2268
"LEBANON",2007,3671
"LESOTHO",2007,566
"LIBERIA",2007,182
"LIBYAN ARAB JAMAHIRIYAH",2007,13624
"LIECHTENSTEIN",2007,17
"LITHUANIA",2007,4136
"LUXEMBOURG",2007,3005
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2007,419
"MACEDONIA",2007,2589
"MADAGASCAR",2007,495
"MALAWI",2007,242
"MALAYSIA",2007,50400
"MALDIVES",2007,213
"MALI",2007,275
"MALTA",2007,743
"MARSHALL ISLANDS",2007,27
"MARTINIQUE",2007,527
"MAURITANIA",2007,503
"MAURITIUS",2007,1006
"MEXICO",2007,131039
"MONGOLIA",2007,3290
"MONTENEGRO",2007,614
"MONTSERRAT",2007,11
"MOROCCO",2007,13708
"MOZAMBIQUE",2007,617
"MYANMAR (FORMERLY BURMA)",2007,3511
"NAMIBIA",2007,644
"NAURU",2007,12
"NEPAL",2007,713
"NETHERLAND ANTILLES",2007,1835
"NETHERLANDS",2007,48184
"NEW CALEDONIA",2007,803
"NEW ZEALAND",2007,9173
"NICARAGUA",2007,1256
"NIGER",2007,197
"NIGERIA",2007,25922
"NIUE",2007,1
"NORWAY",2007,12296
"OCCUPIED PALESTINIAN TERRITORY",2007,634
"OMAN",2007,11916
"PAKISTAN",2007,43331
"PALAU",2007,71
"PANAMA",2007,1963
"PAPUA NEW GUINEA",2007,1669
"PARAGUAY",2007,1128
"PERU",2007,11714
"PHILIPPINES",2007,19681
"PLURINATIONAL STATE OF BOLIVIA",2007,3363
"POLAND",2007,85703
"PORTUGAL",2007,16403
"QATAR",2007,17256
"REPUBLIC OF CAMEROON",2007,1591
"REPUBLIC OF KOREA",2007,135172
"REPUBLIC OF MOLDOVA",2007,1276
"REUNION",2007,1053
"ROMANIA",2007,27877
"RUSSIAN FEDERATION",2007,454564
"RWANDA",2007,152
"SAINT HELENA",2007,3
"SAINT LUCIA",2007,105
"SAMOA",2007,47
"SAO TOME & PRINCIPE",2007,23
"SAUDI ARABIA",2007,105748
"SENEGAL",2007,1413
"SERBIA",2007,14305
"SEYCHELLES",2007,175
"SIERRA LEONE",2007,175
"SINGAPORE",2007,5434
"SLOVAKIA",2007,10030
"SLOVENIA",2007,4430
"SOLOMON ISLANDS",2007,49
"SOMALIA",2007,166
"SOUTH AFRICA",2007,127237
"SPAIN",2007,97692
"SRI LANKA",2007,3369
"ST. KITTS-NEVIS",2007,59
"ST. PIERRE & MIQUELON",2007,18
"ST. VINCENT & THE GRENADINES",2007,62
"SUDAN",2007,3852
"SURINAME",2007,481
"SWAZILAND",2007,290
"SWEDEN",2007,13106
"SWITZERLAND",2007,10359
"SYRIAN ARAB REPUBLIC",2007,18126
"TAIWAN",2007,75788
"TAJIKISTAN",2007,882
"THAILAND",2007,68843
"TIMOR-LESTE (FORMERLY EAST TIMOR)",2007,50
"TOGO",2007,384
"TONGA",2007,31
"TRINIDAD AND TOBAGO",2007,12401
"TUNISIA",2007,6575
"TURKEY",2007,77627
"TURKMENISTAN",2007,15283
"TURKS AND CAICOS ISLANDS",2007,45
"TUVALU",2007,3
"UGANDA",2007,788
"UKRAINE",2007,87608
"UNITED ARAB EMIRATES",2007,36986
"UNITED KINGDOM",2007,144103
"UNITED REPUBLIC OF TANZANIA",2007,1608
"UNITED STATES OF AMERICA",2007,1578683
"URUGUAY",2007,1637
"UZBEKISTAN",2007,32779
"VANUATU",2007,27
"VENEZUELA",2007,43847
"VIET NAM",2007,28599
"WALLIS AND FUTUNA ISLANDS",2007,8
"YEMEN",2007,5719
"ZAMBIA",2007,526
"ZIMBABWE",2007,2696
