"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",1997,299
"ALBANIA",1997,421
"ALGERIA",1997,23818
"ANDORRA",1997,127
"ANGOLA",1997,2013
"ANGUILLA",1997,19
"ANTARCTIC FISHERIES",1997,1
"ANTIGUA & BARBUDA",1997,84
"ARGENTINA",1997,37634
"ARMENIA",1997,882
"ARUBA",1997,476
"AUSTRALIA",1997,83391
"AUSTRIA",1997,17087
"AZERBAIJAN",1997,8129
"BAHAMAS",1997,372
"BAHRAIN",1997,4723
"BANGLADESH",1997,6835
"BARBADOS",1997,246
"BELARUS",1997,16241
"BELGIUM",1997,31454
"BELIZE",1997,106
"BENIN",1997,332
"BERMUDA",1997,143
"BHUTAN",1997,107
"BOSNIA & HERZEGOVINA",1997,2289
"BOTSWANA",1997,764
"BRAZIL",1997,81960
"BRITISH VIRGIN ISLANDS",1997,27
"BRUNEI (DARUSSALAM)",1997,1380
"BULGARIA",1997,14076
"BURKINA FASO",1997,220
"BURUNDI",1997,68
"CAMBODIA",1997,420
"CANADA",1997,135068
"CAPE VERDE",1997,40
"CAYMAN ISLANDS",1997,111
"CENTRAL AFRICAN REPUBLIC",1997,67
"CHAD",1997,39
"CHILE",1997,15379
"CHINA (MAINLAND)",1997,946144
"COLOMBIA",1997,17701
"COMOROS",1997,22
"CONGO",1997,639
"COOK ISLANDS",1997,13
"COSTA RICA",1997,1360
"COTE D IVOIRE",1997,2064
"CROATIA",1997,5156
"CUBA",1997,6722
"CYPRUS",1997,1598
"CZECH REPUBLIC",1997,34746
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",1997,17956
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",1997,518
"DENMARK",1997,16787
"DJIBOUTI",1997,89
"DOMINICA",1997,22
"DOMINICAN REPUBLIC",1997,4909
"ECUADOR",1997,5007
"EGYPT",1997,29507
"EL SALVADOR",1997,1493
"EQUATORIAL GUINEA",1997,79
"ERITREA",1997,236
"ESTONIA",1997,4938
"ETHIOPIA",1997,832
"FAEROE ISLANDS",1997,161
"FALKLAND ISLANDS (MALVINAS)",1997,13
"FEDERATED STATES OF MICRONESIA",1997,30
"FIJI",1997,216
"FINLAND",1997,16344
"FRANCE (INCLUDING MONACO)",1997,95872
"FRENCH GUIANA",1997,128
"FRENCH POLYNESIA",1997,123
"GABON",1997,1308
"GAMBIA",1997,54
"GEORGIA",1997,1210
"GERMANY",1997,235145
"GHANA",1997,1736
"GIBRALTAR",1997,80
"GREECE",1997,22830
"GREENLAND",1997,142
"GRENADA",1997,46
"GUADELOUPE",1997,438
"GUATEMALA",1997,2072
